timeStep,cellCode,xCell,yCell,resource1amount,resource2amount,prey1,prey2,prey1catches,prey2catches,predator1
0,0,0,0,10,10,4,3,0,0,0
0,1,0,1,10,10,2,4,0,0,0
0,2,0,2,10,10,4,2,0,0,0
0,3,0,3,10,10,2,1,0,0,0
0,4,1,0,10,10,0,0,0,0,0
0,5,1,1,10,10,0,2,0,0,0
0,6,1,2,10,10,0,3,0,0,0
0,7,1,3,10,10,2,3,0,0,0
0,8,2,0,10,10,1,1,0,0,0
0,9,2,1,10,10,2,3,0,0,0
0,10,2,2,10,10,3,3,0,0,0
0,11,2,3,10,10,2,3,0,0,0
0,12,3,0,10,10,2,0,0,0,0
0,13,3,1,10,10,2,1,0,0,0
0,14,3,2,10,10,2,0,0,0,0
0,15,3,3,10,10,2,1,0,0,0
5,0,0,0,0,0,8,9,0,0,0
5,1,0,1,0,2,4,2,0,0,0
5,2,0,2,2,0,2,4,0,0,0
5,3,0,3,6,10,1,0,0,0,0
5,4,1,0,0,0,3,3,0,0,0
5,5,1,1,0,0,7,5,0,0,0
5,6,1,2,0,6,3,1,0,0,0
5,7,1,3,6,10,1,0,0,0,0
5,8,2,0,0,0,3,6,0,0,0
5,9,2,1,6,10,1,0,0,0,0
5,10,2,2,2,2,2,2,0,0,0
5,11,2,3,6,6,1,1,0,0,0
5,12,3,0,6,2,1,2,0,0,0
5,13,3,1,2,2,2,2,0,0,0
5,14,3,2,6,10,1,0,0,0,0
5,15,3,3,6,2,1,2,0,0,0
10,0,0,0,0,0,11,14,0,0,0
10,1,0,1,0,0,10,8,0,0,0
10,2,0,2,0,0,4,5,0,0,0
10,3,0,3,0,0,3,4,0,0,0
10,4,1,0,0,0,10,9,0,0,0
10,5,1,1,0,0,9,5,0,0,0
10,6,1,2,0,0,5,6,0,0,0
10,7,1,3,2,6,2,1,0,0,0
10,8,2,0,2,0,2,4,0,0,0
10,9,2,1,0,0,6,5,0,0,0
10,10,2,2,6,0,1,5,0,0,0
10,11,2,3,2,6,2,1,0,0,0
10,12,3,0,6,2,1,2,0,0,0
10,13,3,1,2,2,2,2,0,0,0
10,14,3,2,6,10,1,0,0,0,0
10,15,3,3,10,6,0,1,0,0,0
