"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,160,160,30,30,0,0,0,0,0,0
1,3,70,68,44,37,0,0,0,46.6666666666667,23.3333333333333,0
1,6,36,60,58,57,0,0,0,31.8181818181818,54.0540540540541,0
1,9,10,42,76,70,0,0,0,31.0344827586207,22.8070175438597,0
2,0,160,160,30,30,0,0,0,0,0,0
2,3,64,80,41,39,0,0,0,36.6666666666667,30,0
2,6,54,66,58,52,0,0,0,41.4634146341463,33.3333333333333,0
2,9,38,38,69,72,0,0,0,18.9655172413793,38.4615384615385,0
3,0,160,160,30,30,0,0,0,0,0,0
3,3,66,74,38,45,0,0,0,26.6666666666667,50,0
3,6,54,50,57,54,0,0,0,50,20,0
3,9,38,40,69,77,0,0,0,21.0526315789474,42.5925925925926,0
