timeStep,cellCode,xCell,yCell,resource1amount,resource2amount,prey1,prey2,prey1catches,prey2catches,predator1
0,0,0,0,10,10,0,0,0,0,0
0,1,0,1,10,10,3,1,0,0,1
0,2,0,2,10,10,0,0,0,0,1
0,3,1,0,10,10,1,0,0,0,0
0,4,1,1,10,10,0,3,0,0,0
0,5,1,2,10,10,2,2,0,0,0
0,6,2,0,10,10,2,1,0,0,1
0,7,2,1,10,10,0,2,0,0,0
0,8,2,2,10,10,2,1,0,0,2
2,0,0,0,0,2,2,1,1,1,2
2,1,0,1,10,2,0,2,0,0,0
2,2,0,2,6,10,1,0,0,0,0
2,3,1,0,2,6,1,1,1,0,1
2,4,1,1,10,10,0,0,0,0,0
2,5,1,2,10,0,0,3,0,0,0
2,6,2,0,10,6,0,1,0,0,0
2,7,2,1,6,10,1,0,0,0,0
2,8,2,2,10,10,0,0,0,0,0
