timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,100000,100000,10,10,0,0,0
3,99960,99960,13,15,0,0,0
6,99948,99940,20,22,0,0,0
9,99920,99912,30,34,0,0,0
12,99880,99864,46,48,0,0,0
15,99816,99808,70,71,0,0,0
18,99720,99716,105,110,0,0,0
21,99580,99560,156,163,0,0,0
24,99376,99348,219,239,0,0,0
27,99124,99044,328,357,0,0,0
30,98688,98572,483,527,0,0,0
33,98068,97892,721,797,0,0,0
36,97116,96816,1076,1195,0,0,0
39,95698,95220,1631,1799,0,0,0
42,93486,92818,2471,2678,0,0,0
45,90166,89350,3686,4017,0,0,0
48,85386,84174,5565,6104,0,0,0
51,78212,76324,8388,9114,0,0,0
54,68118,65514,12545,13538,0,0,0
57,54618,51640,18666,20256,0,0,0
60,38680,34794,27767,29976,0,0,0
63,21406,18930,39790,42394,0,0,0
66,9562,7964,53648,56066,0,0,0
69,3440,2798,65776,67873,0,0,0
72,1462,1174,73746,74793,0,0,0
75,722,622,77285,77530,0,0,0
78,544,550,77679,77723,0,0,0
81,498,546,77120,76605,0,0,0
84,588,658,75596,75490,0,0,0
87,652,616,74747,74816,0,0,0
90,620,562,74012,73896,0,0,0
93,700,644,73388,73459,0,0,0
96,820,716,72882,72946,0,0,0
99,816,834,72428,72620,0,0,0
