timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,100000,100000,1000,1000,0,0,0
3,96004,96006,1505,1502,0,0,0
6,93996,93998,2262,2247,0,0,0
9,90988,91058,3385,3359,0,0,0
12,86622,86708,5150,5025,0,0,0
15,79838,80378,7700,7556,0,0,0
18,70440,71008,11534,11332,0,0,0
21,57726,57986,17352,16905,0,0,0
24,41278,42452,25661,25054,0,0,0
27,24862,26236,37188,36340,0,0,0
30,11352,12540,50980,49772,0,0,0
33,4470,4608,63797,62972,0,0,0
36,1634,1612,72554,72130,0,0,0
39,780,838,76758,76505,0,0,0
42,570,594,77608,77503,0,0,0
45,494,556,76968,77233,0,0,0
48,548,510,75574,76219,0,0,0
51,710,594,74909,75138,0,0,0
54,560,764,74066,74049,0,0,0
57,654,596,73443,73349,0,0,0
60,834,722,73227,73361,0,0,0
63,744,754,72532,72673,0,0,0
66,848,672,72306,72613,0,0,0
69,842,838,72129,72282,0,0,0
72,888,750,72061,72063,0,0,0
75,790,800,71658,71841,0,0,0
78,814,804,71900,71399,0,0,0
81,840,846,71472,71371,0,0,0
84,854,946,71236,71483,0,0,0
87,904,826,71241,71171,0,0,0
90,978,862,71240,71310,0,0,0
93,830,870,71143,71048,0,0,0
96,814,948,71003,70665,0,0,0
99,924,850,70892,70775,0,0,0
