timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,100000,100000,10,10,0,0,0
3,99930,99930,14,17,0,0,0
6,99902,99881,25,22,0,0,0
9,99825,99846,34,29,0,0,0
12,99762,99797,49,42,0,0,0
15,99661,99706,68,62,0,0,0
18,99524,99566,105,84,0,0,0
21,99265,99412,163,129,0,0,0
24,98863,99097,240,210,0,0,0
27,98328,98542,356,317,0,0,0
30,97524,97789,529,476,0,0,0
33,96364,96716,790,708,0,0,0
36,94608,95172,1192,1054,0,0,0
39,91952,92868,1773,1565,0,0,0
42,88241,89468,2670,2317,0,0,0
45,82825,84862,4006,3426,0,0,0
48,75176,78471,5921,5049,0,0,0
51,65180,69467,8715,7443,0,0,0
54,52783,58170,12623,10922,0,0,0
57,38891,44338,17562,15451,0,0,0
60,26972,31385,23387,21053,0,0,0
63,16638,19978,29189,27099,0,0,0
66,10106,12432,34022,32488,0,0,0
69,6982,7920,37113,36166,0,0,0
72,5172,5753,38995,38364,0,0,0
75,4536,4821,39423,39393,0,0,0
78,4506,4462,39193,39505,0,0,0
81,4149,4474,39043,39064,0,0,0
84,4586,4720,38696,38883,0,0,0
87,4531,4539,38533,38487,0,0,0
90,4547,4773,38081,38313,0,0,0
93,4812,4776,38007,37946,0,0,0
96,4904,5003,37695,37875,0,0,0
99,4926,5124,37667,37546,0,0,0
