"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,100000,100000,1000,1000,0,0,0,0,0,0
1,3,93154,93214,1519,1498,0,0,0,51.9,49.8,0
1,6,89900,89977,2273,2218,0,0,0,49.6379196840026,48.064085447263,0
1,9,85209,85487,3432,3331,0,0,0,50.9898812142543,50.180342651037,0
1,12,78300,78987,5118,4916,0,0,0,49.1258741258741,47.5833083158211,0
1,15,69173,70125,7634,7248,0,0,0,49.1598280578351,47.4369406021155,0
1,18,57298,59301,11016,10577,0,0,0,44.3018077023841,45.9299116997792,0
1,21,44226,45964,15618,15027,0,0,0,41.7755991285403,42.0724212914815,0
1,24,31201,32359,21231,20441,0,0,0,35.9393008067614,36.0284820656152,0
1,27,19567,21001,27076,26589,0,0,0,27.5304978569074,30.0768064184727,0
1,30,12041,12923,32430,31819,0,0,0,19.7739695671443,19.6697882583023,0
1,33,7564,8121,36272,35946,0,0,0,11.8470551958064,12.9702379081681,0
1,36,5827,5895,38485,38265,0,0,0,6.10112483458315,6.45134368218995,0
1,39,4659,4846,39555,39093,0,0,0,2.78030401455112,2.16385731085849,0
1,42,4625,4438,39378,39490,0,0,0,-0.447478194918468,1.0155270764587,0
1,45,4568,4352,39308,39162,0,0,0,-0.177764233836152,-0.83059002279058,0
1,48,4378,4345,38853,38798,0,0,0,-1.15752518571283,-0.929472447781012,0
1,51,4698,4719,38581,38514,0,0,0,-0.700074640310915,-0.731996494664673,0
1,54,5105,4578,38011,38335,0,0,0,-1.47741116093414,-0.464766059095394,0
1,57,4950,4619,37697,38135,0,0,0,-0.826076662018889,-0.521716447110995,0
1,60,5192,4977,37751,37765,0,0,0,0.143247473273735,-0.970237314802675,0
1,63,4748,5034,37684,37626,0,0,0,-0.177478742284973,-0.368065669270489,0
1,66,5058,5098,37503,37541,0,0,0,-0.480309945865619,-0.2259076170733,0
1,69,5142,5393,37411,37514,0,0,0,-0.245313708236674,-0.0719213659732026,0
1,72,5429,4969,37335,37454,0,0,0,-0.203148806500762,-0.159940288958789,0
1,75,5118,4935,37379,37396,0,0,0,0.117851881612428,-0.154856624125594,0
1,78,5135,5123,37147,37220,0,0,0,-0.620669359800958,-0.470638570970157,0
1,81,5027,5331,37076,37282,0,0,0,-0.191132527525776,0.166577109081139,0
1,84,5092,5184,37107,37071,0,0,0,0.0836120401337793,-0.565956761976289,0
1,87,5346,5279,37217,37170,0,0,0,0.296440024793166,0.267055110463705,0
1,90,5160,5509,37067,37009,0,0,0,-0.403041620764704,-0.433145009416196,0
1,93,5418,5396,36980,36878,0,0,0,-0.234710119513314,-0.353967953740982,0
1,96,5376,5336,36852,36671,0,0,0,-0.346133044889129,-0.561310266283421,0
1,99,5298,5432,36978,36841,0,0,0,0.341908173233474,0.463581576722751,0
2,0,100000,100000,1000,1000,0,0,0,0,0,0
2,3,93148,93159,1493,1513,0,0,0,49.3,51.3,0
2,6,89970,89783,2207,2247,0,0,0,47.8231748158071,48.512888301388,0
2,9,85474,85178,3338,3378,0,0,0,51.2460353420933,50.3337783711616,0
2,12,78802,78657,4979,5039,0,0,0,49.1611743559017,49.1711071640024,0
2,15,70021,69444,7326,7442,0,0,0,47.1379795139586,47.6880333399484,0
2,18,58557,58297,10748,10890,0,0,0,46.7103467103467,46.3316312819135,0
2,21,45097,45095,15285,15486,0,0,0,42.2125046520283,42.2038567493113,0
2,24,31811,31482,20878,21090,0,0,0,36.5914295060517,36.1875242154204,0
2,27,20803,19601,26920,27070,0,0,0,28.9395535970878,28.3546704599336,0
2,30,12511,11981,32140,32367,0,0,0,19.3907875185735,19.5677872183229,0
2,33,8273,7929,36023,36072,0,0,0,12.0815183571873,11.4468440077857,0
2,36,5912,5730,38231,38280,0,0,0,6.12941731671432,6.12109115103127,0
2,39,4727,5074,39141,39181,0,0,0,2.38026732233005,2.35370950888192,0
2,42,4524,4394,39611,39372,0,0,0,1.20078689864848,0.487481177101146,0
2,45,4338,4478,39202,39073,0,0,0,-1.03254146575446,-0.75942294016052,0
2,48,4476,4752,38798,38861,0,0,0,-1.0305596653232,-0.542574156066849,0
2,51,4513,4869,38625,38460,0,0,0,-0.44589927315841,-1.03188286456859,0
2,54,4630,4753,38211,38252,0,0,0,-1.07184466019417,-0.540821632865315,0
2,57,4967,4962,37952,37787,0,0,0,-0.677815288791186,-1.21562271253791,0
