"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,93178.7,93163,93195.7,93202.2,93185,93218.7,1499.2,1488.8,1508.6,1494,1485.5,1501.5,0,0,0,0,0,0,0,0,0,49.92,48.94,50.79,49.4,48.69,50.1,0,0,0
6,10,89974.6,89912.5,90042.1,89978.7,89908.4,90042.8,2235.1,2220.8,2248.1,2226.4,2214.3,2237.4,0,0,0,0,0,0,0,0,0,49.0916280383508,48.3839675198843,49.8856546160369,49.0253563881909,48.4610169025864,49.6498912185875,0,0,0
9,10,85374.5,85292.5,85456.6,85375.5,85292.1,85476,3330.6,3302.8,3361.5,3336.1,3309.9,3361.2,0,0,0,0,0,0,0,0,0,49.0122719999032,48.1957052487975,49.8345164404577,49.8408314285739,49.0692109298427,50.5759910606337,0,0,0
12,10,78836.9,78669.5,78976.9,78822.9,78682.1,78941.9,4962.6,4913.3,5011.1,4969.7,4930.7,5012,0,0,0,0,0,0,0,0,0,48.9988905500243,48.4946591848907,49.6574398315545,48.9664047299195,48.5161455586783,49.408899655545,0,0,0
15,10,70005.3,69737.6,70290,69925.7,69698.2,70141.1,7335.5,7253.9,7419.5,7346,7277.2,7414.6,0,0,0,0,0,0,0,0,0,47.8100431544017,47.3185852292387,48.2871992441628,47.8121558216508,47.3773582625024,48.1912087358956,0,0,0
18,10,58641.4,58204.6,59051.9,58627.8,58311.8,58931.3,10694.9,10574.4,10795.9,10713.9,10601.8,10821.3,0,0,0,0,0,0,0,0,0,45.8051715609129,45.2692505204706,46.3644772198707,45.8453699136068,45.5998078190018,46.0858205723512,0,0,0
21,10,45399.1,45023.8,45793.4,45496.9,45080.5,45925.7,15209,15047.7,15356.1,15225.8,15075.3,15375.2,0,0,0,0,0,0,0,0,0,42.2106141300502,41.9429249166023,42.4835968927054,42.1157740017247,41.9183872698533,42.3536976044636,0,0,0
24,10,32064.2,31712,32413.2,32033.9,31628.3,32425.7,20735.3,20571.4,20897.2,20740.5,20560.7,20925.4,0,0,0,0,0,0,0,0,0,36.3442572673211,35.9562209285345,36.7534596708204,36.2245342096282,35.9326455671609,36.4690231670968,0,0,0
27,10,20603.6,20258.9,20979.1,20531.7,20223,20874.5,26669.2,26499.6,26819,26705.3,26554,26866.8,0,0,0,0,0,0,0,0,0,28.6237078493276,28.170433361703,29.0632553454215,28.7669559005142,28.3889343595372,29.2082263078022,0,0,0
30,10,12747.3,12495.5,12985.6,12627.5,12394.5,12851.9,32037.1,31892.3,32173.1,32029.9,31890.7,32173.3,0,0,0,0,0,0,0,0,0,20.1308679863522,19.8633214283528,20.3997044491841,19.942105629228,19.6494876425408,20.2397938400452,0,0,0
33,10,8113.1,7951.8,8252.8,8124.2,7944.7,8308.7,36004.1,35910,36090.3,36035.8,35939.9,36124.8,0,0,0,0,0,0,0,0,0,12.3861136503174,12.0912570478866,12.7821816246696,12.5099643091214,12.1464452770856,12.8098067432408,0,0,0
36,10,5831.3,5765.8,5895.9,5655,5531.6,5796.5,38282.9,38212,38353.6,38306.6,38278.6,38339.3,0,0,0,0,0,0,0,0,0,6.32981503735174,6.19553819237046,6.46092165140794,6.30323880537168,6.03868895443472,6.55494143345421,0,0,0
39,10,4853.3,4794.1,4906.4,4777.7,4718.3,4852,39297,39230.5,39369.7,39226.1,39174.7,39278.6,0,0,0,0,0,0,0,0,0,2.64931581695698,2.51319601841372,2.79417280450668,2.40052601865112,2.25768453127895,2.56041293149308,0,0,0
42,10,4443,4381.9,4499.5,4402.8,4318.3,4485.4,39421.6,39362.4,39483.7,39433.8,39349.8,39524.9,0,0,0,0,0,0,0,0,0,0.318037422108186,0.0351778244390474,0.582090809574091,0.529584350794985,0.356892216815671,0.715928747493555,0,0,0
45,10,4352.4,4270.3,4440.2,4350.6,4303,4398.9,39264.7,39207.5,39320.4,39191.8,39131.6,39252.1,0,0,0,0,0,0,0,0,0,-0.397528190857073,-0.579665540871822,-0.234290374866279,-0.612753637040618,-0.839541507947725,-0.398468105815713,0,0,0
48,10,4445.4,4401.7,4490.5,4468.5,4383,4564.8,38860.5,38826.6,38895.1,38831.2,38801.4,38864.5,0,0,0,0,0,0,0,0,0,-1.02907039265675,-1.14855330636221,-0.904862295165698,-0.91955083157421,-1.06382748286365,-0.757942984139371,0,0,0
51,10,4469.7,4390.3,4561.7,4567.3,4471.3,4674.5,38539.7,38493.4,38588.8,38573.2,38482.8,38647.8,0,0,0,0,0,0,0,0,0,-0.825360044206056,-0.962491898594765,-0.68511031358009,-0.664290351458084,-0.887043497650968,-0.455113330249574,0,0,0
54,10,4787.7,4692.6,4884.3,4626.1,4533.9,4698,38221.7,38159.1,38282,38250.5,38192.6,38298.5,0,0,0,0,0,0,0,0,0,-0.824509375050431,-1.08022128501578,-0.600978250107262,-0.8356927943968,-1.04233331570165,-0.608124255303527,0,0,0
57,10,4783.6,4693.2,4871,4823.1,4722.3,4919.7,37999,37915.1,38070.9,38023.6,37953,38082.3,0,0,0,0,0,0,0,0,0,-0.582405084304294,-0.767895654059998,-0.365071663706305,-0.592645564300868,-0.794539869003062,-0.354072827464032,0,0,0
60,10,4936.6,4850.3,5016.3,4950.2,4847.8,5063.4,37794.1,37738.1,37857.4,37822.1,37756.6,37890,0,0,0,0,0,0,0,0,0,-0.538531527430444,-0.710866029148078,-0.345398636701467,-0.529101448093571,-0.785976063918393,-0.245779510739157,0,0,0
63,10,4940.9,4862.9,5008.2,5004.2,4946.7,5063,37666.5,37595.5,37731.2,37673.7,37622.2,37720.5,0,0,0,0,0,0,0,0,0,-0.337155454060208,-0.538888949040623,-0.123272645727857,-0.391758016277016,-0.564453433400527,-0.229358775925708,0,0,0
66,10,5076.9,5001.6,5155.9,5028.5,4892,5168.9,37554.5,37496.4,37604.2,37523.5,37474.9,37564.1,0,0,0,0,0,0,0,0,0,-0.296132300413562,-0.599484591356596,-0.0285384695731766,-0.398361659183439,-0.558013448813813,-0.257892536201128,0,0,0
69,10,5141.7,5066.2,5215.7,5049.7,4942.5,5162.6,37498,37453.6,37553.5,37441.9,37391.9,37488.4,0,0,0,0,0,0,0,0,0,-0.149712323849451,-0.344048235570442,0.107361814139087,-0.217387578926444,-0.317269138991875,-0.134052552592871,0,0,0
72,10,5190.7,5120.7,5260.5,5131,5031.1,5228.5,37361.7,37312.9,37416.1,37400.9,37355.4,37442.4,0,0,0,0,0,0,0,0,0,-0.363187924753177,-0.512772181418391,-0.214270118089025,-0.109044124190386,-0.31580510861168,0.0557990363668457,0,0,0
75,10,5069.7,4971.1,5163.7,5217.9,5109.5,5323.6,37272.8,37227.4,37315.9,37298.8,37252.5,37347,0,0,0,0,0,0,0,0,0,-0.237732065874357,-0.338800590062505,-0.111376576203225,-0.272935276688295,-0.372253226521723,-0.188953254378212,0,0,0
78,10,5124.3,5030,5232.1,5222.3,5163.8,5274.4,37202.7,37140.6,37252.6,37234.1,37155.1,37301.2,0,0,0,0,0,0,0,0,0,-0.187735290677588,-0.36912102544087,-0.0164606669032731,-0.173096406822517,-0.391512444173128,0.0388825777788116,0,0,0
81,10,5196.6,5129,5262.2,5272,5195.3,5342.6,37129.7,37074.8,37188.7,37148.4,37079.1,37207.9,0,0,0,0,0,0,0,0,0,-0.195240887642674,-0.463575980319152,0.0862198219992591,-0.229561047011564,-0.404487216544559,-0.0210402046885878,0,0,0
84,10,5249.5,5186.4,5311.4,5275.6,5181.7,5362.1,37073.2,37009.4,37130.9,37128.3,37060.3,37194.9,0,0,0,0,0,0,0,0,0,-0.151574851877157,-0.378824139328269,0.0620603278708672,-0.0536354398118018,-0.250800979905928,0.118135847565968,0,0,0
87,10,5296.7,5195,5391.2,5344.8,5279.1,5416.6,37077.1,37010.2,37138.6,37093.6,37035.6,37146.5,0,0,0,0,0,0,0,0,0,0.0109374390795279,-0.154706833546983,0.188188715032641,-0.0926082327382605,-0.335400224691642,0.142301271153976,0,0,0
90,10,5352.5,5269.2,5430.8,5287.3,5149.2,5413.3,37077.9,37054.9,37099.9,37043.5,37006,37084,0,0,0,0,0,0,0,0,0,0.00280337036634881,-0.158362577622046,0.16365993996611,-0.134526291857246,-0.309652039296606,0.0431817789259635,0,0,0
93,10,5350.9,5210.1,5479.9,5321,5223.7,5408.3,37032.1,36972.5,37105.2,36949.9,36891.3,37013.4,0,0,0,0,0,0,0,0,0,-0.123394392764935,-0.299118384437902,0.0801064548165769,-0.252396242059873,-0.452637547816789,-0.0755185513856674,0,0,0
96,10,5278,5191.6,5360.8,5394.4,5324.4,5470.4,36957,36898.6,37006.6,36911.7,36842.2,36965.8,0,0,0,0,0,0,0,0,0,-0.202409160986632,-0.352719907116282,-0.0562472723956157,-0.102930105212393,-0.296707900672557,0.094022623340593,0,0,0
99,10,5468.5,5396.3,5542.9,5322.8,5261.3,5379.9,36976.9,36930.1,37019.5,36951.9,36891,37007.6,0,0,0,0,0,0,0,0,0,0.0546851325686706,-0.171885811787575,0.314358012600528,0.10918695014636,-0.0159781392381726,0.244524656878712,0,0,0
