"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,6250,6250,6250,6250,6250,6250,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,6210,6210,6210,6210,6210,6210,14.7,14,15.5,13.8,13,14.7,0,0,0,0,0,0,0,0,0,47,40,54,38,30,48,0,0,0
6,10,6191.2,6188.4,6194,6194.8,6190.8,6198,21.4,19.9,22.8,21.4,20,22.9,0,0,0,0,0,0,0,0,0,45.7258403361345,38.0647759103641,53.0476190476191,55.3673777203189,49.6849816849817,61.7007110536522,0,0,0
9,10,6164.4,6158.4,6170,6164.4,6158.4,6169.6,31.6,29.5,33.6,32.6,30.3,35.2,0,0,0,0,0,0,0,0,0,48.0821373650355,42.0278413424866,53.778888630551,52.3772648919708,46.6025641025641,57.4071859513036,0,0,0
12,10,6123.6,6115.2,6131.6,6119.8,6109,6128.8,47,44.4,49.9,50.2,45.7,55.2,0,0,0,0,0,0,0,0,0,49.1029948993659,44.1049027137737,54.1758241758242,53.5724520199716,49.0146807991025,58.4435445447851,0,0,0
15,10,6062.2,6051.2,6074.2,6049.4,6028.4,6066.4,71.4,66.9,76.1,75.8,70,83.9,0,0,0,0,0,0,0,0,0,51.9697324384299,47.6165784495617,56.1946596820546,51.3102843143827,48.1709507641263,54.402645581956,0,0,0
18,10,5964.8,5946.8,5982.6,5947.6,5919.8,5971.8,108.1,101.3,114.7,112.2,101.8,123.6,0,0,0,0,0,0,0,0,0,51.6054423268227,47.6111668806049,55.3935411824734,47.6731550069438,44.7481695309495,50.3617557594807,0,0,0
21,10,5820,5793.2,5844.8,5803,5753.8,5841.6,164.1,151.9,175.7,171.5,154.6,190.2,0,0,0,0,0,0,0,0,0,51.6066562730639,48.5012908829065,54.60838553228,52.715991023137,50.1821897520769,55.0531146023117,0,0,0
24,10,5596.6,5548.6,5641,5570.8,5497.6,5632.6,244.5,227.6,263.2,257.3,230.7,287.4,0,0,0,0,0,0,0,0,0,48.8510687146342,47.6430392471528,50.0170314200118,50.0729860123877,47.9730813789551,52.1215759070152,0,0,0
27,10,5285.8,5206.8,5355.8,5238.4,5128,5324.2,366.6,337.2,397.3,385.1,346.2,429.4,0,0,0,0,0,0,0,0,0,49.8871053348119,47.8195655512706,52.1169426106229,49.5853834273189,48.0036154503183,50.7512283752827,0,0,0
30,10,4827.2,4706.4,4929.6,4767,4595.8,4899.8,544.4,502.8,587.1,579.8,527,644.2,0,0,0,0,0,0,0,0,0,48.6293254729407,47.3987127942208,49.806654098549,50.8454822233402,48.9950247506994,52.6388180899856,0,0,0
33,10,4209.8,4069,4347.4,4087.4,3901.8,4256.2,819.8,753,883.4,863.8,790.2,948,0,0,0,0,0,0,0,0,0,50.5199262694359,49.2917978734899,51.5870637249283,49.1183471985303,48.1405193538519,50.0681755262701,0,0,0
36,10,3367,3174.6,3553.4,3236.8,2972.8,3445.4,1219.6,1117.5,1312.1,1283.6,1164.3,1409,0,0,0,0,0,0,0,0,0,48.8906796348229,48.0647091483241,49.7850577457001,48.624214902918,47.7590257312653,49.5307082990878,0,0,0
39,10,2389.6,2169.6,2593,2233.6,1976,2447.4,1784.5,1652.5,1905.4,1874.5,1715.9,2049.5,0,0,0,0,0,0,0,0,0,46.4030375114013,45.5557939998635,47.3234189992983,46.3278787185923,44.7464767048312,47.900193559892,0,0,0
42,10,1438.4,1266.4,1642.4,1352,1144.4,1535.6,2512.9,2354,2658.6,2619.6,2445.6,2823.7,0,0,0,0,0,0,0,0,0,41.1001543545501,39.1268250868553,42.6211699260721,40.1805565129309,38.1372133687166,41.9722146295134,0,0,0
45,10,718.8,613.4,833.8,639,516.2,764.4,3325.8,3175.1,3471.2,3449.3,3292.3,3650.7,0,0,0,0,0,0,0,0,0,32.6713335435691,30.6287503723305,34.8550563637096,32.1731396481408,29.2744198969599,34.6054246502628,0,0,0
48,10,320.2,261.8,383.8,273.6,232.8,312,4049.8,3908.3,4171.5,4127,3997.9,4260.1,0,0,0,0,0,0,0,0,0,21.9792270758166,20.3209085531647,23.6827420193996,19.9749041747534,17.4052344235234,22.3451725507089,0,0,0
