timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,6250,6250,1000,1000,0,0,0
3,2784,2882,1450,1439,0,0,0
6,1886,1908,2072,2080,0,0,0
9,1040,1002,2864,2884,0,0,0
12,460,420,3669,3673,0,0,0
15,182,226,4273,4314,0,0,0
18,96,92,4559,4579,0,0,0
21,44,72,4668,4671,0,0,0
24,46,86,4670,4556,0,0,0
27,50,86,4629,4587,0,0,0
30,68,112,4535,4526,0,0,0
33,68,116,4457,4434,0,0,0
36,122,90,4441,4434,0,0,0
39,60,90,4421,4459,0,0,0
42,92,98,4427,4398,0,0,0
45,58,106,4454,4419,0,0,0
48,82,102,4404,4439,0,0,0
51,76,46,4374,4345,0,0,0
54,88,118,4388,4328,0,0,0
57,74,102,4438,4349,0,0,0
60,108,118,4353,4369,0,0,0
63,102,90,4423,4359,0,0,0
66,98,94,4392,4350,0,0,0
69,84,96,4380,4469,0,0,0
72,78,56,4425,4430,0,0,0
75,92,48,4377,4397,0,0,0
78,110,64,4323,4372,0,0,0
81,74,92,4357,4335,0,0,0
84,66,104,4415,4341,0,0,0
87,66,108,4377,4421,0,0,0
90,120,58,4406,4424,0,0,0
93,122,80,4390,4386,0,0,0
96,102,82,4409,4359,0,0,0
99,62,68,4402,4348,0,0,0
