"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,6250,6250,1000,1000,0,0,0,0,0,0
1,3,2832,2798,1468,1442,0,0,0,46.8,44.2,0
1,6,1840,1948,2107,2091,0,0,0,43.5286103542234,45.0069348127601,0
1,9,978,942,2930,2927,0,0,0,39.0602752728999,39.9808703969393,0
1,12,404,372,3711,3717,0,0,0,26.6552901023891,26.9900922446191,0
1,15,172,206,4305,4286,0,0,0,16.0064672594988,15.3080441216034,0
1,18,88,86,4604,4586,0,0,0,6.94541231126597,6.99953336444237,0
1,21,68,68,4650,4641,0,0,0,0.999131190269331,1.19930222416049,0
1,24,64,64,4616,4591,0,0,0,-0.731182795698925,-1.07735401853049,0
1,27,76,56,4528,4480,0,0,0,-1.90641247833622,-2.41777390546722,0
1,30,62,64,4504,4554,0,0,0,-0.530035335689046,1.65178571428571,0
1,33,82,96,4476,4507,0,0,0,-0.621669626998224,-1.0320597277119,0
1,36,90,76,4434,4495,0,0,0,-0.938337801608579,-0.266252496117151,0
1,39,80,48,4397,4384,0,0,0,-0.83446098331078,-2.46941045606229,0
1,42,74,90,4382,4432,0,0,0,-0.341141687514214,1.09489051094891,0
1,45,86,70,4383,4369,0,0,0,0.0228206298493838,-1.42148014440433,0
1,48,124,102,4426,4353,0,0,0,0.981063198722336,-0.366216525520714,0
1,51,112,74,4432,4368,0,0,0,0.135562584726615,0.344589937973811,0
1,54,106,80,4426,4429,0,0,0,-0.135379061371841,1.39652014652015,0
1,57,86,78,4405,4488,0,0,0,-0.474469046543154,1.33212914879205,0
1,60,104,62,4400,4392,0,0,0,-0.113507377979569,-2.13903743315508,0
1,63,60,62,4330,4428,0,0,0,-1.59090909090909,0.819672131147541,0
1,66,68,108,4386,4330,0,0,0,1.2933025404157,-2.21318879855465,0
1,69,86,104,4394,4367,0,0,0,0.182398540811674,0.854503464203233,0
1,72,48,114,4457,4300,0,0,0,1.43377332726445,-1.5342340279368,0
1,75,80,90,4401,4349,0,0,0,-1.25645052726049,1.13953488372093,0
1,78,120,128,4333,4358,0,0,0,-1.54510338559418,0.206944125086227,0
1,81,102,164,4324,4392,0,0,0,-0.207708285252712,0.7801743919229,0
1,84,162,106,4375,4423,0,0,0,1.17946345975948,0.705828779599271,0
1,87,96,78,4352,4397,0,0,0,-0.525714285714286,-0.587836310196699,0
1,90,106,90,4359,4356,0,0,0,0.160845588235294,-0.932453945872186,0
1,93,100,74,4396,4341,0,0,0,0.848818536361551,-0.34435261707989,0
1,96,114,124,4430,4364,0,0,0,0.773430391264786,0.529831835982493,0
1,99,72,92,4385,4448,0,0,0,-1.01580135440181,1.92483959670027,0
2,0,6250,6250,1000,1000,0,0,0,0,0,0
2,3,2818,2798,1469,1472,0,0,0,46.9,47.2,0
2,6,1788,1806,2123,2146,0,0,0,44.5200816882233,45.7880434782609,0
2,9,1062,1010,2884,2910,0,0,0,35.8455016486105,35.601118359739,0
2,12,516,406,3638,3717,0,0,0,26.1442441054092,27.7319587628866,0
2,15,194,142,4241,4334,0,0,0,16.5750412314458,16.5994081248319,0
2,18,110,72,4573,4644,0,0,0,7.82834237208206,7.15274573142593,0
2,21,62,62,4704,4717,0,0,0,2.86464027990378,1.57192075796727,0
2,24,90,66,4630,4629,0,0,0,-1.57312925170068,-1.86559253762985,0
2,27,84,66,4531,4556,0,0,0,-2.13822894168467,-1.57701447396846,0
2,30,54,68,4541,4463,0,0,0,0.220701831825204,-2.04126426690079,0
2,33,64,108,4531,4444,0,0,0,-0.220215811495265,-0.425722608111136,0
2,36,94,66,4440,4409,0,0,0,-2.00838666960936,-0.787578757875788,0
2,39,82,60,4437,4445,0,0,0,-0.0675675675675676,0.816511680653209,0
2,42,94,62,4393,4456,0,0,0,-0.991661032228983,0.247469066366704,0
2,45,104,80,4418,4395,0,0,0,0.569087184156613,-1.3689407540395,0
2,48,92,78,4407,4383,0,0,0,-0.248981439565414,-0.273037542662116,0
2,51,88,72,4347,4367,0,0,0,-1.36147038801906,-0.365046771617614,0
2,54,116,132,4359,4329,0,0,0,0.276052449965493,-0.870162583008931,0
2,57,100,80,4435,4424,0,0,0,1.74351915576967,2.19450219450219,0
2,60,80,66,4367,4429,0,0,0,-1.53325817361894,0.113019891500904,0
2,63,112,104,4337,4365,0,0,0,-0.686970460270208,-1.44502144953714,0
2,66,108,68,4436,4393,0,0,0,2.28268388286834,0.641466208476518,0
2,69,78,60,4391,4392,0,0,0,-1.01442741208296,-0.0227634873662645,0
2,72,68,96,4426,4461,0,0,0,0.797084946481439,1.57103825136612,0
2,75,110,102,4382,4361,0,0,0,-0.994125621328513,-2.24164985429276,0
2,78,96,94,4376,4412,0,0,0,-0.136923779096303,1.16945654666361,0
2,81,66,114,4422,4331,0,0,0,1.05118829981718,-1.83590208522212,0
2,84,64,130,4422,4379,0,0,0,0,1.1082890787347,0
2,87,110,98,4343,4349,0,0,0,-1.78652193577567,-0.685087919616351,0
2,90,102,98,4386,4368,0,0,0,0.99009900990099,0.436882041848701,0
2,93,92,72,4338,4386,0,0,0,-1.09439124487004,0.412087912087912,0
2,96,106,84,4346,4385,0,0,0,0.184416781927155,-0.0227998176014592,0
2,99,124,72,4365,4388,0,0,0,0.43718361711919,0.0684150513112885,0
3,0,6250,6250,1000,1000,0,0,0,0,0,0
3,3,2784,2882,1450,1439,0,0,0,45,43.9,0
3,6,1886,1908,2072,2080,0,0,0,42.8965517241379,44.5448227936067,0
3,9,1040,1002,2864,2884,0,0,0,38.2239382239382,38.6538461538462,0
3,12,460,420,3669,3673,0,0,0,28.1075418994413,27.3578363384189,0
3,15,182,226,4273,4314,0,0,0,16.4622512946307,17.4516743806153,0
3,18,96,92,4559,4579,0,0,0,6.69318979639597,6.14279091330552,0
3,21,44,72,4668,4671,0,0,0,2.39087519192805,2.00917230836427,0
3,24,46,86,4670,4556,0,0,0,0.0428449014567266,-2.46199957182616,0
3,27,50,86,4629,4587,0,0,0,-0.877944325481799,0.680421422300263,0
3,30,68,112,4535,4526,0,0,0,-2.03067617195939,-1.3298452147373,0
3,33,68,116,4457,4434,0,0,0,-1.7199558985667,-2.03269995581087,0
3,36,122,90,4441,4434,0,0,0,-0.358985864931568,0,0
3,39,60,90,4421,4459,0,0,0,-0.45034902049088,0.5638249887235,0
3,42,92,98,4427,4398,0,0,0,0.135715901379778,-1.36801973536667,0
3,45,58,106,4454,4419,0,0,0,0.609893833295686,0.477489768076398,0
3,48,82,102,4404,4439,0,0,0,-1.12258643915581,0.452591083955646,0
3,51,76,46,4374,4345,0,0,0,-0.681198910081744,-2.11759405271458,0
3,54,88,118,4388,4328,0,0,0,0.320073159579332,-0.391254315304948,0
3,57,74,102,4438,4349,0,0,0,1.13947128532361,0.485212569316081,0
3,60,108,118,4353,4369,0,0,0,-1.91527715187021,0.459875833524948,0
3,63,102,90,4423,4359,0,0,0,1.60808637721112,-0.228885328450446,0
3,66,98,94,4392,4350,0,0,0,-0.700881754465295,-0.206469373709566,0
3,69,84,96,4380,4469,0,0,0,-0.273224043715847,2.73563218390805,0
3,72,78,56,4425,4430,0,0,0,1.02739726027397,-0.872678451555158,0
3,75,92,48,4377,4397,0,0,0,-1.08474576271186,-0.744920993227991,0
3,78,110,64,4323,4372,0,0,0,-1.23372172721042,-0.568569479190357,0
3,81,74,92,4357,4335,0,0,0,0.786490862826741,-0.846294602012809,0
3,84,66,104,4415,4341,0,0,0,1.33119118659628,0.13840830449827,0
3,87,66,108,4377,4421,0,0,0,-0.860702151755379,1.8428933425478,0
3,90,120,58,4406,4424,0,0,0,0.662554260909299,0.0678579506898892,0
3,93,122,80,4390,4386,0,0,0,-0.363141171130277,-0.858951175406872,0
3,96,102,82,4409,4359,0,0,0,0.432801822323462,-0.615595075239398,0
3,99,62,68,4402,4348,0,0,0,-0.158766160127013,-0.252351456756137,0
4,0,6250,6250,1000,1000,0,0,0,0,0,0
4,3,2884,2804,1482,1479,0,0,0,48.2,47.9,0
4,6,1854,1734,2132,2138,0,0,0,43.859649122807,44.5571331981068,0
