"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,6250,6250,10,10,0,0,0,0,0,0
1,3,6180,6180,15,15,0,0,0,50,50,0
1,6,6145,6149,20,22,0,0,0,33.3333333333333,46.6666666666667,0
1,9,6110,6096,28,33,0,0,0,40,50,0
1,12,6058,6023,43,45,0,0,0,53.5714285714286,36.3636363636364,0
1,15,5953,5951,66,64,0,0,0,53.4883720930233,42.2222222222222,0
1,18,5796,5810,98,98,0,0,0,48.4848484848485,53.125,0
1,21,5584,5588,145,146,0,0,0,47.9591836734694,48.9795918367347,0
1,24,5295,5275,224,219,0,0,0,54.4827586206897,50,0
1,27,4866,4846,325,333,0,0,0,45.0892857142857,52.0547945205479,0
1,30,4293,4343,489,484,0,0,0,50.4615384615385,45.3453453453453,0
1,33,3619,3524,709,687,0,0,0,44.9897750511247,41.9421487603306,0
1,36,2773,2886,995,970,0,0,0,40.3385049365303,41.193595342067,0
1,39,2071,1962,1324,1286,0,0,0,33.0653266331658,32.5773195876289,0
1,42,1264,1374,1695,1631,0,0,0,28.0211480362538,26.8273716951789,0
1,45,855,984,2010,1962,0,0,0,18.5840707964602,20.2942979767014,0
1,48,590,593,2223,2179,0,0,0,10.5970149253731,11.0601427115189,0
1,51,483,480,2361,2364,0,0,0,6.20782726045884,8.49013308857274,0
1,54,350,370,2444,2409,0,0,0,3.5154595510377,1.90355329949239,0
1,57,357,340,2437,2447,0,0,0,-0.286415711947627,1.57741801577418,0
1,60,319,274,2400,2467,0,0,0,-1.51826015592942,0.81732733959951,0
1,63,351,305,2391,2418,0,0,0,-0.375,-1.98621807863802,0
1,66,331,355,2363,2446,0,0,0,-1.17105813467169,1.15798180314309,0
1,69,311,385,2379,2398,0,0,0,0.67710537452391,-1.96238757154538,0
1,72,413,314,2314,2348,0,0,0,-2.73224043715847,-2.08507089241034,0
1,75,393,304,2351,2393,0,0,0,1.59896283491789,1.91652470187394,0
1,78,380,301,2356,2339,0,0,0,0.212675457252233,-2.25658169661513,0
1,81,339,347,2341,2315,0,0,0,-0.636672325976231,-1.02607952116289,0
1,84,401,425,2335,2355,0,0,0,-0.256300726185391,1.72786177105832,0
1,87,405,417,2327,2335,0,0,0,-0.342612419700214,-0.849256900212314,0
1,90,324,353,2327,2301,0,0,0,0,-1.45610278372591,0
1,93,314,368,2268,2316,0,0,0,-2.5354533734422,0.651890482398957,0
1,96,548,349,2332,2300,0,0,0,2.82186948853616,-0.690846286701209,0
1,99,347,361,2345,2352,0,0,0,0.55746140651801,2.26086956521739,0
2,0,6250,6250,10,10,0,0,0,0,0,0
2,3,6180,6180,15,15,0,0,0,50,50,0
2,6,6145,6149,21,24,0,0,0,40,60,0
2,9,6103,6082,27,34,0,0,0,28.5714285714286,41.6666666666667,0
2,12,6061,6020,40,50,0,0,0,48.1481481481481,47.0588235294118,0
2,15,5970,5927,60,78,0,0,0,50,56,0
2,18,5846,5728,99,120,0,0,0,65,53.8461538461538,0
2,21,5589,5452,148,183,0,0,0,49.4949494949495,52.5,0
2,24,5299,5107,224,270,0,0,0,51.3513513513514,47.5409836065574,0
2,27,4847,4656,327,408,0,0,0,45.9821428571429,51.1111111111111,0
