"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,6250,6250,6250,6250,6250,6250,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,6180.8,6180,6182,6180.4,6180,6181.2,16.2,15.2,17.2,14.8,14,15.6,0,0,0,0,0,0,0,0,0,62,53,72,48,39,56,0,0,0
6,10,6137.4,6129.3,6144.1,6148,6141.7,6154.3,23.7,21.9,25.5,23,20.9,24.8,0,0,0,0,0,0,0,0,0,46.3347338935574,37.9866946778711,54.6078431372549,55.0738795518207,45.922619047619,63.9012605042017,0,0,0
9,10,6086,6073.9,6097.4,6091.8,6078.4,6106.5,34.8,31.2,38.8,34.2,30.3,37.4,0,0,0,0,0,0,0,0,0,46.1345964380447,40.0906403940887,52.3400530503979,48.0550701819581,42.7440884820748,54.0690078037904,0,0,0
12,10,6010,5984.7,6036.3,6014.6,5990.4,6040,53.4,47.2,59.7,50.8,44.6,56.5,0,0,0,0,0,0,0,0,0,53.2986921465182,48.3424358424358,58.2157190635452,48.0682786100743,42.8430545503716,52.8930073731101,0,0,0
15,10,5887.8,5850.2,5928.8,5907.7,5870.5,5950.2,79.5,71.1,88.4,75.4,66.5,84.6,0,0,0,0,0,0,0,0,0,49.1323478207932,46.9622076806386,51.8262399455663,48.6516867272578,44.9157572142097,52.5619047619047,0,0,0
18,10,5712.6,5655.7,5769.5,5744,5684.6,5801.9,121.6,109.7,135.7,112.9,98.2,126.2,0,0,0,0,0,0,0,0,0,53.3431010212918,50.5881360289591,56.7050484426564,49.7467787607849,47.0322182499149,51.8903200961123,0,0,0
21,10,5446,5372.1,5525.2,5513,5428.3,5599.7,181,163.1,199.1,170.1,149.2,191.3,0,0,0,0,0,0,0,0,0,49.0478801489165,46.9129664894127,50.8941873421353,50.4819095516253,49.0722157025503,51.9453816521306,0,0,0
24,10,5095.8,4987.5,5196.2,5163.2,5032.1,5286.8,270.8,245.1,296.9,250.8,218.8,282.3,0,0,0,0,0,0,0,0,0,49.5788062988954,47.4192928498339,51.4289029066887,47.4775546940535,46.2499672446065,48.7919700743483,0,0,0
27,10,4598.1,4452,4740.7,4723.1,4550.4,4885.6,400.9,361.7,440.6,376,328.3,423,0,0,0,0,0,0,0,0,0,48.0792217468332,46.8053949910693,49.5126160658145,50.1859069534512,48.2684801486414,52.1911697303522,0,0,0
30,10,3984,3801.2,4176,4103.6,3885,4319.3,584.5,523.4,637.3,544.2,479.7,604.5,0,0,0,0,0,0,0,0,0,46.0320331239985,44.4044803870262,47.5734565520552,44.9345088322714,43.5661959712087,46.1764690350644,0,0,0
33,10,3214.3,3001.5,3438,3378.4,3133.1,3611.4,833.7,758.8,900.5,772.4,680.2,861.8,0,0,0,0,0,0,0,0,0,42.8811822216011,41.6911826917014,43.9609076031948,42.2992797389,40.7113896621282,43.8065617922495,0,0,0
36,10,2407.5,2198.8,2623.4,2611.8,2347.7,2883.6,1142.5,1049.8,1233.5,1067.2,960.1,1173.1,0,0,0,0,0,0,0,0,0,37.2835255525559,35.4668150818936,38.8305688957298,38.65273014473,36.6382614861808,40.637397157945,0,0,0
39,10,1697,1488.3,1931,1844.2,1608.7,2073.5,1492,1390.1,1587.4,1405.2,1292.4,1513.2,0,0,0,0,0,0,0,0,0,31.0390835602968,28.898831251765,33.3913983453166,32.5490962088533,28.9840100694023,36.1685279010147,0,0,0
42,10,1098.2,974.6,1221,1222,1062.3,1366.1,1831.5,1736.1,1916.3,1739.5,1640.8,1836,0,0,0,0,0,0,0,0,0,23.1381481011314,20.957260193327,25.5840936144639,24.364847840426,21.3133698747345,27.3505077056654,0,0,0
45,10,778.1,688.5,882.7,822.1,728,916.9,2104,2036.4,2163.1,2032.9,1950,2099.3,0,0,0,0,0,0,0,0,0,15.1845313485143,12.6113616282676,17.6241116782367,17.2168116428361,14.6088857178831,19.6429113514653,0,0,0
48,10,487.4,433.7,545.9,554.6,496.4,621.7,2272.4,2226.6,2310.2,2237.9,2181.9,2283.1,0,0,0,0,0,0,0,0,0,8.12975975801607,6.42354627657766,9.88940108504164,10.2446183327055,8.57225319165457,12.0679067226597,0,0,0
51,10,387.5,362.3,415.7,432,397.7,468.9,2391.3,2360.5,2419,2360.7,2336.3,2381.9,0,0,0,0,0,0,0,0,0,5.27968745181259,3.90161151190707,6.63862973916139,5.57441380342687,3.98310806678739,7.12638573616282,0,0,0
54,10,345.3,322.8,370,354.4,334,373.5,2418.6,2404.1,2433.8,2417.3,2404.3,2430.5,0,0,0,0,0,0,0,0,0,1.17439408640323,0.0223058566436661,2.30919884138414,2.41693416791422,1.48742116853144,3.37000968961325,0,0,0
57,10,339.9,315,365.5,343,331.4,356.2,2433.9,2420.1,2448.1,2440.8,2431.3,2449.9,0,0,0,0,0,0,0,0,0,0.643045983407342,-0.189541178252274,1.38455155209632,0.984053924761534,0.154352577590162,1.81894257854832,0,0,0
60,10,342.5,327.1,359.2,331.5,309.4,354,2421.5,2407,2436.3,2431.3,2417.9,2446.6,0,0,0,0,0,0,0,0,0,-0.501135490447664,-1.24893516216883,0.448396884127973,-0.388938701562548,-0.850588953264092,0.130446150815526,0,0,0
63,10,329.6,315.6,343.8,326.7,299.2,355.3,2382.9,2371.3,2395.2,2408.1,2386.2,2432.3,0,0,0,0,0,0,0,0,0,-1.58825503055844,-2.1316644733902,-1.04208821568713,-0.948024214104974,-1.91184774654854,0.0415548366981586,0,0,0
