timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,6250,6250,1000,1000,0,0,0
3,1825,1974,1155,1145,0,0,0
6,1570,1737,1443,1440,0,0,0
9,967,1022,1749,1727,0,0,0
12,757,782,2016,1931,0,0,0
15,550,673,2152,2122,0,0,0
18,426,458,2292,2251,0,0,0
21,421,426,2356,2296,0,0,0
24,388,474,2347,2301,0,0,0
27,315,371,2364,2303,0,0,0
30,303,396,2314,2313,0,0,0
33,402,354,2287,2291,0,0,0
36,457,399,2272,2263,0,0,0
39,363,344,2257,2273,0,0,0
42,446,352,2272,2296,0,0,0
45,415,331,2258,2309,0,0,0
48,396,467,2248,2297,0,0,0
51,470,374,2291,2270,0,0,0
54,394,404,2289,2285,0,0,0
57,387,388,2327,2299,0,0,0
60,349,419,2280,2281,0,0,0
63,383,442,2287,2283,0,0,0
66,419,440,2290,2242,0,0,0
69,444,364,2283,2271,0,0,0
72,325,432,2302,2286,0,0,0
75,499,387,2259,2269,0,0,0
78,380,392,2271,2263,0,0,0
81,414,411,2276,2246,0,0,0
84,444,477,2271,2290,0,0,0
87,357,387,2270,2306,0,0,0
90,415,440,2295,2306,0,0,0
93,344,387,2255,2291,0,0,0
96,432,436,2255,2271,0,0,0
99,435,379,2249,2273,0,0,0
