timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,0,25,0,0,0
10,31250,29268,0,36,0,0,0
20,31250,28498,0,132,0,0,0
30,31250,21801,0,219,0,0,0
40,31250,15727,0,495,0,0,0
50,31250,5243,0,550,0,0,0
60,31250,3831,0,536,0,0,0
70,31250,3472,0,616,0,0,0
80,31250,2648,0,480,0,0,0
90,31250,5096,0,590,0,0,0
100,31250,2757,0,627,0,0,0
110,31250,2363,0,500,0,0,0
120,31250,4488,0,649,0,0,0
130,31250,2066,0,554,0,0,0
140,31250,3138,0,557,0,0,0
150,31250,3606,0,570,0,0,0
160,31250,3361,0,499,0,0,0
170,31250,4702,0,639,0,0,0
180,31250,2144,0,517,0,0,0
190,31250,3794,0,579,0,0,0
200,31250,3597,0,611,0,0,0
210,31250,2735,0,521,0,3,30
220,31250,4490,0,532,0,3,35
230,31250,4001,0,595,0,8,38
240,31250,3196,0,519,0,1,44
250,31250,4450,0,576,0,2,53
260,31250,3513,0,488,0,5,63
270,31250,5301,0,522,0,5,78
280,31250,4961,0,535,0,10,100
290,31250,4384,0,531,0,14,102
300,31250,5195,0,459,0,5,116
310,31250,6940,0,472,0,10,142
320,31250,6989,0,459,0,10,149
330,31250,7350,0,529,0,6,136
340,31250,4910,0,477,0,14,156
350,31250,7353,0,441,0,9,165
360,31250,8321,0,498,0,10,183
370,31250,6879,0,407,0,12,195
380,31250,10133,0,455,0,17,194
390,31250,8707,0,348,0,13,200
400,31250,12258,0,425,0,9,179
410,31250,9301,0,398,0,10,165
420,31250,9597,0,389,0,15,150
430,31250,9757,0,538,0,8,143
440,31250,5020,0,454,0,17,153
450,31250,7689,0,484,0,13,167
460,31250,6781,0,494,0,10,171
470,31250,6899,0,452,0,11,187
480,31250,8812,0,447,0,10,183
490,31250,8224,0,404,0,19,182
500,31250,8676,0,577,0,8,144
510,31250,4787,0,415,0,17,179
520,31250,9293,0,483,0,16,163
530,31250,7105,0,477,0,13,170
540,31250,6999,0,407,0,17,181
550,31250,9114,0,471,0,13,169
560,31250,7326,0,459,0,12,167
570,31250,8611,0,400,0,11,161
580,31250,9276,0,452,0,17,138
590,31250,7513,0,424,0,14,133
600,31250,8415,0,529,0,6,136
610,31250,5138,0,420,0,15,141
620,31250,9395,0,491,0,11,150
630,31250,7176,0,433,0,7,142
640,31250,8080,0,564,0,12,150
650,31250,4562,0,454,0,10,161
660,31250,7370,0,491,0,11,173
670,31250,7157,0,418,0,16,191
680,31250,9310,0,442,0,14,187
690,31250,9012,0,421,0,16,193
700,31250,9507,0,387,0,9,185
710,31250,10194,0,494,0,12,173
720,31250,6475,0,445,0,8,171
730,31250,8421,0,435,0,18,190
740,31250,8350,0,457,0,13,194
750,31250,8216,0,469,0,14,170
760,31250,7519,0,410,0,12,181
770,31250,9503,0,401,0,18,182
780,31250,9986,0,460,0,18,168
790,31250,8045,0,436,0,14,172
800,31250,8503,0,483,0,18,175
810,31250,7020,0,403,0,19,166
820,31250,9382,0,413,0,10,148
830,31250,9024,0,459,0,10,136
840,31250,6972,0,489,0,12,144
850,31250,7146,0,434,0,10,152
860,31250,8377,0,472,0,5,149
870,31250,6994,0,508,0,6,159
880,31250,5487,0,471,0,16,157
890,31250,7305,0,444,0,13,164
900,31250,7716,0,529,0,10,139
910,31250,5698,0,464,0,12,178
920,31250,7775,0,388,0,24,216
930,31250,10629,0,448,0,13,188
940,31250,9179,0,436,0,11,182
950,31250,8646,0,385,0,11,178
960,31250,10201,0,505,0,10,167
970,31250,6767,0,389,0,10,177
980,31250,9976,0,424,0,20,162
990,31250,8396,0,484,0,8,158
1000,31250,6986,0,423,0,15,165
