timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29298,29302,29,32,0,0,0
20,28976,28705,46,92,0,0,0
30,27767,24606,63,199,0,0,0
40,26581,17068,102,393,0,0,0
50,23911,7492,133,558,0,0,0
60,21024,3110,202,529,0,0,0
70,16585,4027,272,590,0,0,0
80,13467,3254,329,517,0,0,0
90,10694,3774,398,602,0,0,0
100,7232,2634,483,573,0,0,0
110,5374,3067,485,528,0,0,0
120,5001,3944,500,595,0,0,0
130,4439,3355,516,500,0,0,0
140,4351,4250,489,617,0,0,0
150,4979,2432,504,537,0,0,0
160,4746,3358,495,563,0,0,0
170,4709,3262,486,550,0,0,0
180,4825,3449,518,627,0,0,0
190,4466,2248,500,524,0,0,0
200,4573,3781,494,591,0,0,0
210,5191,3217,475,473,3,4,35
220,5301,5318,467,603,0,0,52
230,6163,3446,455,545,3,6,82
240,6855,4466,443,458,1,5,148
250,7792,7948,380,437,5,10,247
260,11524,8860,249,356,9,21,335
270,18467,14767,136,291,17,11,444
280,25303,18147,46,149,5,10,403
290,29322,24535,13,90,2,5,195
300,30410,25788,14,113,0,4,65
310,30366,23609,13,229,0,4,30
320,30381,16221,16,370,0,3,34
330,30080,9268,22,428,1,2,38
340,29522,6590,27,625,0,3,44
350,29505,3086,37,499,0,5,64
360,28670,5105,34,533,0,5,83
370,29185,3898,40,580,0,8,90
380,28580,3643,46,465,0,5,108
390,28123,6546,52,461,1,10,122
400,27787,6729,43,491,2,8,123
410,28420,6294,60,525,0,4,146
420,27630,6136,50,416,1,12,177
430,28264,9063,41,410,0,15,190
440,28677,9508,31,405,3,17,207
450,29398,10071,29,370,0,18,207
460,29560,11511,25,387,0,12,216
470,30160,10956,5,351,2,7,196
480,31037,11539,0,407,1,17,151
490,31250,8766,0,483,0,8,145
500,31250,6358,0,431,0,8,132
510,31250,8290,0,441,0,7,133
520,31250,7858,0,498,0,5,126
530,31250,6086,0,471,0,7,107
540,31250,6273,0,513,0,6,113
550,31250,4938,0,462,0,9,109
560,31250,7444,0,499,0,7,126
570,31250,6271,0,471,0,14,163
580,31250,7255,0,436,0,20,178
590,31250,8285,0,420,0,15,167
600,31250,9222,0,430,0,12,160
610,31250,8602,0,407,0,8,178
620,31250,9559,0,473,0,11,162
630,31250,6849,0,450,0,15,154
640,31250,7520,0,436,0,14,154
650,31250,8176,0,484,0,8,161
660,31250,6623,0,469,0,11,149
670,31250,7516,0,400,0,14,150
680,31250,10021,0,420,0,9,156
690,31250,9103,0,458,0,11,147
700,31250,6963,0,447,0,12,162
710,31250,8244,0,382,0,7,168
720,31250,10910,0,439,0,8,163
730,31250,8280,0,439,0,10,173
740,31250,9129,0,463,0,11,182
750,31250,7546,0,407,0,15,172
760,31250,9198,0,429,0,8,164
770,31250,7953,0,461,0,4,129
780,31250,6520,0,451,0,14,119
790,31250,6921,0,541,0,13,116
800,31250,4632,0,475,0,14,147
810,31250,6674,0,455,0,7,160
820,31250,7482,0,494,0,17,160
830,31250,6791,0,417,0,15,154
840,31250,8642,0,469,0,8,146
850,31250,6401,0,426,0,11,149
860,31250,7816,0,506,0,8,153
870,31250,6119,0,431,0,10,144
880,31250,8795,0,473,0,13,144
890,31250,6928,0,450,0,11,158
900,31250,7090,0,480,0,8,129
910,31250,6320,0,476,0,6,147
920,31250,7471,0,395,0,9,153
930,31250,9761,0,494,0,10,140
940,31250,6121,0,443,0,13,138
950,31250,7830,0,470,0,4,146
960,31250,6861,0,477,0,11,135
970,31250,7239,0,460,0,12,156
980,31250,7623,0,394,0,14,156
990,31250,9753,0,497,0,7,147
1000,31250,6105,0,435,0,8,149
