timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29274,29376,25,24,0,0,0
20,29454,29393,42,41,0,0,0
30,28102,28143,50,52,0,0,0
40,27481,27236,81,88,0,0,0
50,25085,24686,115,111,0,0,0
60,22557,23190,181,168,0,0,0
70,18439,19338,236,227,0,0,0
80,15036,15915,296,302,0,0,0
90,11885,11299,358,360,0,0,0
100,8566,8883,472,445,0,0,0
110,5351,6185,479,485,0,0,0
120,4494,4972,499,505,0,0,0
130,4427,4603,509,481,0,0,0
140,4166,4878,510,497,0,0,0
150,4885,3908,517,534,0,0,0
160,4072,3680,508,510,0,0,0
170,4802,4279,501,497,0,0,0
180,4678,4719,499,492,0,0,0
190,4019,4748,483,516,0,0,0
200,4995,4262,532,501,0,0,0
210,4120,5346,492,462,1,2,47
220,5018,6219,478,417,5,4,82
230,5873,8201,435,419,2,2,151
240,8240,10185,369,308,8,14,257
250,11507,16373,274,173,11,8,394
260,18103,24905,135,40,11,4,430
270,25438,29620,56,9,5,1,213
280,28099,30932,38,1,3,0,60
290,28668,31179,36,1,2,0,18
300,28601,31175,53,1,1,0,2
310,27442,31203,77,2,0,0,0
320,25544,31080,108,4,0,0,0
330,23282,30958,156,8,0,0,0
340,19688,30674,219,9,0,0,0
350,15904,30530,290,15,0,0,0
360,12632,30102,358,26,0,0,0
370,8909,29196,434,34,0,0,0
380,6333,28696,469,57,0,0,0
390,4813,26999,522,76,0,0,0
400,4003,25476,526,117,0,0,0
410,3848,22562,506,160,0,0,0
420,4037,19935,525,238,0,0,0
430,3943,14778,490,312,0,0,0
440,5013,11464,486,373,0,0,0
450,4723,8746,525,427,0,0,0
460,3921,6621,506,463,0,0,0
470,4372,5498,511,497,0,0,0
480,3998,4088,511,540,0,0,0
490,4422,3739,509,507,0,0,0
500,4330,4686,467,481,0,0,0
510,4913,5139,515,494,0,0,0
520,4178,4209,514,516,0,0,0
530,4510,4539,476,508,0,0,0
540,4684,4227,514,498,0,0,0
550,4097,4370,514,499,0,0,0
560,3951,4738,500,522,0,0,0
570,4388,4611,504,490,0,0,0
580,3984,4732,496,518,0,0,0
590,4604,4289,518,506,0,0,0
600,3809,4300,541,498,0,0,0
610,4114,4372,485,524,0,0,0
620,4711,4097,492,511,0,0,0
630,4691,3953,517,499,0,0,0
640,4235,5127,514,493,0,0,0
650,4647,4951,499,486,0,0,0
660,4805,4902,478,518,0,0,0
670,4741,4008,469,498,0,0,0
680,5344,4441,508,494,0,0,0
690,4233,4350,520,519,0,0,0
700,4052,4598,511,491,0,0,0
710,4228,5102,518,489,0,0,0
720,4611,4342,504,523,0,0,0
730,4526,3728,488,512,0,0,0
740,4854,4266,470,491,0,0,0
750,5477,4807,529,506,0,0,0
760,3523,4391,517,506,0,0,0
770,4198,4471,509,514,0,0,0
780,4326,4448,490,500,0,0,0
790,4826,4954,502,485,0,0,0
800,4395,5026,508,495,0,0,0
810,4595,4870,497,488,0,0,0
820,5063,4733,494,510,0,0,0
830,4758,4956,492,495,0,0,0
840,4458,4979,502,478,0,0,0
850,4434,5203,535,486,0,0,0
860,4385,5090,502,485,0,0,0
870,4688,4760,480,492,0,0,0
880,4992,4658,510,514,0,0,0
890,4139,4280,536,497,0,0,0
900,4324,4613,496,510,0,0,0
910,4824,4724,495,491,0,0,0
920,4599,5062,500,476,0,0,0
930,4540,5197,504,499,0,0,0
940,4640,4344,526,523,0,0,0
950,3971,4074,467,496,0,0,0
960,5189,4532,507,485,0,0,0
970,4296,4684,548,511,0,0,0
980,3911,4292,475,508,0,0,0
990,5185,4785,514,488,0,0,0
1000,4071,5096,496,520,0,0,0
