timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29470,29367,23,24,0,0,0
20,29696,29616,29,35,0,0,0
30,29034,28771,52,51,0,0,0
40,27225,27431,68,69,0,0,0
50,26508,25801,93,106,0,0,0
60,24343,23468,134,156,0,0,0
70,21709,19933,193,211,0,0,0
80,17308,16132,243,308,0,0,0
90,14819,11344,335,370,0,0,0
100,10083,8808,401,441,0,0,0
110,7745,6282,464,479,0,0,0
120,5660,5476,493,476,0,0,0
130,5018,5550,497,490,0,0,0
140,4799,4863,488,486,0,0,0
150,4900,5066,499,496,0,0,0
160,4368,4745,544,524,0,0,0
170,3253,4147,524,500,0,0,0
180,3700,4277,520,496,0,0,0
190,3748,4661,512,521,0,0,0
200,4146,4568,485,495,0,0,0
210,5294,5424,513,450,0,0,47
220,4844,7464,498,397,1,3,91
230,5306,10263,447,339,1,4,175
240,7393,15543,394,199,12,7,311
250,11593,24840,254,32,9,4,434
260,19533,30505,113,2,10,0,322
270,25683,31197,59,0,6,0,127
280,27788,31250,34,0,6,0,44
290,28984,31250,48,0,0,0,6
300,27775,31250,63,0,0,0,0
310,26373,31250,100,0,0,0,0
320,23744,31250,138,0,0,0,0
330,21232,31250,199,0,0,0,0
340,17013,31250,266,0,0,0,0
350,13470,31250,333,0,0,0,0
360,9938,31250,437,0,0,0,0
370,6276,31250,470,0,0,0,0
380,5020,31250,498,0,0,0,0
390,4146,31250,521,0,0,0,0
400,4020,31250,500,0,0,0,0
410,4907,31250,512,0,0,0,0
420,4148,31250,500,0,0,0,0
430,4575,31250,490,0,0,0,0
440,4554,31250,508,0,0,0,0
450,4016,31250,542,0,0,0,0
460,4243,31250,479,0,0,0,0
470,5066,31250,520,0,0,0,0
480,4170,31250,478,0,0,0,0
490,5405,31250,493,0,0,0,0
500,4911,31250,486,0,0,0,0
510,5462,31250,494,0,0,0,0
520,4633,31250,490,0,0,0,0
530,4579,31250,497,0,0,0,0
540,4506,31250,508,0,0,0,0
550,4411,31250,515,0,0,0,0
560,4096,31250,509,0,0,0,0
570,4412,31250,522,0,0,0,0
580,3854,31250,493,0,0,0,0
590,4788,31250,493,0,0,0,0
600,4749,31250,498,0,0,0,0
610,4480,31250,499,0,0,0,0
620,4450,31250,512,0,0,0,0
630,4135,31250,509,0,0,0,0
640,4375,31250,527,0,0,0,0
650,3938,31250,487,0,0,0,0
660,4741,31250,531,0,0,0,0
670,3929,31250,498,0,0,0,0
680,4542,31250,500,0,0,0,0
690,4672,31250,501,0,0,0,0
700,4522,31250,517,0,0,0,0
710,4292,31250,471,0,0,0,0
720,5294,31250,486,0,0,0,0
730,4783,31250,497,0,0,0,0
740,4909,31250,514,0,0,0,0
750,4397,31250,508,0,0,0,0
760,4341,31250,508,0,0,0,0
770,4138,31250,492,0,0,0,0
780,4624,31250,507,0,0,0,0
790,4087,31250,506,0,0,0,0
800,4442,31250,513,0,0,0,0
810,4383,31250,504,0,0,0,0
820,4299,31250,500,0,0,0,0
830,4665,31250,503,0,0,0,0
840,4226,31250,501,0,0,0,0
850,4601,31250,508,0,0,0,0
860,5054,31250,501,0,0,0,0
870,4565,31250,492,0,0,0,0
880,4634,31250,508,0,0,0,0
890,4829,31250,485,0,0,0,0
900,4482,31250,501,0,0,0,0
910,4534,31250,509,0,0,0,0
920,4206,31250,517,0,0,0,0
930,4413,31250,498,0,0,0,0
940,4644,31250,490,0,0,0,0
950,5340,31250,493,0,0,0,0
960,4966,31250,497,0,0,0,0
970,4632,31250,513,0,0,0,0
980,4096,31250,496,0,0,0,0
990,4564,31250,511,0,0,0,0
1000,3890,31250,539,0,0,0,0
