timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29259,28928,26,21,0,0,0
20,29289,29074,39,27,0,0,0
30,28366,28552,58,41,0,0,0
40,26789,27138,78,59,0,0,0
50,25395,25446,116,87,0,0,0
60,22580,22763,171,128,0,0,0
70,18968,19096,244,163,0,0,0
80,14766,16238,314,204,0,0,0
90,10488,13111,410,267,0,0,0
100,6961,10736,490,303,0,0,0
110,4384,8146,499,320,0,0,0
120,4604,8138,500,327,0,0,0
130,4789,7608,524,337,0,0,0
140,3665,6835,501,357,0,0,0
150,4334,6341,519,336,0,0,0
160,4322,7025,473,342,0,0,0
170,4943,6105,502,365,0,0,0
180,4548,5610,525,359,0,0,0
190,4151,6001,497,344,0,0,0
200,4971,6473,508,342,0,0,0
210,4853,6936,480,338,0,1,40
220,5333,7009,469,334,4,0,57
230,6351,7321,439,323,5,1,80
240,6707,8274,436,285,6,4,128
250,7724,11172,371,236,9,5,175
260,10437,14218,320,191,13,7,236
270,13364,17383,258,147,7,6,265
280,17264,21445,189,80,7,3,262
290,21016,25896,125,49,4,3,183
300,23891,27369,102,37,7,1,111
310,24463,27903,98,42,3,1,42
320,24615,27593,120,45,0,0,25
330,22361,26815,171,58,1,0,14
340,18845,25699,223,85,0,0,8
350,15986,22941,299,118,0,0,5
360,11936,20051,363,160,0,0,13
370,9132,16620,431,202,1,0,11
380,6493,13711,470,242,0,0,15
390,5202,11354,472,273,2,1,25
400,5474,10193,470,307,3,0,40
410,5686,8824,472,315,1,3,53
420,5666,8846,443,289,3,7,94
430,7131,10227,392,256,8,4,139
440,9884,12316,354,210,13,5,206
450,11686,15801,307,160,10,10,255
460,14913,20398,216,105,7,5,272
470,19457,24635,142,54,9,3,231
480,23018,27083,117,37,5,2,128
490,23879,28254,97,26,6,3,65
500,24647,28879,121,35,5,1,36
510,22822,27824,136,47,1,0,20
520,21643,26639,184,66,2,0,14
530,18457,24752,231,89,2,0,13
540,15863,23062,285,116,0,0,6
550,12145,20328,378,170,0,0,6
560,8585,15999,434,215,0,0,6
570,6794,13121,466,282,0,0,8
580,5371,9157,506,308,1,0,9
590,4215,8165,485,319,0,1,19
600,5185,8105,497,316,0,2,26
610,5235,7360,469,312,0,2,31
620,5682,8515,485,309,2,1,44
630,5424,8169,465,337,6,2,72
640,6238,7324,385,292,7,3,127
650,9569,10648,368,249,19,1,169
660,11116,13246,302,192,11,7,241
670,14126,18011,244,132,3,10,273
680,17990,21555,172,91,11,3,226
690,21918,24334,113,72,4,2,162
700,24613,25782,92,62,5,3,92
710,25318,25506,104,56,1,3,51
720,23844,26119,133,70,1,1,24
730,21753,24698,167,90,1,2,20
740,19465,22510,202,114,0,1,19
750,17123,20759,279,145,1,0,14
760,12944,18183,365,180,2,0,17
770,8572,15578,401,224,3,1,25
780,7367,12168,451,250,2,0,31
790,6066,11028,472,282,1,2,40
800,6203,9450,474,283,2,3,63
810,5712,10109,420,271,5,2,93
820,8005,10746,422,273,3,6,145
830,8365,11294,351,217,10,9,188
840,11733,15516,292,159,10,4,248
850,15229,20499,219,112,12,5,247
860,19800,22963,134,76,3,4,221
870,23583,25583,105,52,3,5,129
880,24498,26821,107,62,3,0,66
890,23922,25773,129,60,3,0,33
900,22234,25843,155,69,2,0,25
910,20090,24788,207,87,2,0,20
920,16534,22720,272,131,1,0,10
930,12670,19298,351,171,0,0,9
940,9442,16037,409,208,1,0,18
950,7003,13647,467,247,0,2,18
960,5623,11184,484,269,0,0,28
970,5326,9727,475,281,1,0,41
980,5845,9980,453,325,3,4,67
990,5957,8154,454,277,3,7,102
1000,6936,10816,403,268,7,3,148
