timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29399,29221,24,28,0,0,0
20,29471,29102,34,44,0,0,0
30,28452,28162,44,57,0,0,0
40,27883,26960,64,82,0,0,0
50,26408,25312,87,118,0,0,0
60,24911,22268,121,175,0,0,0
70,22434,18244,147,261,0,0,0
80,20160,13879,217,326,0,0,0
90,16065,10078,317,407,0,0,0
100,10223,7672,394,465,0,0,0
110,7579,5446,467,485,0,0,0
120,5180,4606,499,498,0,0,0
130,5122,4764,507,502,0,0,0
140,4132,4032,502,544,0,0,0
150,4595,2963,497,524,0,0,0
160,4726,4578,509,484,0,0,0
170,4266,5310,522,464,0,0,0
180,3864,5240,500,505,0,0,0
190,4917,3824,493,523,0,0,0
200,4406,3888,494,495,0,0,0
210,4722,4616,502,494,4,2,37
220,4923,5093,451,502,4,0,63
230,6588,5440,455,448,2,3,113
240,7008,6661,403,409,5,8,205
250,9452,9495,325,318,4,12,274
260,14329,15051,202,200,11,12,367
270,21332,21210,89,102,12,7,347
280,26890,26439,49,56,2,5,186
290,28298,27931,36,46,2,3,62
300,28662,28306,34,49,1,0,28
310,28976,27918,43,52,0,0,14
320,28047,27549,61,76,0,1,6
330,26699,25557,85,107,0,0,1
340,24968,23424,127,151,0,0,1
350,21753,20157,195,202,0,1,3
360,17365,17100,260,273,1,0,6
370,13651,12978,327,362,1,0,10
380,9883,8805,403,425,1,1,18
390,7231,6861,442,453,0,1,23
400,6704,5589,484,485,0,0,38
410,5288,5251,467,463,3,1,73
420,6081,5945,403,469,4,3,109
430,8964,6213,391,416,5,7,173
440,9900,8678,336,326,4,11,251
450,13464,13511,236,237,11,11,322
460,19772,18858,131,133,7,19,336
470,24643,24897,67,68,4,6,239
480,27522,27960,39,38,2,1,125
490,28732,29006,41,32,1,0,35
500,28282,28924,53,40,0,2,7
510,27464,28303,75,56,0,1,3
520,25698,26976,110,81,0,0,1
530,22719,25096,168,114,0,0,0
540,19034,22799,252,166,0,0,0
550,13987,19190,328,265,0,0,0
560,10680,12948,381,324,0,0,0
570,7969,10770,449,403,0,0,0
580,6165,7329,485,446,0,0,0
590,5233,6128,484,468,0,0,0
600,5157,5321,475,518,0,0,0
610,4872,4479,516,518,0,0,0
620,4496,4107,504,482,0,0,0
630,3852,4515,511,504,0,0,0
640,3853,4425,512,500,0,0,0
650,4407,4632,475,503,0,0,0
660,5292,4637,521,498,0,0,0
670,4142,4826,505,491,0,0,0
680,3972,4873,524,506,0,0,0
690,3926,4630,504,514,0,0,0
700,4935,4795,493,501,0,0,0
710,5298,4498,492,487,0,0,0
720,4700,4577,499,506,0,0,0
730,4211,3974,519,509,0,0,0
740,4427,4169,508,513,0,0,0
750,4156,3955,499,509,0,0,0
760,4574,4400,508,496,0,0,0
770,4769,4744,507,488,0,0,0
780,4524,5307,498,488,0,0,0
790,4616,4979,500,492,0,0,0
800,4741,4722,476,518,0,0,0
810,5315,4168,495,497,0,0,0
820,4475,4623,510,485,0,0,0
830,4235,4786,529,504,0,0,0
840,4158,4526,474,511,0,0,0
850,4736,4501,521,500,0,0,0
860,4095,4294,505,500,0,0,0
870,4476,4751,504,496,0,0,0
880,4735,4706,497,511,0,0,0
890,4821,4368,484,481,0,0,0
900,4427,4818,511,518,0,0,0
910,4589,4164,500,507,0,0,0
920,4523,4645,505,506,0,0,0
930,4439,4487,514,497,0,0,0
940,4454,5009,506,508,0,0,0
950,4262,4217,488,514,0,0,0
960,4983,4389,492,501,0,0,0
970,4906,4584,497,485,0,0,0
980,5033,5082,504,482,0,0,0
990,4453,5006,511,490,0,0,0
1000,4487,4180,495,522,0,0,0
