timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,160,160,10,10,0,0,0
1,110,110,10,10,0,0,0
2,115,110,21,22,0,0,0
3,70,65,21,22,0,0,0
4,70,60,32,34,2,2,4
5,60,35,31,31,1,3,4
6,35,55,54,41,1,3,9
7,10,50,48,39,7,2,9
8,20,50,65,43,5,4,16
9,25,30,60,35,7,9,16
10,10,40,68,49,10,6,29
11,20,20,59,44,17,12,29
12,15,45,54,54,15,11,47
13,20,25,43,43,24,19,47
14,40,20,49,39,25,19,94
15,15,20,33,24,42,35,94
16,30,65,25,25,29,23,147
17,55,55,13,11,23,24,147
18,95,115,5,7,11,11,135
19,135,125,0,2,5,7,135
