timeStep,cellCode,xCell,yCell,resource1amount,resource2amount,prey1,prey2,prey1catches,prey2catches,predator1
0,0,0,0,10,10,0,1,0,0,0
0,1,0,1,10,10,0,2,0,0,0
0,2,0,2,10,10,1,0,0,0,0
0,3,0,3,10,10,0,0,0,0,0
0,4,1,0,10,10,2,0,0,0,0
0,5,1,1,10,10,1,1,0,0,0
0,6,1,2,10,10,2,1,0,0,0
0,7,1,3,10,10,1,2,0,0,0
0,8,2,0,10,10,0,1,0,0,0
0,9,2,1,10,10,0,0,0,0,0
0,10,2,2,10,10,1,0,0,0,0
0,11,2,3,10,10,0,0,0,0,0
0,12,3,0,10,10,0,0,0,0,0
0,13,3,1,10,10,2,1,0,0,0
0,14,3,2,10,10,0,0,0,0,0
0,15,3,3,10,10,0,1,0,0,0
5,0,0,0,0,0,7,6,1,0,1
5,1,0,1,0,0,2,1,0,1,1
5,2,0,2,10,5,0,1,0,0,0
5,3,0,3,0,0,6,2,0,0,0
5,4,1,0,10,0,0,1,0,1,1
5,5,1,1,0,0,2,1,0,1,1
5,6,1,2,10,0,0,2,0,0,0
5,7,1,3,0,0,2,3,0,0,0
5,8,2,0,0,5,3,1,0,0,0
5,9,2,1,5,0,1,3,0,0,0
5,10,2,2,0,5,2,1,0,0,0
5,11,2,3,0,0,3,3,0,0,0
5,12,3,0,10,0,0,4,0,0,0
5,13,3,1,5,10,1,0,0,0,0
5,14,3,2,10,5,0,1,0,0,0
5,15,3,3,0,5,2,1,0,0,0
10,0,0,0,0,0,8,8,0,1,1
10,1,0,1,0,5,3,3,0,0,0
10,2,0,2,0,0,5,2,2,1,6
10,3,0,3,0,0,2,5,0,1,1
10,4,1,0,0,5,1,0,4,1,10
10,5,1,1,0,5,8,1,1,0,2
10,6,1,2,0,10,6,0,0,0,0
10,7,1,3,0,0,3,3,1,0,3
10,8,2,0,0,0,5,4,0,0,0
10,9,2,1,5,0,1,5,0,0,0
10,10,2,2,0,5,4,0,0,1,1
10,11,2,3,5,10,1,0,0,0,0
10,12,3,0,0,0,2,5,1,0,2
10,13,3,1,0,0,4,4,0,1,1
10,14,3,2,0,0,7,6,0,0,0
10,15,3,3,0,0,8,3,1,0,2
15,0,0,0,0,0,4,1,5,2,14
15,1,0,1,0,5,3,0,4,1,7
15,2,0,2,0,5,1,0,2,1,6
15,3,0,3,0,0,2,3,3,4,7
15,4,1,0,0,5,5,1,5,0,5
15,5,1,1,0,0,3,2,2,3,5
15,6,1,2,5,0,0,3,1,4,5
15,7,1,3,0,0,3,1,4,2,6
15,8,2,0,0,0,4,3,3,3,6
15,9,2,1,0,0,2,1,2,1,3
15,10,2,2,0,0,1,2,1,2,3
15,11,2,3,0,0,2,2,3,3,8
15,12,3,0,0,0,1,3,2,4,7
15,13,3,1,5,5,0,0,1,1,4
15,14,3,2,0,0,2,1,3,2,5
15,15,3,3,5,0,0,1,1,2,3
