"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,13765.7,13619,13885.3,13893.1,13765.6,14020.2,233,230.2,235.3,234.3,230.5,237.9,0,0,0,0,0,0,0,0,0,-6.8,-7.92,-5.84,-6.28,-7.72,-4.88,0,0,0
20,10,14973.9,14748.9,15192,14900.8,14679.1,15117.1,312.5,304.9,321.2,312.2,302.1,321.7,0,0,0,0,0,0,0,0,0,34.1679279886089,30.62576757619,37.8866702919992,33.3296607182474,29.045525543871,38.7100232714482,0,0,0
30,10,10799.9,10434.8,11147.1,10973.3,10540.5,11385.7,403.1,394.2,411.8,392.2,383.9,400.3,0,0,0,0,0,0,0,0,0,29.1896839177683,25.0757692982382,33.678844182794,25.7847098382539,23.0847185299377,28.7692072595172,0,0,0
40,10,7206.2,6895.6,7513.3,7722.3,7360.1,8060,451.9,444.7,458.7,449.1,440.8,457.5,0,0,0,0,0,0,0,0,0,12.2596768035852,9.38003876788072,15.4663506039552,14.6056975194812,11.8649711514914,17.0585459489416,0,0,0
50,10,5896.2,5581.7,6219.2,5968.1,5678,6273.7,484.1,475.4,491.5,484.3,476.8,490.6,0,0,0,0,0,0,0,0,0,7.14114954470185,5.92525386569883,8.51226614871046,7.98290802609553,4.73403033203637,11.2015390968344,0,0,0
60,10,4949,4663.3,5237.4,4970.1,4763.6,5164.8,507.6,499.4,515.1,493.3,488,498.9,0,0,0,0,0,0,0,0,0,4.914349548159,2.64161403950712,6.83918301656877,1.90753441463114,0.306444302097475,3.64869957581891,0,0,0
70,10,4359,4073.9,4611.7,4599.1,4384.2,4813.5,499,491.8,506,500.5,492.5,508.5,0,0,0,0,0,0,0,0,0,-1.6400307715513,-3.57471304584814,0.320256583261273,1.4818931145812,-0.133194761874709,3.18411438110527,0,0,0
80,10,4583.3,4401.3,4729.2,4427.6,4253.4,4576.7,496.2,490.4,501.8,507.4,499.5,514.2,0,0,0,0,0,0,0,0,0,-0.503016315860894,-2.20592997590089,1.53690373859657,1.45703207461967,-1.08002832725565,3.74525991659631,0,0,0
90,10,4664.4,4458.6,4869,4362.9,4162.6,4574.7,504,493.5,512.8,510,501.8,518.5,0,0,0,0,0,0,0,0,0,1.5852728115887,-0.189596527950325,3.19606375790509,0.54494482576251,-1.01473783816228,2.21431578650001,0,0,0
100,10,4428.4,4221.3,4611.7,4423.6,4217.2,4659.7,501.6,493.5,508.5,504,490,515,0,0,0,0,0,0,0,0,0,-0.363498251977455,-3.06255679366931,2.30730246362335,-1.03815799766084,-4.73430538664068,2.18948245268119,0,0,0
110,10,4569.8,4390.6,4762.2,4540.2,4293,4848,504.1,495,512.6,493,484.1,500.2,0,0,0,0,0,0,0,0,0,0.57082569996383,-1.85262944418613,2.96189475526113,-2.0865559331339,-3.97993378009362,0.144810882360767,0,0,0
120,10,4477,4226.9,4723.3,4748.2,4554.1,4977,497.4,487.8,506.7,501.7,495,508.5,0,0,0,0,0,0,0,0,0,-1.2888218042649,-3.19642077915469,0.443077602156751,1.84701758789915,-0.458328376506436,4.49607193162554,0,0,0
130,10,4675.1,4375.2,4964.3,4524,4267.2,4794.4,499.7,494.3,505,500.1,489,508.7,0,0,0,0,0,0,0,0,0,0.550719868794947,-1.46252245187671,2.71857223093085,-0.23180711470276,-3.54052764529297,2.38508312125386,0,0,0
140,10,4615.1,4415.1,4766.5,4616.4,4388.3,4925.1,503.4,492.8,514.1,511.2,502.9,518.8,0,0,0,0,0,0,0,0,0,0.782053941345591,-1.90714562752806,3.25618962919788,2.31986340335242,-0.349091540212991,4.68352327597667,0,0,0
150,10,4617.3,4440.8,4816.1,4450.1,4258.8,4645.3,500.7,491.7,511.2,499.2,492.1,506.8,0,0,0,0,0,0,0,0,0,-0.353964669883171,-3.60513182342877,3.50181303725674,-2.28620186335469,-4.14461720324351,-0.0772913554526997,0,0,0
160,10,4537.3,4268,4801.6,4616.8,4419.9,4798.6,502.5,491.5,513.5,502.7,496.7,508.6,0,0,0,0,0,0,0,0,0,0.470836092211835,-2.56237341423927,3.41843413503073,0.77327207849109,-1.33416766271553,3.04897731303955,0,0,0
170,10,4665.5,4317.1,5060.5,4491,4276.3,4767.7,503.7,500,508.5,497.1,490.2,506.2,0,0,0,0,0,0,0,0,0,0.358259039711506,-1.68740625601817,2.53399876012636,-1.06891308078536,-3.08457370453823,1.31688857223488,0,0,0
180,10,4474.3,4348,4578.3,4526.5,4230.6,4820.4,499.1,489.8,508.6,508.3,502.7,513.5,0,0,0,0,0,0,0,0,0,-0.882237640699492,-3.24402883471653,1.13353291440188,2.33173060286833,0.147748261931564,4.2765749098801,0,0,0
190,10,4716.3,4471.7,4958.2,4456,4353.9,4552.4,505.5,496.3,515.3,505.8,501.1,510.3,0,0,0,0,0,0,0,0,0,1.40344744214906,-1.60657422207209,4.44519857684006,-0.458142329522896,-1.88151317586322,1.08105002480779,0,0,0
200,10,4424.1,4159.6,4686,4471.2,4342.8,4591.7,500.6,491.5,510,506.2,501.4,512.7,0,0,0,0,0,0,0,0,0,-0.869311728993623,-3.54373959175133,1.89792111230315,0.109193720027611,-1.56222397123017,1.69201141259655,0,0,0
210,10,4807.4,4562.4,5057.5,4647.2,4394.4,4870.5,488.1,483.8,492.8,485.6,481.1,489.6,1.1,1,1.3,1.7,1.2,2.2,31.4,29.2,33.7,-2.42192794986399,-4.33617729438089,-0.838739241500427,-4.04426769924634,-5.36604432952251,-2.98997992557616,0,0,0
220,10,5102.3,4940,5249.7,5223.9,5037.5,5404.2,480.2,469.8,490.5,469.5,464.2,474.8,1.6,0.8,2.6,2.6,1.5,3.6,47,42.5,51.9,-1.55825868344844,-4.30689560154853,1.30820261264794,-3.29081508168255,-4.81097939391496,-1.90117494407242,49.3114234970726,39.2586621103863,59.0224900449038
230,10,5395.5,5058.7,5684.1,5653,5339.6,5921.4,464.9,460.2,469.3,468.3,454.1,482.3,1.9,1.1,2.8,3.5,2.2,4.9,68,61.1,75,-3.09793595321127,-4.81992613694754,-1.37240926269102,-0.281165084595019,-2.72112325180202,2.12698737037174,44.7150781436864,39.391030871753,50.3712646228176
