"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,18902.3,18811.6,18982.2,18866.4,18781.1,18959,240.6,238.7,242.6,239.9,237.6,242.4,0,0,0,0,0,0,0,0,0,-3.76,-4.52,-2.96,-4.04,-5.04,-3.04,0,0,0
20,10,19389.4,19263.6,19517.7,19328.9,19207,19430.5,286.3,281.8,289.9,291.3,287.7,294.5,0,0,0,0,0,0,0,0,0,19.0027869007197,17.4569374575451,20.4666518911073,21.4292084501014,20.3888354480024,22.4105436257591,0,0,0
30,10,17291.6,17123.3,17459.3,17071.5,16852.1,17279.7,356.2,351.4,361.2,362.4,353.1,369.7,0,0,0,0,0,0,0,0,0,24.4569097340715,22.4747125451187,26.5923766674444,24.3821061254315,22.4645291734334,26.1242149662873,0,0,0
40,10,14367,14108.7,14648.5,14039.5,13684.6,14373.3,434.6,428.1,441.2,441.4,432.9,448.8,0,0,0,0,0,0,0,0,0,22.0478122306366,19.9212361424532,23.8661728935124,21.8653685569573,19.9836662254436,23.6586481894153,0,0,0
50,10,11336.8,11038,11569.9,11105.8,10770.3,11490.3,516.3,510.7,521.8,523.4,513.2,533.8,0,0,0,0,0,0,0,0,0,18.8603553614259,16.7689089512471,20.9714446823255,18.5989567355792,16.9417473965682,20.2557680571187,0,0,0
60,10,8650.1,8416.5,8917.5,8398.2,8115.5,8650.3,594.8,588.7,600.7,606.5,600.2,613.4,0,0,0,0,0,0,0,0,0,15.2231025414785,13.9554473123066,16.3513024634843,15.9454702754578,14.3511228965492,17.5000920349724,0,0,0
70,10,6640.6,6349.9,6933.8,6264.7,6074.8,6453.6,665.6,657.3,673.4,675.5,670.7,680.7,0,0,0,0,0,0,0,0,0,11.9151304086043,10.6815989591937,13.2058179892091,11.4128658170872,9.86728665483446,12.9013888708271,0,0,0
80,10,5148.5,4936.2,5352.1,4864.3,4650.8,5078.2,707.2,700.3,714.6,717.4,709.5,724.1,0,0,0,0,0,0,0,0,0,6.26455161829318,5.38369392936723,7.07924080924886,6.21208044750753,5.11369121843359,7.39959306718971,0,0,0
90,10,4294.8,4067.3,4543.5,3979.9,3804.1,4190.1,742.2,733.9,749.5,740.8,732.6,747.4,0,0,0,0,0,0,0,0,0,4.96584350632018,3.74520084814271,6.16500083633117,3.2741943853075,2.38719687427112,4.23310960228737,0,0,0
100,10,3781.2,3578.7,4011.9,3749.6,3524.7,3992.4,746.5,738.1,755.5,746.8,735.2,757.2,0,0,0,0,0,0,0,0,0,0.583506907287098,-0.132444660279892,1.3638858798492,0.81820646487996,-0.394491938384248,2.0970271404252,0,0,0
110,10,3695.6,3596.1,3804.4,3574.2,3336.2,3782.3,747.1,740.8,752.8,751.1,744.2,757.2,0,0,0,0,0,0,0,0,0,0.107496010090491,-1.10549340277099,1.11620001029049,0.624922062880799,-0.924842720479307,2.2622104780607,0,0,0
120,10,3611.6,3460.4,3751.5,3616.8,3468.6,3756.6,753.6,747.3,759.2,749,744.9,753.1,0,0,0,0,0,0,0,0,0,0.874332413355336,0.381475985820818,1.4241809645824,-0.265234006408597,-1.08325463620289,0.465496289684004,0,0,0
130,10,3522.8,3394.8,3681.7,3688.7,3535.8,3850.1,742.7,739,746.5,748.7,740.7,757,0,0,0,0,0,0,0,0,0,-1.43493888132602,-2.19429026310485,-0.680763634601886,-0.0298681059149928,-1.31436393980136,1.26210560808764,0,0,0
140,10,3710.6,3536.2,3863.8,3612.3,3325.3,3913.5,747.2,741.6,752.6,744.8,735.2,755.1,0,0,0,0,0,0,0,0,0,0.607290619959692,-0.0127565446055708,1.27954801724789,-0.506012161389817,-1.95276355784023,0.628457960210034,0,0,0
150,10,3661.5,3490.3,3829.2,3650,3441.4,3854.2,748.3,741.4,753.9,741.9,735.4,749,0,0,0,0,0,0,0,0,0,0.159887636595664,-0.89691400168478,1.19753773894898,-0.360677608640953,-1.54991996532679,0.779441262289584,0,0,0
