"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,18932.6,18854.8,19022.4,18904.9,18805.1,19007,239.1,237.3,241,240.3,237.8,242.4,0,0,0,0,0,0,0,0,0,-4.36,-5.12,-3.56,-3.88,-4.8,-2.96,0,0,0
20,10,19420.6,19341.6,19504.7,19456.9,19296.6,19619,287.5,283.1,292,287.2,282.5,290.8,0,0,0,0,0,0,0,0,0,20.274644749315,18.142184684035,22.5055882124179,19.5166635784579,18.3808785470855,20.8043827567985,0,0,0
30,10,17186,16924.5,17416.8,17192.8,16987.6,17416.5,357.4,353.5,361,356.6,351,361.5,0,0,0,0,0,0,0,0,0,24.3631112214409,22.6770614701338,26.1312967581215,24.1725729162138,22.9924787944829,25.063813237637,0,0,0
40,10,14288.8,14098.4,14475.7,14175.7,13911.7,14450.7,431.6,427.6,435.7,433.3,424.2,441.8,0,0,0,0,0,0,0,0,0,20.7909969943943,19.2241376530586,22.3854181729358,21.4963707440375,20.1449287386513,22.9323926270894,0,0,0
50,10,11371.3,11213.8,11534.9,11338.5,10940.2,11726.2,518.5,514.8,522.9,517.8,508.6,527,0,0,0,0,0,0,0,0,0,20.1675039543635,18.6034636618116,21.6898329446212,19.5637906898469,17.4057942038293,21.5405466955956,0,0,0
60,10,8606,8411.9,8798.9,8628.8,8325.3,8955.2,599.5,592.7,605.9,602.1,593.7,611.6,0,0,0,0,0,0,0,0,0,15.630832854404,14.3711123931374,17.0436623973108,16.3373033786525,14.3595062235976,18.318080071141,0,0,0
70,10,6368.6,6183.6,6565,6279.5,6005.1,6569.5,666.3,660.6,672,670.4,665.4,676.2,0,0,0,0,0,0,0,0,0,11.177120375391,9.72796236820642,12.6972420453829,11.3996607383645,9.75569496029978,13.0587669745128,0,0,0
80,10,5052.7,4886.7,5227.7,4839.8,4702.8,4972.2,715.7,710.2,720.7,719.1,713.3,726,0,0,0,0,0,0,0,0,0,7.43067601243477,6.30524646742397,8.34386012907065,7.26836546439618,6.56983272717214,7.8223252712462,0,0,0
90,10,4166.4,4066.3,4274.2,4053.1,3805.3,4279.3,743.9,739.7,747.6,736.9,729.1,744.5,0,0,0,0,0,0,0,0,0,3.95064310132727,3.15323239846119,4.74837623963038,2.47930249366529,1.62860699910614,3.33111015447254,0,0,0
