"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,29997.9,29987.4,30010.3,30006.2,29995.1,30018.5,215.9,211.9,219.8,210.1,206.7,213,0,0,0,0,0,0,0,0,0,-13.64,-15.24,-12.12,-15.96,-17.16,-14.84,0,0,0
20,10,30168.3,30146.9,30191.5,30192.6,30173.4,30213.2,228.6,225,232.3,226.3,221.9,231.5,0,0,0,0,0,0,0,0,0,5.9387295152987,4.05445175843898,8.00509482769491,7.72786882085785,5.89860291386453,10.0961079423711,0,0,0
30,10,30114.6,30097.6,30132.5,30109.1,30067.3,30142.1,252.2,247.1,257.6,255,248.7,261.6,0,0,0,0,0,0,0,0,0,10.3361116180625,8.72107997990352,11.9595093273699,12.7104998929071,10.5837085695545,14.6131302213646,0,0,0
40,10,29999,29969.6,30027.5,29963,29932.7,29990.8,285.5,281.7,289.1,284.7,277.4,292.7,0,0,0,0,0,0,0,0,0,13.2707400383597,11.5323420161487,14.7523884762276,11.6452111012575,10.6249823906802,12.7103599392103,0,0,0
50,10,29821.6,29804,29839.8,29813.3,29770.5,29861.6,320.8,315.4,326.1,324,317,330.2,0,0,0,0,0,0,0,0,0,12.3619912933942,11.3229838351552,13.475006499433,13.8777960530822,12.2402315316598,15.4921591038895,0,0,0
60,10,29642.4,29614.8,29669,29650.4,29615.4,29685.7,364.7,356.2,372.9,364.5,354.2,373.5,0,0,0,0,0,0,0,0,0,13.7191755162403,11.129941470756,15.8899989620409,12.4810165885125,11.0366371095576,14.2242044117289,0,0,0
70,10,29427.4,29391.9,29463.4,29437.4,29387.8,29485.6,415.1,406.7,423.7,414.7,403.6,425.9,0,0,0,0,0,0,0,0,0,13.8566837100494,12.1376520844313,15.4038281887016,13.8216511630226,12.0201719394202,15.7402412668781,0,0,0
80,10,29155.3,29098.6,29207.9,29177.6,29122.7,29233,468.9,459.6,479.4,464.9,451.1,478.6,0,0,0,0,0,0,0,0,0,12.9712507242206,11.5916560465837,14.2255169108105,12.1089861977276,10.4679029571426,13.6545140257785,0,0,0
90,10,28908.9,28853.9,28953.9,28924.2,28856.4,28989,530.2,521.2,540.8,524.7,508.1,539.9,0,0,0,0,0,0,0,0,0,13.1111740735757,11.9035710389043,14.3075728480986,12.8513017411108,11.6930660694996,14.005373710724,0,0,0
100,10,28607.7,28553,28659.6,28619.4,28530.4,28721.1,607.1,596.9,616.1,594.1,572.5,614.7,0,0,0,0,0,0,0,0,0,14.5361957093221,13.1897937858032,15.7702156194313,13.21086707505,12.2289305813322,14.2456788211305,0,0,0
110,10,28221.6,28183.1,28261.7,28286.5,28188,28393.1,683.4,670.9,694.2,671.5,646.8,697,0,0,0,0,0,0,0,0,0,12.5776530838367,11.4620732361821,13.7696905977781,13.0377139099958,11.3871633433446,14.4269573453879,0,0,0
120,10,27843.2,27780.8,27910.4,27905.3,27778.8,28029.1,772.4,760.5,784.7,756.9,729.4,783,0,0,0,0,0,0,0,0,0,13.0474107264684,11.9211456859303,14.0875418698645,12.7587737417615,11.3766343715936,14.0735415859139,0,0,0
130,10,27374.8,27309.9,27436.1,27439.9,27311.3,27564.2,869.6,856.6,882,857.4,828.5,890,0,0,0,0,0,0,0,0,0,12.5936780356604,11.9049400699197,13.3143872954416,13.2944382858047,12.1813056705111,14.5509457557052,0,0,0
140,10,26901.4,26838.1,26965.7,26970.4,26786,27124.1,994.3,979.9,1008.7,977.6,941.5,1015.7,0,0,0,0,0,0,0,0,0,14.3430122978765,13.6893393366988,14.9989116610339,14.024117351709,12.990729944091,14.9757576019924,0,0,0
150,10,26252.9,26168.7,26329.8,26372.3,26184.9,26550.6,1117.8,1099.3,1136.7,1112.6,1069.6,1159.2,0,0,0,0,0,0,0,0,0,12.4147312964371,11.9103052721942,12.9682753235666,13.7673611647202,12.9525470204409,14.3861062503231,0,0,0
160,10,25657.3,25553.1,25754.2,25672.1,25430.2,25893.2,1273.9,1251.7,1296.9,1259.8,1205.2,1309,0,0,0,0,0,0,0,0,0,13.9694747601663,13.0108227642162,14.804052425586,13.2088441482516,12.6358616568908,13.7091778883533,0,0,0
170,10,24899.2,24778.8,25016.1,24962,24709.3,25223.3,1443,1412.6,1470,1432,1371.5,1496.8,0,0,0,0,0,0,0,0,0,13.2575961922577,12.6557366449939,13.7949341566396,13.6559326856961,12.7895281749547,14.5623073337353,0,0,0
180,10,24006.5,23856.4,24170.4,24090.9,23744.5,24400.2,1645.9,1607.2,1680,1624,1552.2,1697.3,0,0,0,0,0,0,0,0,0,14.0652868582755,13.3987614971218,14.6528944308863,13.411190964169,12.8863629026617,14.0095838724899,0,0,0
190,10,22999.8,22828.8,23176.4,23114,22695,23486.1,1866.1,1826.3,1904.1,1843.5,1765.2,1925.4,0,0,0,0,0,0,0,0,0,13.3825514913905,12.8477649180494,13.9926360213351,13.5249864256413,12.9125350952381,14.1596858374091,0,0,0
200,10,21926.7,21717.3,22154.1,22011.4,21648.5,22414.1,2111.9,2060.9,2165.3,2105.6,2010.2,2200.2,0,0,0,0,0,0,0,0,0,13.1551570499206,12.4731503699049,13.8071258535844,14.1845165640899,13.5588466400467,14.9291557504508,0,0,0
210,10,20848.4,20595.9,21082.2,20860.4,20355.1,21332.3,2356.3,2304.7,2405.8,2346.5,2231.5,2452.4,0,0,0,0,0,0,36.5,35.6,37.5,11.5974038388632,10.9812397210972,12.1519252139794,11.4519579231803,11.005912303096,11.8967138135823,0,0,0
220,10,19614.6,19354.1,19860,19675.8,19213.8,20220.1,2633.9,2576.4,2686.6,2606.7,2496.2,2726.2,0,0,0,0,0,0,55.8,54.9,56.8,11.7867042397961,11.4044506825845,12.1488565249953,11.1256138217684,10.5716312274506,11.6636152882013,53.0272842331666,49.9832524832525,55.777552601082
230,10,18319.3,18046.6,18596.2,18455.1,17862.2,19012.8,2932.3,2876.6,2989.2,2895.9,2762.5,3029.9,0,0,0,0,0,0,83.8,80.8,86.5,11.3406394719603,10.6529139758043,11.9649324306884,11.0581359674448,10.4946376057334,11.7237401631633,50.1984921994596,45.3664900670345,54.5710985928771
240,10,16937.4,16649.3,17240.1,17169.1,16526.6,17766.2,3229,3152.1,3298.9,3177.3,3029.9,3331.1,0,0,0,0,0,0,126.1,120.9,131,10.1036791833543,9.44668281850867,10.8076065398771,9.72867998955844,9.22800796080458,10.1546013948979,50.4192741227695,48.4445183932789,52.3937157810297
250,10,15675.6,15331.8,16041.5,15893.5,15248.5,16600.8,3517.7,3420.8,3607.8,3467.7,3307.2,3621.6,0,0,0,0,0,0,191.2,183.4,199.8,8.91537981359219,8.16684556174489,9.67953603827672,9.14077322684568,8.59750671393514,9.64735141498226,51.63348544683,49.0661409491333,54.1408045569612
260,10,14484.8,13974.6,14989.7,14807,14019.8,15601,3771,3665.7,3873.4,3697.6,3514.4,3872.7,0,0,0,0,0,0,285.6,272.7,297.2,7.19718177080409,6.57564006042925,7.89130765442914,6.58894557094266,5.94299852788183,7.25130491606433,49.4292538018318,47.42019886761,51.7049681258002
270,10,13663.6,13160.1,14208.5,13937.2,13000.9,14822,3956.4,3831.6,4070.5,3886.8,3693.1,4081,0,0,0,0,0,0,425.9,407,445.8,4.90222654752036,4.45035636028005,5.40374727893705,5.07952122226451,4.36845272265448,5.67376726891482,49.0755062292965,47.3578929329203,50.8285678042851
280,10,13160.6,12543.6,13739.7,13519.6,12592.9,14497.1,4040.5,3896.8,4178.9,3961.9,3733.5,4169.5,0,0,0,0,0,0,636.3,604.9,670,2.09707555071536,1.45594507719361,2.77938766252728,1.90578534476155,1.39581665286007,2.36920055542486,49.3560794754197,47.8175293095685,51.1927793750946
290,10,13384.5,12594.3,14081.7,13726.3,12675.4,14706.6,3956.5,3805.9,4128.8,3885.6,3634.1,4123.9,0,0,0,0,0,0,953.3,904,1002.1,-2.13720987582543,-3.23249273919807,-1.07441734235158,-2.04733244831186,-3.21115647463285,-1.14802591488181,49.7782189941295,48.4045748317805,50.8673765674409
300,10,14503.1,13668.1,15281.8,14844.8,13745.9,16029,3656.5,3465.5,3867.2,3580.6,3314.9,3850.6,0,0,0,0,0,0,1423.3,1357,1488.7,-7.7020654254306,-9.02194119395098,-6.21666498609659,-8.06074688365622,-9.74260989181707,-6.62136018473233,49.4298772424611,47.8532561787946,50.9171193457403
310,10,16892.3,15732.8,17953.5,17253.4,15981.1,18613.9,3080.8,2842.8,3323.7,2990.1,2719.7,3295.1,0,0,0,0,0,0,2141.8,2039.9,2237.6,-16.0272447076355,-17.9925195620569,-13.8977177148226,-16.8714431628445,-19.2454038663902,-14.1799590802915,50.5136585694204,49.8958129377613,51.1486044483592
320,10,20841.7,19554.8,22085.4,21292.3,19696.5,22641.6,2094.5,1807.9,2410.5,2004.3,1668,2340.2,0,0,0,0,0,0,3230.2,3068.2,3365,-32.8844976159589,-37.463412859322,-28.5821514872998,-34.2038494677068,-39.6771115808081,-29.5098824839881,50.7988182383958,50.1521581340453,51.6630546153125
330,10,27093.3,25479.1,28503.8,27365.7,25733.1,28539.5,500.2,184.2,927.3,450.3,159.8,857.8,5.2,2.3,8,4.9,1.6,9.3,4781.4,4565.2,4987.2,-80.6301711047019,-91.7049461655313,-67.785406996784,-81.9673949606741,-93.1701039693187,-69.23611930928,48.1302732611655,45.2107483597909,50.0196185209427
340,10,30732.6,30253.6,31141.6,30776.7,30197.1,31150.9,2.5,0,7.5,3.2,0,9.6,0.2,0,0.6,1,0,3,4454.5,3942.8,5033.2,-89.8671625929862,-100,-69.8671625929862,-89.843137254902,-100,-69.843137254902,-5.71512633298365,-19.4543048464329,10.0642257643828
350,10,31248.3,31244.9,31250,31247.8,31243.4,31250,0,0,0,0,0,0,0,0,0,0,0,0,1539.6,874.3,2460,-10,-30,0,-10,-30,0,-68.8280852132909,-78.3625984389838,-56.9500343322471
360,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,172.3,37.7,369.9,0,0,0,0,0,0,-93.5858331736905,-96.9256754527617,-89.5788207426737
370,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,-79.8953974895397,-100,-50
380,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-30,0
390,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,10,31250,31250,31250,31250,31250,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
