"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10643.5,10554.9,10748.6,10586.2,10479.8,10691.2,194,189.4,197.8,199.7,196.8,202.9,0,0,0,0,0,0,0,0,0,-22.4,-24.2,-20.92,-20.12,-21.32,-18.88,0,0,0
20,10,14288.3,14049.6,14551.4,13681.2,13424.2,13944.3,203.5,199.7,206.8,211.6,208.1,215.3,0,0,0,0,0,0,0,0,0,4.93567560423363,3.79100739019089,6.04462420630866,5.96804492104858,5.09488973054889,7.23173448545715,0,0,0
30,10,13476.1,13176.3,13769.8,13048.4,12742.1,13307.8,233.1,229.7,236.9,241.3,237.2,245.5,0,0,0,0,0,0,0,0,0,14.6138955067274,12.5736674209343,16.8098298312867,14.0548180713395,12.6689127147863,15.6410461519155,0,0,0
40,10,11632.7,11388.9,11878.2,11245.5,10992,11475.6,262.2,256.7,267.6,273.7,269.3,277.9,0,0,0,0,0,0,0,0,0,12.5914254965623,9.14015186284408,15.7977557273995,13.468463693157,11.7100441500892,15.3142870161956,0,0,0
50,10,10301.9,9977,10625.5,9545.4,9277.5,9813.1,289.7,283.7,295.9,297.3,293.4,301.1,0,0,0,0,0,0,0,0,0,10.547075285307,8.33227583206139,12.505135907256,8.6696474113402,7.00901019246354,10.1789425962894,0,0,0
60,10,9043.4,8719.2,9305.7,8447.4,8162.4,8762.9,306.1,301.1,311,314,310.6,317.4,0,0,0,0,0,0,0,0,0,5.74165961973333,3.58398322504404,8.02233091492079,5.63919261094678,4.47989393178238,6.73336451929074,0,0,0
70,10,8150.8,7886.4,8399.1,7720.5,7438.1,7988.7,317.8,312.2,323.3,323.4,319.1,327.8,0,0,0,0,0,0,0,0,0,3.88875897492842,1.37971353039087,6.03585399716706,3.00062428375917,1.97853697465534,4.12328390892693,0,0,0
80,10,7501,7303.3,7706.6,7273,7028.1,7484.1,328.4,324.9,331.6,326.5,318.8,333.4,0,0,0,0,0,0,0,0,0,3.39224494749088,1.67754422548471,4.95994645791147,0.972480141297838,-0.947230098760433,2.88539466023186,0,0,0
90,10,7200.9,6988.2,7430.3,7191.5,6952.2,7439.6,330.9,323.1,337,329.1,326.1,332.2,0,0,0,0,0,0,0,0,0,0.778167418707307,-1.50676206803264,2.76328947920237,0.904095238177452,-0.978871074194828,3.44219535877694,0,0,0
100,10,7179.1,6804.5,7576.5,7242.9,7032.7,7490.6,330.8,325.8,335.8,334.9,330.7,338.9,0,0,0,0,0,0,0,0,0,0.0410993622436738,-1.66469251195304,1.85341379437545,1.79106795547959,0.14070687830093,3.39724527035465,0,0,0
110,10,7215,7017,7415,7109.7,6850.1,7329.2,328.2,324.2,332.8,332,328,335.3,0,0,0,0,0,0,0,0,0,-0.715742386020063,-2.68550799142346,1.30913175555516,-0.84439877939343,-2.0306824302798,0.320283248107226,0,0,0
120,10,7203.1,6963.3,7443,7119.7,6832.7,7406.2,330.6,323.9,337.6,326.5,321.2,331.6,0,0,0,0,0,0,0,0,0,0.738972592565504,-1.00351815287344,2.48857868499667,-1.64934678138282,-3.05852159808544,-0.355392100275961,0,0,0
130,10,7126.4,6747.5,7506.2,7291,7059.4,7499.8,334.2,330.7,338,333.1,329.1,336.5,0,0,0,0,0,0,0,0,0,1.16185727334011,-0.516471170039487,2.76758626761904,2.06264619658481,0.729636662892352,3.30958350905254,0,0,0
140,10,7020,6829.4,7218.4,7056.3,6901.8,7196.2,336.9,329.1,343.6,326.5,323,329.5,0,0,0,0,0,0,0,0,0,0.817033772438638,-1.14056843371506,2.88078160099029,-1.95557862723432,-3.08521960917999,-0.483391887903861,0,0,0
150,10,6720.1,6469.4,6992.7,7430.2,7183.7,7720.9,330.6,323.3,335.8,330.7,325.4,335.5,0,0,0,0,0,0,0,0,0,-1.80322409849886,-3.72768569497944,0.197044948708407,1.31491672157338,-0.636624757738077,2.8908749784805,0,0,0
160,10,7137.4,6872.9,7479.7,7031.2,6787.6,7319.3,334.3,330.1,338.7,331.1,327.3,334.5,0,0,0,0,0,0,0,0,0,1.19465723528747,-0.441918673294142,3.60113288074717,0.150265268265306,-0.876733567840884,1.34966313896274,0,0,0
170,10,6744.2,6560.8,6939.4,7216.2,6987.6,7456.3,334.4,328.2,339.1,330.9,326.5,335.3,0,0,0,0,0,0,0,0,0,0.0846971151388846,-2.29856804366303,2.08501925295619,-0.0350627171883188,-1.77538145089199,1.37367807612192,0,0,0
180,10,6904.6,6646.7,7171.3,7020.3,6797.7,7231.6,330.9,324.5,337,330.6,325.4,335.7,0,0,0,0,0,0,0,0,0,-1.0117272473735,-2.97936539437307,0.65402716148985,-0.040575312970193,-1.93734624674478,2.07328131503931,0,0,0
190,10,7067.3,6796,7333.3,7038.8,6880.5,7200.3,336.1,330.2,342.6,334.2,328.6,339.6,0,0,0,0,0,0,0,0,0,1.65175229072585,-0.673122338657808,4.1765034455289,1.12848583787446,-0.665972721252784,3.01108399516744,0,0,0
200,10,6952.7,6564.7,7323.8,6855.6,6624.9,7139.3,331.3,324.1,338.3,334,329.5,338,0,0,0,0,0,0,0,0,0,-1.41435227004048,-2.73313680040684,0.0735448522443436,0.0185851355454769,-2.19434501293209,2.37861531445064,0,0,0
210,10,7481.6,7220.9,7719,7307.3,7045.9,7550.9,316.4,310.6,322.1,315.5,309.5,322,1.8,1.3,2.2,1.5,0.9,2.1,28.4,26.2,30.3,-4.39115235914888,-6.93018867633623,-1.88666428534789,-5.52344808055922,-7.1356486544035,-3.65437286508334,0,0,0
220,10,8005.3,7729.5,8294.1,8168.2,7824.1,8470.1,300.8,293.7,307.1,300.2,292.3,308,1.7,0.9,2.5,2.3,1.5,3.2,36.3,34.3,38.3,-4.90064555138734,-6.59164122519308,-3.34062368725371,-4.81232725443281,-7.03691099453871,-2.47011958808675,28.7243033662666,21.5255580070652,36.1127623766667
230,10,8903.9,8650.6,9161.1,8917.8,8409.9,9372,283,277.6,288,288.9,280.2,299.2,2.3,1.6,2.9,1.8,1,2.7,46.5,42.6,50.3,-5.87315755943563,-7.47955224654785,-4.17343486501973,-3.7707581038049,-5.6572778305545,-1.93794025695026,27.7352277287611,23.7868437697659,31.6953351086478
240,10,9788.3,9462.9,10147.1,9371,8841.8,9816.3,267.5,263.2,271.9,277.6,270,285.7,2.9,1.9,3.9,1.6,1,2.3,57.5,53.8,61.6,-5.41851406821987,-7.17351555416144,-3.50229139912449,-3.76406319690381,-6.52211133367765,-1.27826818243,23.9783648941056,21.0065079510984,26.4321311630421
250,10,10660.9,10376.7,10906.1,10358.7,10012.6,10690.6,256.6,250.5,262.1,258.8,252.3,264.9,3.6,2.1,5.2,2.4,2,2.8,68.8,64,73.5,-4.02327243032531,-6.68329623432739,-1.4329151086751,-6.72499969158322,-8.56857981171516,-5.21622727760531,19.8005326189003,16.6024029557743,23.0578673975819
260,10,11694.6,11226.1,12234.1,11502.9,11061,11990.1,230.9,222.5,238.7,239.9,229.9,249.2,3.6,2.5,4.7,3.1,2.3,4,83.7,78,89.9,-10.0608848500626,-11.8013672852517,-8.27473787367657,-7.34741872080343,-9.69804033473686,-4.96934346087049,21.8544949166096,17.720716869402,27.6877416201375
