"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,19210,18794,234,239,0,0,0,-6.4,-4.4,0
1,20,19636,19426,281,298,0,0,0,20.0854700854701,24.6861924686192,0
1,30,17728,16885,355,368,0,0,0,26.3345195729537,23.489932885906,0
1,40,14514,13746,426,452,0,0,0,20,22.8260869565217,0
1,50,11750,10656,518,523,0,0,0,21.5962441314554,15.7079646017699,0
1,60,8800,8008,575,622,0,0,0,11.003861003861,18.9292543021032,0
1,70,7047,6213,653,677,0,0,0,13.5652173913043,8.84244372990354,0
1,80,4960,4591,725,737,0,0,0,11.0260336906585,8.86262924667651,0
1,90,4023,3601,749,730,0,0,0,3.31034482758621,-0.949796472184532,0
1,100,3473,3492,753,764,0,0,0,0.534045393858478,4.65753424657534,0
1,110,3527,3220,747,749,0,0,0,-0.796812749003984,-1.96335078534031,0
1,120,3681,3554,733,734,0,0,0,-1.87416331994645,-2.00267022696929,0
1,130,3701,3808,738,763,0,0,0,0.682128240109141,3.95095367847411,0
1,140,3730,3186,761,747,0,0,0,3.11653116531165,-2.09698558322412,0
1,150,3429,3597,757,744,0,0,0,-0.525624178712221,-0.401606425702811,0
1,160,3451,3819,750,744,0,0,0,-0.924702774108322,0,0
1,170,4214,3526,740,759,0,0,0,-1.33333333333333,2.01612903225806,0
1,180,3763,3428,731,745,0,0,0,-1.21621621621622,-1.84453227931489,0
1,190,4278,3343,738,765,0,0,0,0.957592339261286,2.68456375838926,0
1,200,3912,3193,725,743,0,0,0,-1.76151761517615,-2.87581699346405,0
1,210,4326,3689,691,713,0,3,31,-4.68965517241379,-4.03768506056528,0
1,220,5059,4589,696,724,0,0,44,0.723589001447178,1.54277699859748,41.9354838709677
1,230,4997,4121,703,709,1,3,68,1.00574712643678,-2.07182320441989,54.5454545454545
1,240,4956,4926,671,659,4,2,102,-4.55192034139403,-7.05218617771509,50
1,250,6276,6150,609,626,2,3,145,-9.23994038748137,-5.00758725341426,42.156862745098
1,260,7653,8076,558,547,5,3,207,-8.3743842364532,-12.6198083067093,42.7586206896552
1,270,10482,10735,434,446,13,5,292,-22.2222222222222,-18.4643510054845,41.0628019323672
1,280,15442,14859,285,284,9,13,379,-34.331797235023,-36.322869955157,29.7945205479452
1,290,22311,22505,129,117,10,12,423,-54.7368421052632,-58.8028169014084,11.6094986807388
1,300,27618,28179,34,36,8,2,323,-73.6434108527132,-69.2307692307692,-23.6406619385343
1,310,30188,30160,8,12,0,0,133,-76.4705882352941,-66.6666666666667,-58.8235294117647
1,320,30926,30755,6,11,0,0,23,-25,-8.33333333333333,-82.7067669172932
1,330,30937,30694,9,13,0,0,1,50,18.1818181818182,-95.6521739130435
1,340,30805,30609,11,16,0,0,0,22.2222222222222,23.0769230769231,-100
1,350,30702,30427,12,21,0,0,0,9.09090909090909,31.25,0
1,360,30625,30184,18,23,0,0,0,50,9.52380952380952,0
1,370,30342,30114,21,30,0,0,0,16.6666666666667,30.4347826086957,0
