timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,10400,10667,196,198,0,0,0
20,13733,13700,208,209,0,0,0
30,13347,13562,240,236,0,0,0
40,10995,11952,271,268,0,0,0
50,9838,10431,303,273,0,0,0
60,8678,10102,320,294,0,0,0
70,7538,8586,318,312,0,0,0
80,7664,7628,320,333,0,0,0
90,7297,6912,316,343,0,0,0
100,7597,6595,326,336,0,0,0
110,7377,6838,331,319,0,0,0
120,7151,7872,343,330,0,0,0
130,6392,6962,354,336,0,0,0
140,6365,6639,322,334,0,0,0
150,7397,7006,328,339,0,0,0
160,6754,6679,344,331,0,0,0
170,6544,6887,330,330,0,0,0
180,7296,6915,338,352,0,0,0
190,6530,6016,342,337,0,0,0
200,6585,6923,340,340,0,0,0
210,7032,7152,327,320,1,3,18
220,7300,7652,317,317,1,1,17
230,7999,7598,320,323,0,1,15
240,7886,7050,315,320,1,0,13
250,7197,7595,320,327,2,1,12
260,7373,7477,329,319,1,0,8
270,6637,7349,336,323,0,0,8
280,6859,7507,320,323,1,0,8
290,8037,7387,306,310,0,0,8
300,8365,8376,317,309,1,0,3
310,7716,7813,328,321,0,0,2
320,7237,7655,318,329,0,1,2
330,8118,7149,335,323,0,0,0
340,7231,7251,329,334,0,0,0
350,7361,7002,319,332,0,0,0
360,7949,7057,347,330,0,0,0
370,6931,7237,323,330,0,0,0
380,7491,7261,324,334,0,0,0
390,7094,6732,331,331,0,0,0
400,6215,6735,351,332,0,0,0
410,6547,6625,330,338,0,0,0
420,7263,6627,328,341,0,0,0
430,7268,6425,324,343,0,0,0
440,6813,6703,336,330,0,0,0
450,6678,7222,351,340,0,0,0
460,6348,7119,335,342,0,0,0
470,6458,6944,334,337,0,0,0
480,6880,7085,344,319,0,0,0
490,5963,8007,335,317,0,0,0
500,6657,8060,333,320,0,0,0
510,7147,7467,336,322,0,0,0
520,6363,7870,339,328,0,0,0
530,6783,7281,335,327,0,0,0
540,6851,7650,336,327,0,0,0
550,7003,7521,336,335,0,0,0
560,6948,6838,334,325,0,0,0
570,7179,6562,338,347,0,0,0
580,6872,6431,318,338,0,0,0
590,7730,6885,325,334,0,0,0
600,7737,7181,320,328,0,0,0
610,7630,6940,330,332,0,0,0
620,6993,6841,331,342,0,0,0
630,6754,6299,338,342,0,0,0
640,7016,6938,337,344,0,0,0
650,7110,6552,329,325,0,0,0
660,7136,6518,333,335,0,0,0
670,6897,7064,336,332,0,0,0
680,6735,7250,334,325,0,0,0
690,7024,7624,325,327,0,0,0
700,7534,7854,334,320,0,0,0
710,6914,7625,333,323,0,0,0
720,6853,6908,345,332,0,0,0
730,6524,7236,345,331,0,0,0
740,6838,7218,329,319,0,0,0
750,7291,7140,324,324,0,0,0
760,7495,7747,326,336,0,0,0
770,7133,7003,329,342,0,0,0
780,6789,7209,336,327,0,0,0
790,6985,7642,330,346,0,0,0
800,6997,7277,337,314,0,0,0
810,6119,7687,335,325,0,0,0
820,7023,7162,338,323,0,0,0
830,6375,7288,342,326,0,0,0
840,6780,7433,335,346,0,0,0
850,7070,6683,347,335,0,0,0
860,6493,6533,343,329,0,0,0
870,6424,7009,338,335,0,0,0
880,6712,6353,335,340,0,0,0
890,7269,7341,326,331,0,0,0
900,7170,7408,335,321,0,0,0
910,6728,7523,334,339,0,0,0
920,6958,6554,331,330,0,0,0
930,6607,7078,340,333,0,0,0
940,6302,6945,348,338,0,0,0
950,6242,6940,331,346,0,0,0
960,6982,6273,338,341,0,0,0
970,6827,6972,342,317,0,0,0
980,6664,7058,335,329,0,0,0
990,6945,6893,340,347,0,0,0
1000,6549,6322,339,330,0,0,0
