"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,24983.9,24949.4,25022,24990,24933.8,25041,242.1,240.8,243.4,243.1,239.3,246.5,0,0,0,0,0,0,0,0,0,-3.16,-3.64,-2.64,-2.76,-4.36,-1.44,0,0,0
20,10,25212.1,25150.2,25282.6,25194.1,25097.3,25307.8,297.7,293.2,302.8,294.8,289.4,300.8,0,0,0,0,0,0,0,0,0,22.9602861229738,21.3674402340933,24.7468319689543,21.2720154983405,19.8637960711928,22.6505899707449,0,0,0
30,10,23832.7,23718.9,23946.8,23886.5,23718.2,24017.7,377.7,371.2,384.3,364.7,358.6,370.5,0,0,0,0,0,0,0,0,0,26.8895638519816,25.4172841858473,28.421830632972,23.7523800397637,21.9721037940484,25.5015347079886,0,0,0
40,10,21839.4,21673.5,21996.5,22151.1,21993.3,22323.5,466.5,460.6,471.9,460.7,451.6,469.5,0,0,0,0,0,0,0,0,0,23.5565181009336,22.1972989559615,25.0578258864855,26.3369865579655,24.3145635712901,28.0198298086105,0,0,0
50,10,19618.9,19445.9,19768.7,19757.8,19523.1,19982.1,581.3,569.5,593,575.6,565.9,585.2,0,0,0,0,0,0,0,0,0,24.5900442276955,22.9968660866574,26.1215413619154,25.0019249229588,23.1073362251873,26.9882724005036,0,0,0
60,10,16898,16590.6,17172.8,17014.8,16754.2,17262.8,728,713.7,742.7,717.6,705.1,729,0,0,0,0,0,0,0,0,0,25.2487085407191,24.2629455027221,26.3064821012144,24.6850497202906,23.5244907509235,25.8611627287045,0,0,0
70,10,13564,13194.9,13870.3,13723.9,13391.5,14021.8,902.8,884.6,921.4,895.6,883.2,911.1,0,0,0,0,0,0,0,0,0,24.0185980933921,23.1611909783678,24.9219013738444,24.8197395460119,23.987797586365,25.7708922180096,0,0,0
80,10,9998.8,9571.7,10377.6,10119.8,9874.2,10346.4,1093.3,1072.4,1113.9,1086.9,1070.8,1103.5,0,0,0,0,0,0,0,0,0,21.1264868610786,20.0348772069003,22.2261565613451,21.3668885320166,20.7416844623568,21.9665201391622,0,0,0
90,10,6797.5,6439.5,7105.5,6854.9,6600.4,7076,1290,1272.2,1308,1290.7,1276,1305.3,0,0,0,0,0,0,0,0,0,18.0348602225163,16.6507940483187,19.3845805173006,18.7763691177709,17.8045645049833,19.8694245552693,0,0,0
100,10,4224.6,4066.4,4380.2,4294.4,4088.3,4447.8,1460,1446.6,1476.1,1457,1449.3,1465.2,0,0,0,0,0,0,0,0,0,13.2070810436292,12.0990181682859,14.3577665354849,12.9104452587117,11.918548782141,13.9506244649008,0,0,0
110,10,2889.7,2720,3029.8,2730.6,2614.2,2846.3,1553.8,1545.3,1563.3,1562.4,1551.9,1573.2,0,0,0,0,0,0,0,0,0,6.44468315828164,5.53182454425868,7.40754802695955,7.23484369024834,6.68920478277443,7.72603860287798,0,0,0
