timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,25020,24969,246,250,0,0,0
20,24987,25006,299,299,0,0,0
30,23821,23814,387,369,0,0,0
40,21635,22011,467,469,0,0,0
50,19455,19681,596,579,0,0,0
60,16448,16811,747,724,0,0,0
70,13075,13675,929,904,0,0,0
80,9572,9941,1131,1092,0,0,0
90,6532,6695,1328,1304,0,0,0
100,4050,3951,1479,1468,0,0,0
110,2787,2753,1557,1550,0,0,0
120,2104,1844,1578,1627,0,0,0
130,2431,1708,1591,1610,0,0,0
140,1954,1845,1578,1625,0,0,0
150,2002,1731,1585,1569,0,0,0
160,2212,2105,1585,1591,0,0,0
170,1878,1534,1577,1581,0,0,0
180,1853,1721,1581,1579,0,0,0
190,1756,2133,1600,1572,0,0,0
200,1544,1963,1615,1610,0,0,0
210,1861,2061,1568,1535,0,0,44
220,1917,2552,1555,1548,0,0,62
230,2246,2639,1572,1526,0,0,96
240,2497,2512,1525,1520,0,0,143
250,2955,2926,1471,1469,0,0,217
260,4485,4201,1338,1414,0,0,332
270,6863,6065,1175,1237,0,0,491
280,11260,10280,921,958,0,0,749
290,20618,19943,328,384,2,1,1131
300,29875,29594,0,0,0,0,1284
310,31250,31250,0,0,0,0,565
320,31250,31250,0,0,0,0,77
330,31250,31250,0,0,0,0,0
340,31250,31250,0,0,0,0,0
350,31250,31250,0,0,0,0,0
360,31250,31250,0,0,0,0,0
370,31250,31250,0,0,0,0,0
380,31250,31250,0,0,0,0,0
390,31250,31250,0,0,0,0,0
400,31250,31250,0,0,0,0,0
410,31250,31250,0,0,0,0,0
420,31250,31250,0,0,0,0,0
430,31250,31250,0,0,0,0,0
440,31250,31250,0,0,0,0,0
450,31250,31250,0,0,0,0,0
460,31250,31250,0,0,0,0,0
470,31250,31250,0,0,0,0,0
480,31250,31250,0,0,0,0,0
490,31250,31250,0,0,0,0,0
500,31250,31250,0,0,0,0,0
510,31250,31250,0,0,0,0,0
520,31250,31250,0,0,0,0,0
530,31250,31250,0,0,0,0,0
540,31250,31250,0,0,0,0,0
550,31250,31250,0,0,0,0,0
560,31250,31250,0,0,0,0,0
570,31250,31250,0,0,0,0,0
580,31250,31250,0,0,0,0,0
590,31250,31250,0,0,0,0,0
600,31250,31250,0,0,0,0,0
610,31250,31250,0,0,0,0,0
620,31250,31250,0,0,0,0,0
630,31250,31250,0,0,0,0,0
640,31250,31250,0,0,0,0,0
650,31250,31250,0,0,0,0,0
660,31250,31250,0,0,0,0,0
670,31250,31250,0,0,0,0,0
680,31250,31250,0,0,0,0,0
690,31250,31250,0,0,0,0,0
700,31250,31250,0,0,0,0,0
710,31250,31250,0,0,0,0,0
720,31250,31250,0,0,0,0,0
730,31250,31250,0,0,0,0,0
740,31250,31250,0,0,0,0,0
750,31250,31250,0,0,0,0,0
760,31250,31250,0,0,0,0,0
770,31250,31250,0,0,0,0,0
780,31250,31250,0,0,0,0,0
790,31250,31250,0,0,0,0,0
800,31250,31250,0,0,0,0,0
810,31250,31250,0,0,0,0,0
820,31250,31250,0,0,0,0,0
830,31250,31250,0,0,0,0,0
840,31250,31250,0,0,0,0,0
850,31250,31250,0,0,0,0,0
860,31250,31250,0,0,0,0,0
870,31250,31250,0,0,0,0,0
880,31250,31250,0,0,0,0,0
890,31250,31250,0,0,0,0,0
900,31250,31250,0,0,0,0,0
910,31250,31250,0,0,0,0,0
920,31250,31250,0,0,0,0,0
930,31250,31250,0,0,0,0,0
940,31250,31250,0,0,0,0,0
950,31250,31250,0,0,0,0,0
960,31250,31250,0,0,0,0,0
970,31250,31250,0,0,0,0,0
980,31250,31250,0,0,0,0,0
990,31250,31250,0,0,0,0,0
1000,31250,31250,0,0,0,0,0
