"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,24913,24977,248,240,0,0,0,-0.8,-4,0
1,20,24920,25307,309,290,0,0,0,24.5967741935484,20.8333333333333,0
1,30,23630,23917,386,373,0,0,0,24.9190938511327,28.6206896551724,0
1,40,21483,21971,457,459,0,0,0,18.3937823834197,23.0563002680965,0
1,50,19862,19906,583,587,0,0,0,27.5711159737418,27.8867102396514,0
1,60,16883,16689,743,748,0,0,0,27.4442538593482,27.427597955707,0
1,70,13296,13031,919,902,0,0,0,23.6877523553163,20.5882352941176,0
1,80,9958,9860,1093,1103,0,0,0,18.9336235038085,22.2838137472284,0
1,90,7154,6506,1278,1292,0,0,0,16.9258920402562,17.1350861287398,0
1,100,4335,4320,1446,1468,0,0,0,13.1455399061033,13.6222910216718,0
1,110,2744,2743,1582,1561,0,0,0,9.40525587828492,6.33514986376022,0
1,120,1957,2308,1632,1575,0,0,0,3.16055625790139,0.896860986547085,0
1,130,1700,1803,1610,1613,0,0,0,-1.34803921568627,2.41269841269841,0
1,140,1543,1833,1622,1592,0,0,0,0.745341614906832,-1.30192188468692,0
1,150,1978,2117,1570,1577,0,0,0,-3.2059186189889,-0.942211055276382,0
1,160,2287,2138,1555,1596,0,0,0,-0.955414012738854,1.20481927710843,0
1,170,2134,1861,1589,1615,0,0,0,2.18649517684887,1.19047619047619,0
1,180,1963,1642,1576,1589,0,0,0,-0.818124606670862,-1.60990712074303,0
1,190,1738,1619,1586,1602,0,0,0,0.634517766497462,0.818124606670862,0
1,200,1966,1416,1594,1611,0,0,0,0.504413619167718,0.561797752808989,0
1,210,1820,1850,1566,1562,0,0,37,-1.75658720200753,-3.04158907510863,0
1,220,1976,2128,1574,1517,0,0,54,0.510855683269476,-2.8809218950064,45.9459459459459
1,230,2026,2584,1548,1563,0,0,84,-1.65184243964422,3.0323005932762,55.5555555555556
1,240,2372,2534,1573,1549,0,0,119,1.61498708010336,-0.895713371721049,41.6666666666667
1,250,2345,2412,1515,1525,0,0,171,-3.68722186904005,-1.54938670109748,43.6974789915966
1,260,3020,2772,1457,1461,0,0,249,-3.82838283828383,-4.19672131147541,45.6140350877193
1,270,4490,4184,1351,1364,0,0,368,-7.27522306108442,-6.63928815879535,47.7911646586345
1,280,7142,6215,1186,1234,0,0,536,-12.2131754256107,-9.53079178885631,45.6521739130435
1,290,11045,11014,912,919,0,0,790,-23.1028667790894,-25.5267423014587,47.3880597014925
1,300,21311,21174,295,317,2,3,1190,-67.6535087719298,-65.50598476605,50.6329113924051
1,310,30191,30109,0,0,0,0,1303,-100,-100,9.49579831932773
