"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13919.15,13840.9,13995.4,13944.6,13830.75,14049.45,231.1,228.75,233.6,231.25,228.3,234.1,0,0,0,0,0,0,0,0,0,-7.56,-8.5,-6.58,-7.5,-8.66,-6.24,0,0,0
20,20,15082.1,14905.7,15257.65,15048.05,14844.45,15236,308.3,303.4,312.8,304.65,298.95,310.8,0,0,0,0,0,0,0,0,0,33.4625006500037,30.8758488457993,35.70633290332,31.8110548745253,29.1528402736551,34.3116408944111,0,0,0
30,20,11111.05,10864.55,11389.65,11309.35,11072.1,11552.55,392.2,385.8,398.55,390.2,385.85,395,0,0,0,0,0,0,0,0,0,27.3046954394693,25.0800557106389,29.5537136706839,28.2701462996548,25.8005872639298,30.6873119034771,0,0,0
40,20,7552.65,7260.55,7875.85,7763.95,7552.35,7960.15,452.15,444.05,460.1,454.75,448.1,461.3,0,0,0,0,0,0,0,0,0,15.4208695674898,12.7233639610269,17.746788381446,16.6562016198456,14.3985157285646,19.1699975263384,0,0,0
50,20,5821.85,5559.5,6081.45,5752.35,5564.8,5968.15,490.1,482.45,497.45,483.2,479.25,487.55,0,0,0,0,0,0,0,0,0,8.55798125890862,6.01659168324624,11.0223425090773,6.35844069956367,4.62136880352513,8.07750257764657,0,0,0
60,20,4856.35,4666.1,5064.8,4965,4843.25,5083.35,495.9,489.95,502.1,497,491.1,503.2,0,0,0,0,0,0,0,0,0,1.31680163194661,-0.657516465857488,3.24889858267357,2.88310218747916,1.52531040528913,4.13400677637405,0,0,0
70,20,4733.9,4548.9,4906.75,4723.25,4497.1,4960.5,499.05,493.1,504,493.8,488.35,499,0,0,0,0,0,0,0,0,0,0.690813114999328,-0.688301935862723,2.04001503458801,-0.561389264471858,-2.19992623570094,1.10034250395523,0,0,0
80,20,4619.9,4479.05,4766.7,4696.75,4469.75,4908.5,505.9,501.3,510.75,502.55,495.65,509.8,0,0,0,0,0,0,0,0,0,1.43353555111462,-0.0437169973950911,2.67725332795773,1.816662233884,0.243192518929247,3.40330261825787,0,0,0
90,20,4349.05,4184.4,4499.3,4620.85,4453.9,4787.55,501.55,496.15,506.1,504.6,498.3,510.5,0,0,0,0,0,0,0,0,0,-0.817365363808393,-2.13581146823209,0.426186830541921,0.525541247146496,-1.55633407626755,2.43992209465369,0,0,0
100,20,4553.75,4409,4709.8,4475.65,4285.9,4656.65,500.3,494.95,506.5,499.1,492.4,505.7,0,0,0,0,0,0,0,0,0,-0.210644269995157,-1.65321851346684,1.27956474879039,-1.00980951070805,-2.83425100025073,0.674492877819093,0,0,0
110,20,4551.55,4358.4,4718.2,4601.45,4392.7,4801.7,503.65,497.45,509.4,503.15,495.75,509.85,0,0,0,0,0,0,0,0,0,0.735932974849032,-0.850124348488077,2.34601798612701,0.883339995185887,-0.818404954057591,2.54358970762241,0,0,0
120,20,4502.7,4345.6,4640.15,4486.6,4295.5,4665.25,499,494.35,503.85,504.75,498.3,511.6,0,0,0,0,0,0,0,0,0,-0.838374646574558,-2.54557286946537,0.833712395872074,0.4295703118685,-1.57089036902584,2.46857440212701,0,0,0
