"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,16,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,13843.875,13777.125,13911.25,13835.25,13744.5625,13929.625,233.5625,231.6875,235.375,232.125,229.4375,234.875,0,0,0,0,0,0,0,0,0,-6.575,-7.3,-5.85,-7.15,-8.3,-6.025,0,0,0
20,16,14975.3125,14847.75,15099.5625,15022,14851.4375,15176,307.875,303.5,312.3125,307.9375,301.9375,315.5625,0,0,0,0,0,0,0,0,0,31.8317554117235,29.9391222685725,33.7765361574004,32.6782606867901,30.0245140713262,35.0791843364604,0,0,0
30,16,11069.625,10769.9375,11366.625,11124.3125,10772.625,11447,396.5,389.75,402.25,392,387.75,396.1875,0,0,0,0,0,0,0,0,0,28.8438365108167,26.7200798343631,30.7364483133321,27.5031129726156,24.6152193757779,29.9803477445631,0,0,0
40,16,7546.1875,7329.5625,7769.375,7779.625,7580.5625,7995.9375,454.3125,447.9375,460.5625,445.125,440.25,450.375,0,0,0,0,0,0,0,0,0,14.6710443454792,12.6995453370801,16.780059575072,13.578970069887,12.2728917974621,14.7741392774631,0,0,0
50,16,5828.5625,5578.75,6075.6875,6181.6875,5944.1875,6423.0625,485.5,479.125,491.9375,481.8125,476.3125,487.6875,0,0,0,0,0,0,0,0,0,6.91628094652442,5.41955623683112,8.37111497523705,8.26389361445942,7.23382599945254,9.27529001343998,0,0,0
60,16,4881.875,4679.5,5091.5625,4929.6875,4708.9375,5155.0625,496.5,489.4375,504,504.1875,497.25,510,0,0,0,0,0,0,0,0,0,2.35147225321312,0.31418149863394,4.37167992813653,4.67415413554172,3.40413138714903,6.05807104123137,0,0,0
70,16,4663.6875,4434.75,4883.5625,4442.5625,4253.3125,4641.4375,496.4375,490.1875,502.875,498.0625,492.6875,503.375,0,0,0,0,0,0,0,0,0,0.053536245533507,-1.59536194691075,1.7079125531817,-1.13212712698831,-2.92742907036954,0.807335339317858,0,0,0
80,16,4673.375,4445.1875,4875,4719,4513.625,4904.25,501.625,493.3125,510,497.75,492.0625,503.6875,0,0,0,0,0,0,0,0,0,1.13129267939227,-1.07990144846991,3.5635403665412,-0.00588882177968946,-1.73914163924655,1.73313333063794,0,0,0
90,16,4452.5,4251.25,4637.0625,4682.25,4520.5,4813,509.5,502.5,516.125,500.75,493.4375,507.3125,0,0,0,0,0,0,0,0,0,1.65366765973213,-0.0670357905558423,3.33904953331196,0.678454158305363,-1.1044814694135,2.6241794484532,0,0,0
100,16,4428.75,4216.0625,4649.125,4516.6875,4311.8125,4711.625,502.1875,494.3125,509.75,503.8125,498.125,509.1875,0,0,0,0,0,0,0,0,0,-1.37718076469185,-3.18967791078221,0.445761298774451,0.702762661294528,-1.31243839131325,2.68809028692783,0,0,0
110,16,4582.5625,4296.0625,4852.5625,4513.75,4325.5625,4702.5625,503.75,494.625,513.375,498.125,493,502.5625,0,0,0,0,0,0,0,0,0,0.384722938136811,-1.69487365724408,2.45930859534381,-1.07392170223358,-2.5856791462665,0.4897876983234,0,0,0
120,16,4506.9375,4216.6875,4797.625,4621.75,4464.5,4786.6875,501.5625,495.8125,507.5,504.1875,498.5625,509.5,0,0,0,0,0,0,0,0,0,-0.271133316442397,-2.64058780951125,2.00170023803264,1.25808724900931,-0.133861904840119,2.81879719127492,0,0,0
130,16,4536.4375,4345.125,4749.75,4648.8125,4473.9375,4803.125,502.125,495.625,508.625,498.8125,493.8125,504.25,0,0,0,0,0,0,0,0,0,0.158589841763462,-1.42313277023534,1.57557178464542,-1.0230158171403,-2.27297048231226,0.355941293220558,0,0,0
