"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13876.25,13759.6,13998.55,13980.05,13870.6,14096,233.65,231,236.15,231.45,228.6,233.9,0,0,0,0,0,0,0,0,0,-6.54,-7.62,-5.58,-7.42,-8.54,-6.36,0,0,0
20,20,15017.65,14864,15187.15,15184.15,15016.2,15343.35,305.25,299.9,311.6,300.4,295.25,305.65,0,0,0,0,0,0,0,0,0,30.6891441681799,28.2364881574008,33.2007208783157,29.7949476872568,28.1377462316767,31.3159891444126,0,0,0
30,20,11281.6,10971.8,11560.5,11449.7,11220.4,11686.35,394.4,387.45,401.5,387.85,382.85,393.2,0,0,0,0,0,0,0,0,0,29.3538948511509,26.4776978402154,32.1519915239004,29.2443015383675,27.2006560608166,31.2464825897991,0,0,0
40,20,7705.9,7438.95,7985.55,7937.75,7687.05,8157.8,448.35,442.1,454.5,446.05,439.6,452,0,0,0,0,0,0,0,0,0,13.8947253979016,10.9893728429084,16.6737384157554,15.0737820655109,13.2752191863967,16.9665834999006,0,0,0
50,20,5855.1,5612.6,6061.8,5983.9,5779.45,6208,485.85,479.5,492.25,482.65,475.3,490.3,0,0,0,0,0,0,0,0,0,8.47362126186166,6.40687383016516,10.5294358112658,8.28054627660934,6.3932979116405,10.0532560218158,0,0,0
60,20,4900.6,4697.25,5114.7,5095.05,4883.2,5292.25,503.4,496.45,511.05,495,488.6,501.45,0,0,0,0,0,0,0,0,0,3.69697177118183,1.72602856244861,5.55970133596188,2.73875063742206,0.337170192629044,5.34200975145308,0,0,0
70,20,4449.9,4255.4,4617,4783.5,4590.9,5000.55,505.9,500.8,511.45,501.4,495.15,506.85,0,0,0,0,0,0,0,0,0,0.623266152103326,-1.29575621090073,2.55990646196284,1.36111143264271,-0.130369433649063,2.80817577649247,0,0,0
80,20,4404.3,4258.3,4560.35,4492.2,4286.6,4723.15,501.85,495.35,508.05,499.1,493.45,504.45,0,0,0,0,0,0,0,0,0,-0.748731755552013,-2.27656838838834,0.771429259293901,-0.393313028373569,-1.9192096461066,1.17036841635361,0,0,0
90,20,4622.35,4472.8,4763.55,4593.05,4451.25,4746.25,498.7,494.2,503.6,495.45,489.55,501.4,0,0,0,0,0,0,0,0,0,-0.556272713981395,-2.02157788704772,0.728613366303807,-0.663324341637302,-2.31519088056915,1.19728435433248,0,0,0
100,20,4529.15,4350.25,4682.15,4681.35,4499.6,4862.4,496.95,492.75,501.65,499.75,492.25,506.85,0,0,0,0,0,0,0,0,0,-0.302383687583117,-1.62940300682131,1.00085145154493,0.920864604441974,-0.71196516317899,2.63932626550551,0,0,0
110,20,4620.05,4485.65,4756.65,4678.7,4470.7,4882.85,503.3,497.45,508.85,506.9,500.75,512.2,0,0,0,0,0,0,0,0,0,1.32791186072231,-0.240079796448053,2.78098116033056,1.52749398907104,-0.0775110881241326,3.19981944728925,0,0,0
120,20,4486.2,4329.7,4638.3,4418.05,4258.3,4571.3,502.45,497.35,508.15,502,495.15,509.25,0,0,0,0,0,0,0,0,0,-0.113182790342327,-1.39586660944294,1.30411113886391,-0.900311912087358,-2.59336494105352,0.939309048606795,0,0,0
130,20,4573.95,4417.2,4729.1,4561.2,4393.5,4727.85,505.1,498.15,511.3,501,496.05,505.25,0,0,0,0,0,0,0,0,0,0.604035528626001,-1.2083967649596,2.28104758728948,-0.0736125096051626,-1.95772933902769,1.75901797261296,0,0,0
140,20,4499.75,4315.85,4695.55,4493.65,4339.95,4647.95,501.05,493.65,507.75,501.7,494.45,509,0,0,0,0,0,0,0,0,0,-0.703992136887043,-2.77077862955549,1.284822537998,0.17080765531991,-1.43122568797351,1.91094330144431,0,0,0
150,20,4581.8,4399.4,4762.95,4432.75,4242.5,4600.6,499.8,493.85,505.5,506.55,500.6,512.05,0,0,0,0,0,0,0,0,0,-0.135724784444786,-1.8584122869327,1.5438147893521,1.07785012789577,-0.795150797784918,2.91972281626115,0,0,0
160,20,4611.6,4405.5,4824.7,4373.9,4194.45,4566.05,505.05,500.25,509.8,509.75,502.7,516.25,0,0,0,0,0,0,0,0,0,1.12444905672356,-0.381999020184541,2.5403726715265,0.70298197203501,-1.16905374705846,2.50168788967889,0,0,0
170,20,4469.8,4308.3,4610.25,4422.85,4253.85,4600.15,506.3,501.25,511.9,498.8,490.35,506.75,0,0,0,0,0,0,0,0,0,0.302623616935787,-1.22061881123674,1.90995674824783,-2.05944982482944,-4.11686350858738,-0.144072020849977,0,0,0
180,20,4444.3,4283.8,4593.45,4672.9,4447.9,4900.85,503.6,497.9,509.2,498.1,490.7,506.1,0,0,0,0,0,0,0,0,0,-0.483038480593202,-2.03546621840107,0.902022560458123,0.00102504684954813,-2.27661544280494,2.39795924563387,0,0,0
