"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13919.15,13844.3,13992.8,13944.6,13819.2,14053.65,231.1,228.8,233.4,231.25,228.55,234.35,0,0,0,0,0,0,0,0,0,-7.56,-8.52,-6.7,-7.5,-8.58,-6.3,0,0,0
20,20,15082.1,14915.2,15273.7,15048.05,14812.65,15227.7,308.3,303.4,312.95,304.65,298.85,310.3,0,0,0,0,0,0,0,0,0,33.4625006500037,31.2708558868792,35.7785996930264,31.8110548745253,29.0575940457212,34.2689862277101,0,0,0
30,20,11111.05,10849.95,11395.5,11309.35,11071.7,11553.4,392.2,386.05,398.15,390.2,385.75,394.6,0,0,0,0,0,0,0,0,0,27.3046954394693,25.1249088393372,29.4947545532892,28.2701462996548,25.8410183436572,30.5972316104988,0,0,0
40,20,7552.65,7285.3,7861.75,7763.95,7558.25,7954.4,452.15,444.55,459.5,454.75,448.45,461.3,0,0,0,0,0,0,0,0,0,15.4208695674898,12.8635695850252,17.7435787682153,16.6562016198456,14.4230650862188,19.1460024270503,0,0,0
50,20,5821.85,5554.7,6063.55,5752.35,5543.75,5969.15,490.1,482.55,497.25,483.2,479.45,487.35,0,0,0,0,0,0,0,0,0,8.55798125890862,5.73900728986887,10.8815437248221,6.35844069956367,4.63016692700608,7.91340608572482,0,0,0
60,20,4856.35,4669.65,5063.55,4965,4856.5,5097.4,495.9,489.9,502.35,497,490.8,503.05,0,0,0,0,0,0,0,0,0,1.31680163194661,-0.859555576512072,3.38026111274889,2.88310218747916,1.49431481756296,4.27675413776458,0,0,0
70,20,4733.9,4538.3,4919.15,4723.25,4471.6,4954.2,499.05,493.1,504.45,493.8,488.2,499.35,0,0,0,0,0,0,0,0,0,0.690813114999328,-0.808513315504816,2.07996342913013,-0.561389264471858,-2.30261867900925,1.28273305567903,0,0,0
80,20,4619.9,4475,4759.3,4696.75,4484.85,4894.95,505.9,501.65,510.95,502.55,495,510.45,0,0,0,0,0,0,0,0,0,1.43353555111462,0.00443546559659934,2.78093645260653,1.816662233884,0.284031705872959,3.37446087450455,0,0,0
90,20,4349.05,4181.25,4507.4,4620.85,4440.75,4786.35,501.55,496.9,506.35,504.6,498.55,510.55,0,0,0,0,0,0,0,0,0,-0.817365363808393,-2.11112935169831,0.363439723853784,0.525541247146496,-1.37125414761709,2.432394667822,0,0,0
