"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,0,1,1,1,1,10,502.77,508.6,495.5,502.54,508.4,494.1,-0.000276581048037956,0.0107036412846651,-0.0249749700512011,0.0020370637834616,0.0185100403131684,-0.0126016493217342,415.826923076923,427.2,405,413.276923076923,419.6,403.7,119.230769230769,127.1,108.3,-0.000193579526548371,0.0288386314002584,-0.0195876723398658,0.00127139578295919,0.0338094872179309,-0.0220827148081532,0.00311411337429399,0.0890013277299324,-0.0389267879054157,4.84615384615385,6.3,3.6,4.60384615384615,5.8,3.4
0,0,1,1.5,1,1,20,502.96,506.3,498.05,503.225,509.75,498.1,0.00236760006372048,0.0146721155205566,-0.0102269335907548,0.00200285931359259,0.0152749398907104,-0.0205944982482944,390.665384615385,402.2,377.9,280.473076923077,295.1,265.1,144.125,157.65,130.85,-0.000110241807637267,0.0266645693453872,-0.024054591649052,0.00168026703453144,0.024916232263579,-0.0402218968750271,0.00911237727848073,0.0514515245204907,-0.0456094390025543,5.46923076923077,6.6,3.7,5.80961538461538,6.7,4.85
0,0,1,2,1,1,20,502.955,505.65,499,503.75,508.55,496.95,0.00133965450111332,0.0107267156845262,-0.00838374646574558,0.000386540471437046,0.00883339995185887,-0.0215622866864426,423.661538461538,461.1,363.65,225.221153846154,300.6,135.7,104.325,169.85,62.4,0.00108853483388786,0.0440866939297218,-0.0424194465026159,0.0360935512149692,0.179323153843335,-0.139396152419774,0.053911273808633,0.280103462206906,-0.137920091394855,4.14423076923077,6.7,2.55,3.76153846153846,6.05,1.9
0,0,1,2.5,1,1,15,504.106666666667,509.733333333333,500.733333333333,503.026666666667,506.266666666667,497.266666666667,0.00256314451807513,0.0285031844286126,-0.0154299912805378,-0.000146539576598677,0.0156701339317531,-0.0132625384267648,433.407692307692,455,410.533333333333,180.679487179487,208.466666666667,148.666666666667,84.4846153846154,109.133333333333,54.7333333333333,0.00612821554261176,0.0471346038318936,-0.0394315978999456,0.0473180519636431,0.159319806152954,-0.0378642226793802,0.0542250752775921,0.218608349045409,-0.0987514995674182,2.97179487179487,4.06666666666667,1.8,2.82564102564103,4.13333333333333,1.46666666666667
0,0,1,3,1,1,9,501.333333333333,510,494.777777777778,501.466666666667,507.555555555556,493.888888888889,0.000581778775656779,0.0250687143826038,-0.0177261193932192,0.00012131362158809,0.0179126926748842,-0.0259774199764007,440.290598290598,490.111111111111,389.444444444444,151.029914529914,264.222222222222,48.4444444444444,74.405982905983,133.222222222222,18.6666666666667,0.00333715237580666,0.0529221077881485,-0.0615887817279966,0.0505498145930107,0.438088169389507,-0.212521264212428,0.0612461640025418,0.453178369714746,-0.234216348817132,2.67521367521368,5.66666666666667,0.777777777777778,2.24358974358974,4.55555555555556,0.111111111111111
1,0,1,1,1,1,20,502.705,510.1,498.4,502.755,506.95,498.5,-0.000738819893369348,0.0146465756412755,-0.0186088578091858,-3.75809992644562e-05,0.0163731763083853,-0.0123918820186697,408.042307692308,416.55,397.75,414.251923076923,420.55,407.7,121.559615384615,125.5,116.65,0.00174511916625613,0.0196128955475523,-0.0209364911678281,0.00191044726418871,0.0219000316202522,-0.0273349652521687,0.00386617923772568,0.0325254181093524,-0.0367200738086266,4.83653846153846,6.1,3.4,4.76346153846154,5.6,3.95
1,0,1,1.5,1,1,20,502.465,505.65,495.8,502.985,505.75,497.95,-0.000574151294376801,0.0141468977149425,-0.0165244669154614,-0.000346725848173814,0.0152972831369622,-0.0130335226543676,386.438461538462,399.95,375.6,282.123076923077,294.75,271.4,142.25,151.7,132.3,0.00370496222875141,0.0281878681184982,-0.0165882339366298,0.00441004256426846,0.0506217606349198,-0.0280598980291572,0.00450267303697031,0.0385571603360008,-0.0434671628375078,5.43076923076923,6.3,4.5,5.65576923076923,7,4.5
1,0,1,2,1,1,20,502.43,507.25,497.75,502.575,505.25,498.85,0.00148939783636614,0.0123444256125247,-0.0143906734432982,0.000526862662713499,0.00997577155987551,-0.0060725639704749,412.823076923077,442.6,387.7,214.290384615385,253.85,159.45,113.617307692308,141.8,74.9,0.000204884287524473,0.0318978659659018,-0.0304206401106196,0.0252170550925883,0.128719010723568,-0.0925105572768608,0.0411853364497164,0.157866606154313,-0.0960131550980499,4.29423076923077,6.25,2.55,4.20192307692308,5.85,2.75
1,0,1,2.5,1,1,16,500.4375,503.75,494.1875,502.14375,507.125,498.125,0.000792351534193739,0.0193218758756676,-0.0152333160440785,0.000162330635497019,0.0152801587533966,-0.0107392170223358,431.112980769231,461.0625,385.9375,186.15625,276.75,120,83.8653846153846,141.8125,47.0625,0.00565985623122749,0.050132376816313,-0.0428215745661218,0.0671705869046563,0.183721820123284,-0.153314988423153,0.0482922875105851,0.240383096220605,-0.116674057597279,3.13461538461538,5.1875,1.25,2.73798076923077,5.625,1.1875
1,0,1,3,1,1,9,502.611111111111,508.222222222222,491.444444444444,504.055555555555,512.777777777778,494.555555555556,0.000726654738195543,0.0215511644252327,-0.0203674918151954,0.00216809144770384,0.0249555944001162,-0.0139713465262202,436,481.111111111111,377.111111111111,161.405982905983,280.888888888889,65.5555555555556,78.5982905982906,133.888888888889,26.8888888888889,0.00608343885597521,0.0670081967310491,-0.0420474650848335,0.0486700174698309,0.295479336604688,-0.217020835129188,0.0594712425846853,0.483306618995837,-0.245920360395985,2.85470085470086,4.66666666666667,1,2.42735042735043,4.22222222222222,0.333333333333333
