"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1extFreq","prey2extFreq","prey1extFreq.1","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,0,1,0.1,1,1,20,0,0,1,503.59,507.95,498.45,503.765,512.85,498,0.000579286385592957,0.0200914434860378,-0.0104386252156495,0.00277003418294327,0.0240678296521919,-0.0232050211276284,503.136538461538,510.35,496.15,501.269230769231,507.45,495.75,0,0,0,0.00125348168822048,0.0152489029750058,-0.0126743866684952,0.00125438128388912,0.0179040378572708,-0.0128144804003062,0,0,0,0,0,0,0,0,0
0,0,1,0.5,1,1,20,0,0,1,501.725,506.05,498.9,501.94,508.4,495.9,0.000786563728373251,0.0104626905068388,-0.0101641908985522,0.00125038369564877,0.0198890904855436,-0.0147380445559832,502.776923076923,508.7,496.05,501.880769230769,509.2,496.9,0,0,0,0.00065504895796408,0.0187849707931787,-0.0162822082569447,0.000591490457910145,0.0241504710024685,-0.0157419139631922,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,10,0,0,0,502.77,508.6,495.5,502.54,508.4,494.1,-0.000276581048037956,0.0107036412846651,-0.0249749700512011,0.0020370637834616,0.0185100403131684,-0.0126016493217342,415.826923076923,427.2,405,413.276923076923,419.6,403.7,119.230769230769,127.1,108.3,-0.000193579526548371,0.0288386314002584,-0.0195876723398658,0.00127139578295919,0.0338094872179309,-0.0220827148081532,0.00311411337429399,0.0890013277299324,-0.0389267879054157,4.84615384615385,6.3,3.6,4.60384615384615,5.8,3.4
0,0,1,1.5,1,1,20,0,0,0,502.96,506.3,498.05,503.225,509.75,498.1,0.00236760006372048,0.0146721155205566,-0.0102269335907548,0.00200285931359259,0.0152749398907104,-0.0205944982482944,390.665384615385,402.2,377.9,280.473076923077,295.1,265.1,144.125,157.65,130.85,-0.000110241807637267,0.0266645693453872,-0.024054591649052,0.00168026703453144,0.024916232263579,-0.0402218968750271,0.00911237727848073,0.0514515245204907,-0.0456094390025543,5.46923076923077,6.6,3.7,5.80961538461538,6.7,4.85
0,0,1,2,1,1,20,0,0,0,502.955,505.65,499,503.75,508.55,496.95,0.00133965450111332,0.0107267156845262,-0.00838374646574558,0.000386540471437046,0.00883339995185887,-0.0215622866864426,423.661538461538,461.1,363.65,225.221153846154,300.6,135.7,104.325,169.85,62.4,0.00108853483388786,0.0440866939297218,-0.0424194465026159,0.0360935512149692,0.179323153843335,-0.139396152419774,0.053911273808633,0.280103462206906,-0.137920091394855,4.14423076923077,6.7,2.55,3.76153846153846,6.05,1.9
0,0,1,2.5,1,1,20,0,0,0.25,502.96,506.75,500.8,503.175,505.15,498.5,0.00196748956560191,0.0168425570711199,-0.00776384863275374,7.39628569434128e-05,0.0080840908193294,-0.011516160445328,449.628846153846,466.8,431.75,252.769230769231,277.1,212.4,63.7519230769231,81.85,42,0.00572755076761629,0.0319681807177962,-0.0210229941753847,0.0430147168963193,0.124921683338177,-0.0318687096266528,0.0323619120255173,0.163956261784057,-0.0809997394061499,2.25576923076923,3.05,1.4,2.125,3.1,1.1
0,0,1,3,1,1,20,0,0.1,0.55,502.965,507.65,496.8,502.65,508.7,497.7,0.000783699049973354,0.0117544555572021,-0.0209335887638696,0.000997306343566459,0.0157014152434217,-0.0207069445426676,471.544230769231,493.45,446.7,299.630769230769,349.15,260.15,36.525,59.95,15.95,0.0014115711026455,0.0246054700277292,-0.0300153391796962,0.0143381413318058,0.161807973178108,-0.0966922682991213,0.027415772103101,0.170596933038303,-0.0916501283813371,1.29423076923077,2.55,0.55,1.11923076923077,2.05,0.4
1,0,1,0.1,1,1,20,0,0,1,503.46,508.05,499.85,502.75,506.85,497.5,0.000819680084673852,0.00932770860275166,-0.0114516219364562,0.00200391373352664,0.0136222687478466,-0.00968318916448385,502.490384615385,508.5,494.25,502.476923076923,507.95,497.8,0,0,0,0.000942066572518839,0.0216430138472943,-0.0184216362281513,0.000398468522331449,0.0153304948101172,-0.0117476231038387,0,0,0,0,0,0,0,0,0
1,0,1,0.5,1,1,20,0,0,1,503.41,508.8,499.55,501.84,509.25,496.9,3.30864243936314e-05,0.0151515563353018,-0.00864930590476224,-0.00021933063425091,0.0167579390618433,-0.00884411501545629,502.596153846154,511.05,496.15,502.415384615385,509.3,498.05,0,0,0,0.000932123727535056,0.0244997940306518,-0.0117140228677447,0.000483290797637315,0.0206503986937756,-0.0131781396983122,0,0,0,0,0,0,0,0,0
1,0,1,1.5,1,1,20,0,0,0,502.465,505.65,495.8,502.985,505.75,497.95,-0.000574151294376801,0.0141468977149425,-0.0165244669154614,-0.000346725848173814,0.0152972831369622,-0.0130335226543676,386.438461538462,399.95,375.6,282.123076923077,294.75,271.4,142.25,151.7,132.3,0.00370496222875141,0.0281878681184982,-0.0165882339366298,0.00441004256426846,0.0506217606349198,-0.0280598980291572,0.00450267303697031,0.0385571603360008,-0.0434671628375078,5.43076923076923,6.3,4.5,5.65576923076923,7,4.5
