"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13857,13871,247,232,0,0,0,-1.2,-7.2,0
1,20,14233,15180,316,298,0,0,0,27.9352226720648,28.448275862069,0
1,30,10778,11746,400,380,0,0,0,26.5822784810127,27.5167785234899,0
1,40,7724,8403,439,435,0,0,0,9.75,14.4736842105263,0
1,50,5807,6301,496,463,0,0,0,12.9840546697039,6.4367816091954,0
1,60,4531,4989,518,526,0,0,0,4.43548387096774,13.6069114470842,0
1,70,4539,3915,493,519,0,0,0,-4.82625482625483,-1.33079847908745,0
1,80,4610,4095,477,499,0,0,0,-3.24543610547667,-3.85356454720617,0
1,90,5291,4624,502,505,0,0,0,5.24109014675052,1.20240480961924,0
1,100,4597,4370,488,496,0,0,0,-2.78884462151394,-1.78217821782178,0
1,110,5046,4559,490,496,0,0,0,0.409836065573771,0,0
1,120,4822,4056,514,517,0,0,0,4.89795918367347,4.23387096774194,0
1,130,4660,3994,511,541,0,0,0,-0.583657587548638,4.642166344294,0
1,140,4537,3889,480,514,0,0,0,-6.0665362035225,-4.99075785582255,0
1,150,5290,3911,494,495,0,0,0,2.91666666666667,-3.69649805447471,0
1,160,5040,4758,494,494,0,0,0,0,-0.202020202020202,0
1,170,4473,4624,520,518,0,0,0,5.26315789473684,4.8582995951417,0
1,180,3700,4075,516,485,0,0,0,-0.769230769230769,-6.37065637065637,0
1,190,3947,5020,491,498,0,0,0,-4.84496124031008,2.68041237113402,0
1,200,4957,4793,509,492,0,0,0,3.66598778004073,-1.20481927710843,0
1,210,4573,4523,486,485,3,0,13,-4.51866404715128,-1.42276422764228,0
1,220,4608,4805,507,537,1,0,10,4.32098765432099,10.7216494845361,-23.0769230769231
1,230,4982,3638,485,505,1,0,10,-4.33925049309665,-5.95903165735568,0
1,240,5281,4578,480,494,0,0,6,-1.03092783505155,-2.17821782178218,-40
1,250,5539,4520,487,495,0,0,3,1.45833333333333,0.202429149797571,-50
1,260,4740,5036,515,510,0,0,2,5.74948665297741,3.03030303030303,-33.3333333333333
1,270,3940,4214,501,506,0,0,2,-2.71844660194175,-0.784313725490196,0
1,280,4335,4245,509,492,0,0,0,1.59680638722555,-2.76679841897233,-100
1,290,4500,4222,481,512,0,0,0,-5.50098231827112,4.0650406504065,0
1,300,5174,4264,525,510,0,0,0,9.14760914760915,-0.390625,0
1,310,3742,4627,487,510,0,0,0,-7.23809523809524,0,0
1,320,4389,4081,508,522,0,0,0,4.31211498973306,2.35294117647059,0
1,330,4289,3989,548,483,0,0,0,7.8740157480315,-7.47126436781609,0
1,340,3176,5359,521,504,0,0,0,-4.92700729927007,4.34782608695652,0
1,350,4144,4546,513,500,0,0,0,-1.53550863723608,-0.793650793650794,0
1,360,4273,4685,485,507,0,0,0,-5.45808966861598,1.4,0
1,370,4515,4617,499,513,0,0,0,2.88659793814433,1.18343195266272,0
1,380,4329,3977,517,502,0,0,0,3.60721442885772,-2.14424951267057,0
1,390,4258,4097,527,517,0,0,0,1.93423597678917,2.98804780876494,0
1,400,3864,3986,477,520,0,0,0,-9.4876660341556,0.58027079303675,0
1,410,5102,4348,487,486,0,0,0,2.09643605870021,-6.53846153846154,0
1,420,5071,4725,501,526,0,0,0,2.87474332648871,8.23045267489712,0
1,430,4622,4136,498,481,0,0,0,-0.598802395209581,-8.55513307984791,0
1,440,4772,4843,513,514,0,0,0,3.01204819277108,6.86070686070686,0
1,450,4345,4143,504,511,0,0,0,-1.75438596491228,-0.583657587548638,0
1,460,4623,3733,490,513,0,0,0,-2.77777777777778,0.391389432485323,0
1,470,4771,4312,504,542,0,0,0,2.85714285714286,5.65302144249513,0
1,480,4112,3849,492,487,0,0,0,-2.38095238095238,-10.1476014760148,0
1,490,4245,4713,512,508,0,0,0,4.0650406504065,4.31211498973306,0
1,500,4030,4401,533,506,0,0,0,4.1015625,-0.393700787401575,0
1,510,3620,4759,515,484,0,0,0,-3.37711069418387,-4.34782608695652,0
1,520,4080,4543,530,510,0,0,0,2.9126213592233,5.37190082644628,0
1,530,4185,4607,479,497,0,0,0,-9.62264150943396,-2.54901960784314,0
1,540,4807,4213,460,516,0,0,0,-3.96659707724426,3.82293762575453,0
1,550,5708,3842,498,535,0,0,0,8.26086956521739,3.68217054263566,0
1,560,5107,3667,503,506,0,0,0,1.00401606425703,-5.42056074766355,0
1,570,4890,4296,505,493,0,0,0,0.397614314115308,-2.56916996047431,0
1,580,4206,4781,490,493,0,0,0,-2.97029702970297,0,0
1,590,4646,4909,503,511,0,0,0,2.6530612244898,3.65111561866126,0
1,600,4713,4162,503,512,0,0,0,0,0.195694716242661,0
1,610,4386,4057,492,513,0,0,0,-2.18687872763419,0.1953125,0
1,620,4560,4269,489,497,0,0,0,-0.609756097560976,-3.11890838206628,0
1,630,4591,5196,529,487,0,0,0,8.1799591002045,-2.01207243460765,0
1,640,3762,5287,510,488,0,0,0,-3.59168241965974,0.205338809034908,0
1,650,4253,4656,492,498,0,0,0,-3.52941176470588,2.04918032786885,0
1,660,4347,4739,514,508,0,0,0,4.47154471544715,2.00803212851406,0
1,670,4163,4752,521,498,0,0,0,1.36186770428016,-1.96850393700787,0
1,680,4087,4877,484,482,0,0,0,-7.10172744721689,-3.21285140562249,0
1,690,5146,5351,500,481,0,0,0,3.30578512396694,-0.20746887966805,0
1,700,4982,4706,502,516,0,0,0,0.4,7.27650727650728,0
1,710,4778,4130,510,514,0,0,0,1.59362549800797,-0.387596899224806,0
1,720,4572,4043,490,497,0,0,0,-3.92156862745098,-3.30739299610895,0
1,730,4540,4068,512,510,0,0,0,4.48979591836735,2.61569416498994,0
1,740,3975,4909,498,505,0,0,0,-2.734375,-0.980392156862745,0
1,750,5219,4974,491,470,0,0,0,-1.40562248995984,-6.93069306930693,0
1,760,4355,5201,507,497,0,0,0,3.25865580448065,5.74468085106383,0
1,770,4391,4840,513,499,0,0,0,1.18343195266272,0.402414486921529,0
1,780,4482,4257,490,506,0,0,0,-4.48343079922027,1.40280561122244,0
1,790,4689,4488,502,503,0,0,0,2.44897959183673,-0.592885375494071,0
1,800,3953,4349,526,509,0,0,0,4.7808764940239,1.19284294234592,0
1,810,4138,4302,499,493,0,0,0,-5.13307984790875,-3.1434184675835,0
1,820,4652,4414,517,487,0,0,0,3.60721442885772,-1.21703853955375,0
1,830,4133,4451,505,525,0,0,0,-2.321083172147,7.80287474332649,0
1,840,4518,3936,510,523,0,0,0,0.99009900990099,-0.380952380952381,0
1,850,4170,4069,521,529,0,0,0,2.15686274509804,1.1472275334608,0
1,860,4052,3722,503,495,0,0,0,-3.45489443378119,-6.42722117202268,0
1,870,4412,4320,502,514,0,0,0,-0.198807157057654,3.83838383838384,0
1,880,4668,4161,494,526,0,0,0,-1.59362549800797,2.33463035019455,0
1,890,4388,4018,497,503,0,0,0,0.607287449392713,-4.37262357414449,0
1,900,4196,4572,515,461,0,0,0,3.62173038229376,-8.34990059642147,0
1,910,4443,5440,519,485,0,0,0,0.776699029126214,5.2060737527115,0
1,920,4578,4826,475,511,0,0,0,-8.47784200385357,5.36082474226804,0
1,930,5462,4248,500,535,0,0,0,5.26315789473684,4.69667318982387,0
1,940,4365,3525,508,491,0,0,0,1.6,-8.22429906542056,0
1,950,4525,4727,508,512,0,0,0,0,4.27698574338086,0
1,960,4419,4403,491,488,0,0,0,-3.34645669291339,-4.6875,0
1,970,4925,4495,488,487,0,0,0,-0.610997963340122,-0.204918032786885,0
1,980,4789,4838,504,505,0,0,0,3.27868852459016,3.69609856262834,0
1,990,4447,4422,500,502,0,0,0,-0.793650793650794,-0.594059405940594,0
1,1000,4710,4551,510,526,0,0,0,2,4.7808764940239,0
2,0,31250,31250,250,250,0,0,0,0,0,0
2,10,13745,14053,232,230,0,0,0,-7.2,-8,0
2,20,14955,14945,319,310,0,0,0,37.5,34.7826086956522,0
2,30,10164,10998,396,400,0,0,0,24.1379310344828,29.0322580645161,0
2,40,7103,6909,465,480,0,0,0,17.4242424242424,20,0
2,50,5195,5099,479,485,0,0,0,3.01075268817204,1.04166666666667,0
2,60,5370,5175,482,506,0,0,0,0.626304801670146,4.32989690721649,0
2,70,5561,4291,495,500,0,0,0,2.69709543568465,-1.18577075098814,0
2,80,5254,4711,492,495,0,0,0,-0.606060606060606,-1,0
2,90,4797,4886,516,500,0,0,0,4.8780487804878,1.01010101010101,0
