"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13866.8,13770.85,13953.85,13892.15,13786.05,14003.55,234.05,231.5,236.95,232.55,229.75,235.2,0,0,0,0,0,0,0,0,0,-6.38,-7.4,-5.26,-6.98,-8.04,-5.84,0,0,0
20,20,14935.5,14749.7,15100.95,15023.05,14808.95,15226.2,306.15,300.25,312.15,307.95,303.05,312.9,0,0,0,0,0,0,0,0,0,30.8322216002844,28.5400141511093,33.1008818643767,32.4894459401625,30.1864053730025,34.6064489829357,0,0,0
30,20,11203.9,10814.45,11536.9,11222.55,10986.1,11448.35,393.8,387.45,400.3,387.85,380.75,394.25,0,0,0,0,0,0,0,0,0,28.7325306237248,26.6007638299307,30.6355721509782,26.0615457965356,23.5575202656511,28.4967134009607,0,0,0
40,20,7614.6,7352.95,7883.25,7843.9,7610.15,8079.15,448.1,441.1,455.65,452.1,445.45,459.25,0,0,0,0,0,0,0,0,0,13.8724819563946,12.0632742246681,15.6764232267032,16.6977454659118,14.6959081233186,18.9125902909086,0,0,0
50,20,5920.45,5632.7,6188.3,5859.15,5604.95,6092.4,481.05,474.55,486.65,482.9,476.05,489.8,0,0,0,0,0,0,0,0,0,7.47702641295102,5.42418615408027,9.17005334847199,6.89211738779438,5.24764078229768,8.56022312698787,0,0,0
60,20,5113.35,4978.5,5258.3,4871.75,4692.45,5040.85,499.3,491.2,507.05,498.3,493,504.4,0,0,0,0,0,0,0,0,0,3.90863594744057,1.75092063743052,6.68199694998569,3.29943607020019,1.47229820492788,5.42111213966912,0,0,0
70,20,4666.5,4433.75,4897.7,4590.85,4454.6,4740.05,497.25,491.15,503.6,503.3,497.5,509.05,0,0,0,0,0,0,0,0,0,-0.277044492296156,-2.35656795625415,1.89422398292894,1.07319932989006,-0.596607161275321,2.6542928622721,0,0,0
80,20,4682.95,4475.05,4880.3,4521.65,4334.3,4717.85,501.05,494.9,507.95,503.1,497.4,509,0,0,0,0,0,0,0,0,0,0.797073395692273,-0.416211766859207,2.0626049385541,0.0346059978827704,-1.53203026178961,1.6881965529358,0,0,0
90,20,4612.05,4418.35,4811.7,4504.55,4348.55,4660.6,502.7,497,508.25,499.45,494.2,504.75,0,0,0,0,0,0,0,0,0,0.438720271905203,-1.35884025662687,2.10073577367612,-0.671389130686992,-2.10462900076028,0.772332107604965,0,0,0
100,20,4456.3,4308.45,4617.6,4649.45,4451.5,4857.75,504.15,497.6,510.9,499.25,493.8,504.25,0,0,0,0,0,0,0,0,0,0.340139072846121,-1.29276714598607,1.84245570716736,0.0347805323332209,-1.55645004831565,1.69311676272211,0,0,0
110,20,4494,4324.3,4671.5,4614.8,4440.55,4804.1,498.45,491,506.2,498.6,493.65,503.9,0,0,0,0,0,0,0,0,0,-1.04386252156495,-2.947611568485,0.830363643985604,-0.0926579002176667,-1.28239961778927,1.13033663884345,0,0,0
120,20,4486.35,4291,4680.7,4526.95,4323.7,4712.7,507.95,501.9,513.15,502.2,495.3,508.1,0,0,0,0,0,0,0,0,0,2.00914434860378,0.260012565661358,3.73321564136203,0.771116291619323,-0.796702339054067,2.37764545559578,0,0,0
130,20,4428.95,4278.55,4600.95,4435.5,4262.8,4618.2,506.75,502.1,511.05,507.05,500.9,513.05,0,0,0,0,0,0,0,0,0,-0.174797722776817,-1.53183927483673,1.35479374446378,1.04057611823023,-0.534953804353495,2.55709246831021,0,0,0
140,20,4344.45,4185.75,4501.05,4319.05,4139.8,4528.05,502.45,494.95,509.5,512.85,505.5,519.95,0,0,0,0,0,0,0,0,0,-0.792654799583871,-2.61280909886787,0.913497491940922,1.18428507349552,-0.36264215285346,2.5914216024048,0,0,0
150,20,4500.1,4311.45,4710.9,4277.5,4065.4,4482.85,503.65,497.35,509.6,500.45,494.4,506.65,0,0,0,0,0,0,0,0,0,0.372412689109021,-1.63053524635292,2.6799559897999,-2.32050211276284,-4.02077549674874,-0.596101530297067,0,0,0
160,20,4456.35,4248.5,4644.55,4489.2,4316.85,4666.8,506.75,501.85,511.85,502,497.25,506.7,0,0,0,0,0,0,0,0,0,0.700655806124265,-1.01109961997213,2.3773429022094,0.379018815352115,-1.1216063042792,1.93288728738294,0,0,0
170,20,4395.85,4212.35,4592.4,4547.65,4397.3,4688.7,503.5,496.5,510.8,503.9,499,508.65,0,0,0,0,0,0,0,0,0,-0.590502149312119,-2.42107917401289,0.989109712068729,0.457118987393503,-1.23154020786065,2.20810650446305,0,0,0
180,20,4470.25,4303.1,4656.15,4401.6,4253.3,4542.75,503,497.25,508.45,502.9,497.2,509.5,0,0,0,0,0,0,0,0,0,0.0170956642550982,-2.02414541007612,2.04251833790319,-0.152766983130711,-1.69339837346336,1.27811252469019,0,0,0
190,20,4529.35,4329.25,4740.6,4581.9,4436.6,4721.85,500.8,493.65,509.35,498,492.4,503.35,0,0,0,0,0,0,0,0,0,-0.411819541095054,-1.82843543208523,0.986852435823545,-0.902937072255396,-2.46314445707437,0.566371949353105,0,0,0
200,20,4592.7,4395.45,4768.1,4608.85,4475.6,4758.85,502.6,496.55,508.95,509.7,502.25,516.05,0,0,0,0,0,0,0,0,0,0.493614611833604,-1.70946541896758,2.47694564868185,2.40678296521919,0.797230332296729,4.03797988207887,0,0,0
210,20,4654.85,4490.7,4815.25,4251.15,4101.55,4402.55,489.85,485.15,494.75,501.4,496.8,506.85,1.2,0.8,1.6,0.15,0,0.35,13.45,11.8,15.15,-2.45520032158378,-4.05928481495856,-0.911885473322305,-1.55346792309808,-3.0533437834889,0.0618698900943584,0,0,0
220,20,4878.7,4750.3,5005.25,4519.8,4370.5,4657.5,489.8,483,496.9,503,495.5,511.3,0.95,0.55,1.4,0.05,0,0.15,9.4,7.8,11.15,0.0490462991520871,-1.8222250236817,1.87072551194745,0.392276384082145,-1.54716206056281,2.46659172124062,-30.0692224442224,-38.5209096459096,-19.8636363636364
230,20,4971.4,4725.35,5234.2,4464.3,4251.45,4660.3,492.35,486.25,498.7,502.1,498.05,506.1,0.4,0.15,0.75,0.05,0,0.15,7.2,5.5,9,0.627008267542857,-1.16812382291105,2.63256276250562,-0.0595274427154996,-1.85991008790566,1.53885656978344,-23.158522033522,-36.7397186147186,-9.69624819624819
240,20,4762.45,4568.55,4970.3,4424.55,4300.3,4557.35,497.05,491.85,502.15,505.5,499.9,512.25,0.45,0.15,0.85,0.05,0,0.15,4.45,3.15,5.8,1.00347881025491,-0.149596339221035,2.24401840893173,0.732047399288628,-0.879695278558954,2.6036493665896,-36.7896825396825,-47.5714285714286,-25.9742063492063
250,20,4716,4519.1,4914.4,4420.55,4210.6,4627.8,498.05,490.35,505.5,505.4,500.45,510.55,0.25,0.05,0.55,0.05,0,0.15,3.1,2.15,4.2,0.272083141375764,-1.6900589283086,2.03239203951868,0.0301302340393812,-1.21995795964215,1.16449325823558,-31.297619047619,-45.8392857142857,-19.2083333333333
260,20,4741,4536.95,4937.2,4581.4,4458.05,4691.75,500.6,495.6,506,497.25,493.9,501,0.15,0,0.3,0,0,0,2.3,1.1,3.85,0.629277667387097,-1.43920100188819,2.39675831128484,-1.55543871725463,-2.84725091396212,-0.338107908238773,-37.9583333333333,-56.9583333333333,-19.4166666666667
270,20,4614.95,4438.55,4793.1,4695.5,4532.65,4849.7,494.35,489.05,500.45,500.8,495.9,506.25,0.05,0,0.15,0,0,0,1.95,0.65,3.55,-1.20813911222858,-2.59437468221046,0.312380418629056,0.744495108806729,-0.634139033353316,2.16465786677979,-23.5454545454545,-42.5454545454545,-8.09090909090909
280,20,4693.85,4511,4891.05,4515.85,4321.3,4697.65,500.7,493.05,509.05,504.65,497.65,512.45,0.05,0,0.15,0,0,0,1.1,0.4,1.85,1.35331488086909,-0.363341123521217,3.32065027598329,0.826643909742731,-0.965188621697892,2.63792947650641,-20.1488095238095,-38.4821428571429,-4.375
290,20,4572.05,4386.1,4777.15,4485.55,4299.55,4663.45,503.25,497.35,508.8,501.7,495.05,508.3,0.05,0,0.15,0,0,0,0.6,0.05,1.25,0.632205367230028,-1.30317056578061,2.51520720985612,-0.42926390992345,-2.73770208144644,1.81194763975004,-21,-37.6666666666667,-7.66666666666667
300,20,4436.2,4233.35,4616.9,4494.65,4363.1,4632.35,503.2,496.9,508.95,501,496.4,505.85,0.05,0,0.15,0,0,0,0.25,0,0.7,0.0541293041707276,-1.6067572410747,1.72197388650421,-0.0463677974602456,-1.59279369217518,1.50838392798123,-13.5,-28,-2
310,20,4411.25,4207.9,4614.4,4602.1,4459.7,4739.75,502.5,496.05,509.1,501.2,495.85,507.2,0,0,0,0,0,0,0.2,0,0.55,-0.0866484964682387,-1.58631451956938,1.38556474735132,0.0773077440131771,-1.27006342800226,1.44118587785453,-1.25,-3.75,0
320,20,4491.1,4312.8,4659.4,4512.6,4352.2,4665.45,504.1,498.95,509.35,504.8,499.8,510.15,0,0,0,0,0,0,0.1,0,0.25,0.443895271201255,-1.51450516283827,2.56276460257429,0.756373077089024,-0.480713095266577,1.73242237154101,-3.33333333333333,-10,0
330,20,4435.4,4282.55,4609.85,4485.05,4310.6,4677.75,505.9,498.35,513.5,503.05,494.95,510.95,0,0,0,0,0,0,0.1,0,0.3,0.403812702233215,-1.25235024929123,2.02209949803116,-0.280899044398128,-2.25090089763059,1.89367353437901,0,-15,15
340,20,4423.55,4259.1,4575.65,4531.9,4291.35,4779.85,506.3,500.9,511.3,504.9,498.75,510.9,0,0,0,0,0,0,0.1,0,0.3,0.196610410172663,-1.69184328908194,1.883555766954,0.51226216121201,-1.69417617392335,2.52469695339384,0,0,0
350,20,4436,4288.95,4591.8,4537.8,4323.55,4748.45,502.75,496.25,508.1,498.25,491.5,504.95,0,0,0,0,0,0,0.15,0,0.45,-0.652725013743255,-2.08754851962669,0.793020969179829,-1.28172689798215,-2.6200804691993,0.136899863362433,2.5,0,7.5
360,20,4508.1,4353.65,4659.55,4657.75,4469,4856.2,502.95,496.6,509.1,500.5,495.45,505.4,0,0,0,0,0,0,0.1,0,0.3,0.0931939731822708,-1.42239519906151,1.61682812235028,0.550016625966742,-1.12530082966184,2.20118314006595,-1.66666666666666,-4.99999999999999,0
370,20,4469.05,4347.75,4576.75,4563.55,4423.7,4696.7,503.45,499.1,508.25,509.65,504.35,514.9,0,0,0,0,0,0,0.05,0,0.15,0.180635635591506,-1.40710799641348,1.63258830436095,1.9074991959065,0.164874316264236,3.69017558543308,-2.5,-7.5,0
380,20,4577.1,4428.7,4728,4431.85,4263.7,4612.25,502.05,496.2,508.25,496.6,492.05,501.3,0,0,0,0,0,0,0,0,0,-0.234783565422263,-1.80178643209028,1.35644735252319,-2.49790927053435,-3.94910551744186,-1.10488006642542,-5,-15,0
390,20,4516.2,4329.95,4693.5,4618.9,4478.3,4752.05,499.05,493.3,504.8,501.8,496.65,507.15,0,0,0,0,0,0,0,0,0,-0.545890127183054,-1.87334571729089,0.875681140293615,1.09166021036977,-0.200663931772569,2.56919131328623,0,0,0
400,20,4510,4321.75,4707.7,4592.15,4429,4763.8,508.75,501.75,515.5,503.4,498.8,507.8,0,0,0,0,0,0,0,0,0,2.0101069536565,0.130730493786141,3.63133685424559,0.373094668363288,-1.06928310975068,1.58823128825085,0,0,0
410,20,4447.8,4251.85,4634.2,4459.05,4307.2,4633.85,503.85,498.45,509.25,502.6,495.6,510.05,0,0,0,0,0,0,0,0,0,-0.896057062528467,-2.30010693238765,0.519037292238237,-0.115125988110086,-1.77870938671561,1.40859572622615,0,0,0
420,20,4439.2,4263.65,4628.85,4558.55,4367.95,4748.45,503.8,498.3,509.1,503.1,496.8,508.95,0,0,0,0,0,0,0,0,0,0.0746815158670281,-1.63241833152278,1.92111814501958,0.218908950166933,-1.85348278284644,2.25980157961416,0,0,0
430,20,4536.1,4380.3,4680.4,4428.65,4258.35,4623.65,504.4,497.5,511.25,502.55,497.2,507.5,0,0,0,0,0,0,0,0,0,0.195302892537551,-1.56639122847817,2.15130193597446,-0.0262828433699722,-1.78838696796227,1.55492222887986,0,0,0
440,20,4490,4314.55,4659.85,4442.6,4284.75,4578.95,501.05,495.1,506.7,503.75,498.15,509.75,0,0,0,0,0,0,0,0,0,-0.584956150654261,-2.20629114368324,0.935502771475824,0.306133564431859,-1.29278404677536,2.05348110894905,0,0,0
450,20,4546.7,4397.8,4696,4459.35,4270.4,4638.5,503.55,497.4,509.8,503.75,498.25,510.5,0,0,0,0,0,0,0,0,0,0.553374837250992,-0.978428691064311,2.07116393880703,0.0509303836124201,-1.36236830409777,1.47198573646693,0,0,0
460,20,4467.95,4272.6,4672.5,4392.5,4248.5,4542.5,498.6,493.4,503.45,502.45,498.2,506.45,0,0,0,0,0,0,0,0,0,-0.894909702698258,-2.63778133938526,0.659546946429497,-0.175882505457088,-1.786905213136,1.25145102722837,0,0,0
470,20,4445.3,4292.65,4591.25,4509.7,4406.95,4608.45,509.05,504.85,513.1,508.35,503.25,513.7,0,0,0,0,0,0,0,0,0,2.14831838084187,0.859440114522196,3.47792735694729,1.19996341635668,-0.0156415873451691,2.32491725805635,0,0,0
480,20,4282.35,4160.4,4402.05,4366.75,4252.4,4464.7,507.6,501.1,514.9,500.4,496.45,504.3,0,0,0,0,0,0,0,0,0,-0.254277499154252,-1.67550128690838,1.22889627481738,-1.50683173916689,-2.82032714743158,-0.293113080632379,0,0,0
490,20,4292.5,4114.4,4444.5,4555.7,4403.5,4706.4,504.3,496.25,512.55,505.75,498.6,512.75,0,0,0,0,0,0,0,0,0,-0.550730032300757,-2.6083384977194,1.6309506788821,1.09715003053631,-0.629469876845224,2.49781585270312,0,0,0
500,20,4430.5,4190.8,4655.95,4433.75,4227.4,4676.25,505.95,499.65,512.35,503.8,499.1,508.2,0,0,0,0,0,0,0,0,0,0.488353204226147,-1.71765335096906,2.43866275946422,-0.29425965614759,-1.73090001699686,1.10060260536546,0,0,0
510,20,4472.7,4282.25,4657.7,4441.1,4299.75,4591.5,507.9,501.2,514.3,501.45,497.25,505.75,0,0,0,0,0,0,0,0,0,0.443949135555628,-0.957062820531488,1.95640968994502,-0.446691849683025,-1.35224227521033,0.529723597507786,0,0,0
520,20,4355.45,4182.15,4550.8,4489.65,4320.45,4666.35,496.95,490.25,503.45,502.2,496.75,508.35,0,0,0,0,0,0,0,0,0,-2.09237001898996,-3.61687329845106,-0.670850971448368,0.185276214085137,-1.15348104655317,1.42435613387975,0,0,0
530,20,4609.3,4414.55,4798.9,4594.7,4462.9,4750.7,496.45,490.35,503.05,503.05,497.4,508.75,0,0,0,0,0,0,0,0,0,0.0131075646096872,-1.96555086323903,2.13029471727467,0.247162673323834,-1.56117261896722,1.83172464415845,0,0,0
540,20,4708.85,4526.3,4902.95,4490.55,4328.8,4647.85,500.6,493.55,507.1,502.55,496.2,508.55,0,0,0,0,0,0,0,0,0,0.884467554190255,-0.580511490905395,2.21283035761936,-0.0324500994913314,-1.69203450160403,1.55155258781419,0,0,0
550,20,4527.45,4335.15,4727.45,4521.75,4311,4737.75,502.95,497.45,508.3,504.1,496.8,511.35,0,0,0,0,0,0,0,0,0,0.562164529370469,-1.11211954055302,2.15159090387875,0.364627231001048,-1.18626926900357,2.01204448510492,0,0,0
560,20,4418.9,4251.15,4603.8,4396.65,4221.95,4552.55,506.05,502.1,510,507.1,501.75,512.4,0,0,0,0,0,0,0,0,0,0.678935750268151,-0.727552926096263,1.96855991784086,0.713432526485206,-1.17916907321429,2.78581057942341,0,0,0
570,20,4464.5,4310.25,4610.65,4428.9,4301.3,4549.4,504.35,499.55,508.85,501.75,496.2,507.15,0,0,0,0,0,0,0,0,0,-0.290169393988583,-1.61981597962729,1.06785016337119,-0.991424776467154,-2.60569770042228,0.729711334749572,0,0,0
580,20,4438.15,4281.9,4598.55,4629.8,4474.45,4767.1,502.85,496.6,509.05,495.7,491.7,499.5,0,0,0,0,0,0,0,0,0,-0.276150449587669,-1.62400226172137,0.890945003091754,-1.13817191478226,-2.5534096173442,0.27979187565806,0,0,0
590,20,4466.5,4307.7,4632.05,4622.3,4489.1,4744.65,505.05,499.25,510.65,505.05,500.2,509.8,0,0,0,0,0,0,0,0,0,0.534970822223383,-1.37435269350433,2.40662994070696,1.905428967528,0.847790999961612,2.80241280521522,0,0,0
600,20,4523,4352.2,4675.2,4475.7,4316.4,4629,506.4,499,513.25,505,497.65,511.8,0,0,0,0,0,0,0,0,0,0.326117890528412,-1.4317893981838,2.17772292754143,0.0399868226509779,-1.70530876628227,1.72094050048847,0,0,0
610,20,4508.2,4294.7,4695.9,4443.2,4269.1,4632.3,500.55,494.7,506.4,497.6,490.4,504.75,0,0,0,0,0,0,0,0,0,-1.03192510291271,-3.077725584211,1.00081003636341,-1.36687903149248,-3.26967015159396,0.650182821794217,0,0,0
620,20,4522.35,4324.2,4694.95,4662.05,4468.85,4850.95,501.15,494.4,507.5,499.4,493.95,504,0,0,0,0,0,0,0,0,0,0.156259199619639,-1.16769636404097,1.44208135591827,0.460031764834683,-1.14566798719137,2.05419758313675,0,0,0
630,20,4515.5,4320.7,4724.75,4649.2,4470.9,4857.6,498.95,493.5,504.45,509.3,505.3,513.7,0,0,0,0,0,0,0,0,0,-0.345349878726373,-2.00348874342799,1.46887542579634,2.03497438715314,0.803269143475283,3.26278680057045,0,0,0
640,20,4607.4,4391.6,4796.6,4431.25,4292.8,4571.8,505.15,498.9,511.65,501.9,496.65,507.2,0,0,0,0,0,0,0,0,0,1.29124039456367,-0.201318755155865,2.70224366111968,-1.41151398979491,-2.77885099945813,-0.0811669068545993,0,0,0
650,20,4432.8,4282.3,4563.9,4622.35,4459.95,4780.7,507.1,501.5,512.75,500.45,494.9,506.75,0,0,0,0,0,0,0,0,0,0.493544804233633,-1.52211521974502,2.36683261813441,-0.232359000497369,-1.76848307704239,1.28689979890713,0,0,0
660,20,4418.35,4197.55,4620.35,4580.4,4453.4,4698.85,504.8,497.75,511.3,497.35,492.05,502.25,0,0,0,0,0,0,0,0,0,-0.398872368888335,-1.88085462845928,1.18199729742607,-0.512935312816245,-2.70411485374562,1.26340685910259,0,0,0
670,20,4476.5,4306.6,4670.1,4651.9,4471.3,4825.2,502.4,496,507.95,498.75,492.85,504.5,0,0,0,0,0,0,0,0,0,-0.406395666627913,-1.91099776477837,1.13987871972106,0.352009689773661,-1.43363460050798,2.09849111734516,0,0,0
680,20,4514.5,4363,4677.5,4680.25,4535.35,4818.35,502.85,495.05,510.75,497.35,491.05,504.05,0,0,0,0,0,0,0,0,0,0.173317129728352,-1.80147571466779,2.25568208060864,-0.191667732094867,-1.93950276965925,1.66463053480547,0,0,0
690,20,4498.7,4237.25,4728.6,4634.7,4476,4792.65,509,502.2,516.1,502.85,498.35,507.5,0,0,0,0,0,0,0,0,0,1.3171838531447,-0.431725208156887,2.98043760113606,1.18990354849445,-0.458718595450831,2.66051343446777,0,0,0
700,20,4394.4,4201.25,4584.9,4392.8,4288.3,4499.1,501.9,495.7,507.7,507.8,502.35,513.6,0,0,0,0,0,0,0,0,0,-1.30961340198476,-2.89079185396034,0.352923736035477,1.06117902487843,-0.77761549907543,2.84300970433176,0,0,0
710,20,4436.75,4298.75,4576.65,4361.3,4200.15,4504.9,501.4,495,507.4,504.5,498.5,510.4,0,0,0,0,0,0,0,0,0,-0.00333609960045656,-1.86751124577595,2.07555210462326,-0.564799705251466,-2.39850098388567,1.31948695638546,0,0,0
720,20,4535.9,4364.95,4699.4,4470.9,4276.7,4646.7,500.95,494.1,507.7,507,500.6,513.45,0,0,0,0,0,0,0,0,0,-0.011175812302102,-1.91905296993665,1.80478099332116,0.549899397106162,-1.02554994871087,2.03783138219012,0,0,0
730,20,4578.75,4396.05,4750,4380.95,4226.9,4546.9,506.2,499.6,512.65,498.8,495.15,502.5,0,0,0,0,0,0,0,0,0,1.14960083326141,-0.969679184204671,3.23839145696723,-1.53413617523931,-2.89847768846441,-0.0504906630432343,0,0,0
740,20,4434.25,4271.65,4601.2,4657.85,4544.6,4771.05,502.9,497.6,508.3,501.7,496.4,507.8,0,0,0,0,0,0,0,0,0,-0.565420492077113,-2.14352009865416,1.23910862716665,0.606607700485812,-0.68002250145506,2.06501474600692,0,0,0
750,20,4558.75,4370.7,4760.7,4630.5,4475.55,4803.15,497.75,491.65,504.1,500.55,494.05,506.9,0,0,0,0,0,0,0,0,0,-0.961338273577638,-2.7088465479886,0.740011966636797,-0.139749190919731,-1.93408366607271,1.79132229363155,0,0,0
760,20,4648.75,4489.7,4796.2,4638.95,4489.75,4792.8,500.35,493.5,507.65,500.65,497.35,504.55,0,0,0,0,0,0,0,0,0,0.607817185339036,-1.24009978549463,2.62420609554775,0.0970599140867382,-1.32098115543242,1.42513356208979,0,0,0
770,20,4637.1,4459.6,4818.95,4652.05,4517.5,4789.4,502.25,496.05,508.45,498.7,494,503.15,0,0,0,0,0,0,0,0,0,0.497929745331056,-1.54858894792743,2.50118075199445,-0.351209303082439,-1.73801031119373,0.780289522189901,0,0,0
780,20,4491,4287.15,4701.1,4618.45,4467.7,4764.85,503.25,497.9,508.55,499.95,491.75,507.55,0,0,0,0,0,0,0,0,0,0.284711962488087,-1.3648529786654,1.8942531836346,0.303943729484732,-1.51644867538393,2.35458984279651,0,0,0
790,20,4471.75,4325.4,4621.45,4614.4,4393.6,4847.8,501.85,494.85,509.45,495.75,489.45,501.65,0,0,0,0,0,0,0,0,0,-0.20783844809594,-2.10421161240163,1.7248696280421,-0.693410147835863,-2.85593944629503,1.24066317101141,0,0,0
800,20,4477.75,4233.1,4718.05,4622.55,4453.55,4803.75,506.1,499.7,512,503.8,497.8,510.05,0,0,0,0,0,0,0,0,0,0.956940347369899,-1.22250229377516,2.90278577563295,1.69817114894163,-0.0479053927196483,3.23981461319904,0,0,0
810,20,4400.1,4248.55,4581.7,4528.55,4326.05,4735,504.35,500.45,507.75,500.95,494.85,508.25,0,0,0,0,0,0,0,0,0,-0.246196267614896,-1.94881088959636,1.28547427761753,-0.477589173216625,-2.27931886758297,1.65895805409551,0,0,0
820,20,4491.45,4344.5,4642,4520.2,4349.45,4686.3,502.6,496.45,509.1,502.15,496.55,507.8,0,0,0,0,0,0,0,0,0,-0.307362245123722,-1.92751543270259,1.26284830660798,0.329158120948832,-1.42133278042006,1.88210409009934,0,0,0
830,20,4512.55,4357.45,4656.7,4487.6,4324.35,4659.6,502.85,498.55,506.95,504.3,497.9,510.3,0,0,0,0,0,0,0,0,0,0.146880533930771,-1.45426007489595,1.72749726691366,0.513242792420215,-1.21587986491872,2.40508447117765,0,0,0
840,20,4414.95,4258.65,4561.45,4533.5,4366,4712.15,510.35,504.2,516.95,498.15,491.55,504.5,0,0,0,0,0,0,0,0,0,1.52489029750058,0.0154104337042177,2.96293413763701,-1.14598383012225,-2.86518564733243,0.560295914417514,0,0,0
850,20,4340.7,4162.85,4508,4658.85,4493.9,4821.4,509.35,502.05,517.25,504.2,497.95,510.7,0,0,0,0,0,0,0,0,0,-0.0956677072622129,-2.11307966378577,1.908287907707,1.29353231976636,-0.32587881335815,2.98899419036046,0,0,0
860,20,4407.45,4221.6,4607.4,4547.65,4336.75,4758.8,504.75,497.4,511.95,498.15,492.6,503.65,0,0,0,0,0,0,0,0,0,-0.734125237927569,-3.25437225311165,1.63942147125374,-1.13519323948849,-2.70854720759166,0.418092682196778,0,0,0
870,20,4457.25,4254.95,4656.9,4629.05,4448,4786.1,497.8,492.45,503.55,500.9,496.25,506.45,0,0,0,0,0,0,0,0,0,-1.26743866684952,-3.06123221900331,0.804447768133374,0.608802411031769,-0.791298933847983,2.06118171493577,0,0,0
880,20,4620.6,4445.15,4792.05,4627.45,4441.4,4812.25,502.45,497.75,506.75,498.5,493.45,504.25,0,0,0,0,0,0,0,0,0,1.01676507949601,-0.655384562717875,2.67535618157599,-0.419735984355716,-2.08621997608653,1.07963854404208,0,0,0
