timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13954,14169,236,223,0,0,0
20,15062,15803,301,294,0,0,0
30,11698,11889,375,378,0,0,0
40,8798,8723,446,426,0,0,0
50,6157,6694,465,447,0,0,0
60,5198,5942,476,472,0,0,0
70,4759,5184,517,488,0,0,0
80,3760,4972,512,513,0,0,0
90,4403,4048,506,526,0,0,0
100,4296,4461,489,486,0,0,0
110,4692,5296,528,470,0,0,0
120,4136,5710,500,494,0,0,0
130,4716,5053,487,481,0,0,0
140,4725,5097,506,498,0,0,0
150,4217,4394,497,511,0,0,0
160,4706,4630,518,519,0,0,0
170,4499,4293,503,484,0,0,0
180,4826,5319,503,490,0,0,0
190,4521,4697,494,508,0,0,0
200,4360,4478,522,544,0,0,0
210,4105,3435,501,478,2,2,28
220,4357,4909,495,498,0,1,31
230,4864,4475,470,492,1,1,39
240,5676,4701,461,487,4,2,52
250,6310,5126,447,475,2,3,58
260,6003,5721,469,458,3,2,77
270,5799,5703,442,453,3,2,74
280,6486,6516,472,447,3,4,97
290,5404,6621,461,423,4,2,106
300,5987,7135,433,436,3,7,101
310,7755,6865,426,427,6,4,120
320,7170,6653,424,421,6,4,119
330,7586,6636,413,435,4,5,99
340,7816,6861,400,434,5,3,116
350,8283,7207,423,414,4,9,125
360,7349,7700,392,436,7,4,134
370,8280,7385,408,397,7,6,135
380,7963,8427,422,390,5,9,133
390,7268,8234,422,391,6,12,130
400,7328,8714,407,407,4,3,118
410,7933,7972,402,412,2,2,116
420,7860,7760,426,404,2,4,104
430,7698,7378,418,436,3,3,125
440,7580,7344,437,410,2,10,128
450,7508,7508,409,425,6,3,115
460,8194,7307,405,432,3,2,128
470,8112,7132,401,424,3,8,127
480,8214,7406,407,407,5,7,118
490,8019,7601,431,401,5,7,112
500,7286,9113,402,375,4,8,119
510,8018,9204,391,394,10,1,124
520,8968,8027,389,412,5,5,117
530,8425,7981,424,387,5,2,117
540,7339,8675,429,388,5,4,111
550,6845,8930,443,412,6,5,117
560,6548,7555,445,418,3,5,108
570,6459,7847,429,421,8,5,107
580,7358,7309,425,421,4,1,107
590,6965,6934,461,434,4,10,108
600,6252,6797,441,438,6,4,117
610,6830,7061,404,436,8,7,123
620,8392,7120,400,404,0,3,130
630,7754,7794,419,444,4,4,120
640,7366,6355,424,431,2,4,120
650,6997,7014,426,421,3,4,116
660,7175,7568,426,421,5,8,119
670,7181,7230,408,420,8,2,122
680,8287,7584,408,414,2,3,123
690,8144,7735,413,423,0,5,96
700,7547,7281,422,431,4,3,94
710,7215,6290,437,459,1,5,100
720,6339,6086,428,471,5,2,98
730,6872,5993,431,425,3,4,109
740,7175,7299,444,411,1,6,107
750,6891,7561,441,424,9,4,109
760,6959,7564,417,414,8,3,113
770,7547,7697,394,424,8,2,110
780,7950,7090,442,421,5,5,112
790,6375,7306,444,439,4,8,107
800,6276,7173,432,427,6,6,103
810,6812,7076,437,422,4,1,102
820,6468,7604,462,397,6,4,115
830,5964,8274,430,406,5,4,112
840,6727,7979,414,425,4,4,106
850,7984,7256,415,422,5,4,107
860,7116,6780,447,423,4,5,103
870,6900,7505,430,433,2,5,105
880,7251,7407,423,414,6,5,120
890,6973,8244,468,406,5,2,117
900,5753,7910,437,432,6,4,127
910,6342,7362,429,410,5,3,141
920,7424,8475,391,384,8,7,143
930,8565,8619,405,392,5,6,138
940,8224,8939,426,394,1,5,163
950,7927,8419,386,376,4,8,156
960,9300,9123,370,405,8,6,154
970,9631,8417,364,390,4,2,163
980,9984,8600,386,392,7,4,147
990,8833,8367,394,387,7,5,148
1000,8353,8806,395,405,3,6,126
