"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13983.75,13851.3,14114.65,13999.1,13923.65,14070.75,231,227.8,234.3,230.8,228.9,232.45,0,0,0,0,0,0,0,0,0,-7.6,-8.88,-6.3,-7.68,-8.4,-7.02,0,0,0
20,20,15088.95,14892.4,15279.35,15185.55,15074.05,15294.8,300.8,294.3,309.05,297.1,292.2,302,0,0,0,0,0,0,0,0,0,30.194665141515,27.8336982932594,32.6605720975271,28.7575978702498,26.4237276153254,31.0795395766565,0,0,0
30,20,11479.35,11114.45,11783.5,11657.75,11389.05,11906.15,387.95,381.45,393.55,387,383,390.85,0,0,0,0,0,0,0,0,0,29.2809185949972,25.8858832566644,32.3355618266455,30.3900554351505,28.3999891646561,32.194250184383,0,0,0
40,20,7769.65,7555.6,7991.35,7880.65,7723.35,8027,453.75,447.75,459.9,449.3,443.5,454.7,0,0,0,0,0,0,0,0,0,17.1223468345201,14.6763141284893,19.7553321489918,16.1544073334419,14.2821986607269,17.9845116167524,0,0,0
50,20,5786.95,5586.5,5971.05,5948.75,5762.45,6136.9,478.5,472.85,485,481.1,476.35,486.15,0,0,0,0,0,0,0,0,0,5.56295988119432,3.44138303818787,7.66873859099704,7.13482940176621,5.83517198034658,8.47126858451923,0,0,0
60,20,5086.8,4903.3,5247,5005.2,4837.15,5179.75,497.55,492.15,503.4,494.05,488.85,499.4,0,0,0,0,0,0,0,0,0,4.04251946524405,2.56367011365414,5.48494183414563,2.73787901056164,1.3774605368643,3.98226110613901,0,0,0
70,20,4618.6,4457.7,4782.4,4766.25,4576.55,4964.7,502.5,496.75,507.95,501.95,498.1,506,0,0,0,0,0,0,0,0,0,1.05456936515029,-0.464894837367042,2.75458323311842,1.65075172084589,0.544494085698947,2.95561559881059,0,0,0
80,20,4650.05,4456.8,4823.35,4435.05,4280,4590.4,500.4,495.2,504.85,507.7,501.65,513.5,0,0,0,0,0,0,0,0,0,-0.355261848751228,-1.73726145944695,1.13015099532629,1.19248862874429,-0.363089635899921,2.78882042274534,0,0,0
90,20,4523.15,4327.85,4729.3,4396.8,4205.35,4568.7,501.9,496.25,507.45,502.75,497.95,507.8,0,0,0,0,0,0,0,0,0,0.330102613441845,-0.934544826736213,1.5787449101257,-0.912669987433274,-2.33141430976609,0.610525745302859,0,0,0
