"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13703,13630,240,229,0,0,0,-4,-8.4,0
1,20,14891,14910,322,310,0,0,0,34.1666666666667,35.3711790393013,0
1,30,10340,10887,396,406,0,0,0,22.9813664596273,30.9677419354839,0
1,40,7676,7447,461,447,0,0,0,16.4141414141414,10.0985221674877,0
1,50,5639,5823,482,499,0,0,0,4.55531453362256,11.6331096196868,0
1,60,4884,4666,497,485,0,0,0,3.11203319502075,-2.80561122244489,0
1,70,4570,4769,492,513,0,0,0,-1.00603621730382,5.77319587628866,0
1,80,4316,3968,547,510,0,0,0,11.1788617886179,-0.584795321637427,0
1,90,3286,4353,517,515,0,0,0,-5.48446069469835,0.980392156862745,0
1,100,4052,4035,501,515,0,0,0,-3.09477756286267,0,0
1,110,4719,3795,502,499,0,0,0,0.199600798403194,-3.10679611650485,0
1,120,4498,4018,510,530,0,0,0,1.59362549800797,6.2124248496994,0
1,130,4245,3980,529,510,0,0,0,3.72549019607843,-3.77358490566038,0
1,140,3876,4544,491,507,0,0,0,-7.18336483931947,-0.588235294117647,0
1,150,4425,4525,486,493,0,0,0,-1.0183299389002,-2.76134122287968,0
1,160,4950,4887,522,508,0,0,0,7.40740740740741,3.04259634888438,0
1,170,3590,4508,505,485,0,0,0,-3.25670498084291,-4.52755905511811,0
1,180,4214,5069,527,494,0,0,0,4.35643564356436,1.85567010309278,0
1,190,3969,4791,500,480,0,0,0,-5.12333965844402,-2.83400809716599,0
1,200,4625,4875,493,510,0,0,0,-1.4,6.25,0
1,210,5010,4454,468,504,1,2,30,-5.0709939148073,-1.17647058823529,0
1,220,5452,4671,497,466,2,1,35,6.1965811965812,-7.53968253968254,16.6666666666667
1,230,4566,5664,492,494,1,2,48,-1.00603621730382,6.00858369098712,37.1428571428571
1,240,5015,5066,469,450,1,1,64,-4.67479674796748,-8.90688259109312,33.3333333333333
1,250,5442,6568,490,441,5,4,89,4.47761194029851,-2,39.0625
1,260,5356,6585,475,439,5,4,115,-3.06122448979592,-0.453514739229025,29.2134831460674
1,270,5827,7139,444,423,3,9,134,-6.52631578947368,-3.64464692482916,16.5217391304348
1,280,6540,7826,435,384,4,11,158,-2.02702702702703,-9.21985815602837,17.910447761194
1,290,7223,9435,422,339,6,9,171,-2.98850574712644,-11.71875,8.22784810126582
1,300,7584,11564,407,312,10,6,192,-3.55450236966825,-7.9646017699115,12.280701754386
1,310,8704,13195,379,286,6,2,198,-6.87960687960688,-8.33333333333333,3.125
1,320,9145,14418,364,261,5,7,182,-3.95778364116095,-8.74125874125874,-8.08080808080808
1,330,9483,15964,388,237,9,7,185,6.59340659340659,-9.19540229885057,1.64835164835165
1,340,8708,16844,382,215,7,5,166,-1.54639175257732,-9.28270042194093,-10.2702702702703
1,350,9257,18227,371,203,4,8,160,-2.87958115183246,-5.58139534883721,-3.6144578313253
1,360,9796,18669,343,192,6,7,142,-7.54716981132075,-5.41871921182266,-11.25
1,370,11103,18743,352,210,7,6,127,2.62390670553936,9.375,-10.5633802816901
1,380,9837,17508,387,225,9,4,110,9.94318181818182,7.14285714285714,-13.3858267716535
1,390,9196,16968,373,263,4,4,97,-3.61757105943152,16.8888888888889,-11.8181818181818
1,400,9010,14738,417,268,6,5,109,11.7962466487936,1.90114068441065,12.3711340206186
1,410,7445,14242,411,289,3,6,115,-1.43884892086331,7.83582089552239,5.5045871559633
1,420,8172,13658,405,297,1,5,121,-1.45985401459854,2.7681660899654,5.21739130434783
1,430,8021,12798,411,325,1,4,124,1.48148148148148,9.42760942760943,2.47933884297521
1,440,8171,11595,380,341,10,3,159,-7.54257907542579,4.92307692307692,28.2258064516129
1,450,9601,11428,397,308,4,9,181,4.47368421052632,-9.67741935483871,13.8364779874214
1,460,8074,13259,383,301,13,7,194,-3.5264483627204,-2.27272727272727,7.18232044198895
1,470,9311,13713,362,274,6,3,197,-5.48302872062663,-8.97009966777409,1.54639175257732
1,480,9817,15247,358,258,5,8,191,-1.10497237569061,-5.83941605839416,-3.04568527918782
1,490,10187,16237,386,242,8,5,176,7.82122905027933,-6.2015503875969,-7.85340314136126
1,500,8672,16610,379,232,7,4,153,-1.81347150259067,-4.13223140495868,-13.0681818181818
1,510,9029,16913,385,216,6,4,150,1.58311345646438,-6.89655172413793,-1.96078431372549
1,520,9402,17370,354,247,12,4,139,-8.05194805194805,14.3518518518519,-7.33333333333333
1,530,9974,15659,374,251,6,1,129,5.64971751412429,1.61943319838057,-7.19424460431655
1,540,9026,15655,397,268,9,5,129,6.14973262032086,6.77290836653386,0
1,550,8235,15124,387,280,4,4,137,-2.51889168765743,4.47761194029851,6.2015503875969
1,560,8342,14095,404,276,4,6,130,4.39276485788114,-1.42857142857143,-5.10948905109489
1,570,8837,14362,376,276,6,7,127,-6.93069306930693,0,-2.30769230769231
1,580,9296,14030,379,270,2,5,136,0.797872340425532,-2.17391304347826,7.08661417322835
1,590,8883,14240,410,286,3,7,149,8.17941952506596,5.92592592592593,9.55882352941176
1,600,8043,13693,409,262,9,7,165,-0.24390243902439,-8.39160839160839,10.738255033557
1,610,8612,15399,354,268,10,6,177,-13.4474327628362,2.29007633587786,7.27272727272727
1,620,10165,14953,346,260,12,3,178,-2.25988700564972,-2.98507462686567,0.564971751412429
1,630,11688,15545,337,250,4,7,173,-2.60115606936416,-3.84615384615385,-2.80898876404494
1,640,11116,16265,337,237,7,4,161,0,-5.2,-6.9364161849711
1,650,11359,16318,315,250,8,6,152,-6.52818991097923,5.48523206751055,-5.59006211180124
1,660,11802,15824,334,254,4,5,137,6.03174603174603,1.6,-9.86842105263158
1,670,10788,15093,354,255,2,9,116,5.98802395209581,0.393700787401575,-15.3284671532847
1,680,9949,15621,362,267,3,4,136,2.25988700564972,4.70588235294118,17.2413793103448
1,690,9864,14515,367,287,3,4,139,1.38121546961326,7.49063670411985,2.20588235294118
1,700,9583,13819,392,284,7,4,144,6.81198910081744,-1.04529616724739,3.59712230215827
1,710,8779,14054,381,261,7,4,159,-2.80612244897959,-8.09859154929577,10.4166666666667
