timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13747,13764,231,230,0,0,0
20,15208,15341,311,293,0,0,0
30,10836,12136,387,381,0,0,0
40,8000,8100,466,435,0,0,0
50,5400,6151,486,468,0,0,0
60,4754,5312,512,505,0,0,0
70,4421,4132,500,527,0,0,0
80,4668,4226,487,506,0,0,0
90,4806,4322,513,490,0,0,0
100,4351,5315,486,498,0,0,0
110,5279,4897,485,493,0,0,0
120,4660,4391,522,505,0,0,0
130,3953,4377,517,505,0,0,0
140,4261,4427,474,508,0,0,0
150,5040,4246,530,504,0,0,0
160,3940,4640,506,508,0,0,0
170,4062,4409,513,503,0,0,0
180,4265,4662,504,504,0,0,0
190,4385,4815,505,519,0,0,0
200,4642,4048,512,474,0,0,0
210,4163,5539,474,471,1,3,39
220,5410,5729,497,472,0,4,51
230,5120,6106,482,432,1,3,83
240,5212,7520,450,419,3,7,98
250,6567,8094,452,388,3,8,135
260,6261,8899,431,349,9,8,178
270,7144,11829,402,279,5,9,211
280,8511,15592,364,239,4,6,212
290,9792,17671,354,213,9,3,200
300,10808,19004,336,165,9,7,197
310,11236,21853,357,118,5,4,179
320,10024,23895,358,109,3,6,119
330,9939,24024,372,113,7,4,105
340,9391,24117,371,106,6,1,84
350,8584,24675,426,115,1,2,68
360,6673,23659,430,129,3,2,73
370,6906,22400,433,140,6,2,74
380,6557,22285,455,157,5,2,86
390,6529,20735,449,182,5,4,82
400,6240,19452,447,186,5,3,69
410,6555,18915,459,226,0,2,75
420,6066,16613,454,253,2,5,71
430,6164,14881,446,272,3,4,82
440,6817,13864,430,317,3,6,99
450,7011,12610,477,325,3,9,115
460,5654,11779,452,316,4,8,145
470,6447,12808,415,289,10,6,171
480,7960,14539,397,259,6,6,192
490,9050,16351,343,241,8,7,199
500,11114,16859,337,191,8,8,185
510,10954,20338,340,149,9,6,190
520,11070,22826,334,113,9,5,161
530,11196,24603,349,96,4,3,134
540,10197,25318,386,87,3,2,85
550,8771,25656,397,116,5,1,72
560,7921,23459,439,120,5,3,68
570,6808,23237,431,144,3,4,68
580,6705,21422,452,162,1,4,72
590,6046,20328,444,195,6,3,72
600,6131,18632,473,226,7,4,75
610,6016,16702,446,237,4,4,75
620,6727,15926,470,253,4,6,82
630,6013,15031,453,284,1,1,84
640,6340,14312,443,319,3,4,112
650,6764,12645,446,289,1,12,141
660,7029,14313,433,263,3,7,173
670,7296,15843,409,267,10,10,187
680,7834,15918,376,200,9,12,208
690,9527,19797,352,166,3,11,196
700,11177,21679,330,119,11,7,187
710,11422,24343,323,91,7,8,141
720,11416,25561,346,82,4,9,107
730,10182,26109,363,73,5,3,82
740,9545,26306,400,84,1,1,50
750,8173,25569,430,99,3,1,44
760,6906,24163,478,131,3,0,40
770,5399,21742,472,156,2,2,34
780,5383,20487,448,220,1,2,33
790,6197,16238,491,269,1,0,50
800,5345,14146,483,312,5,2,71
810,5300,12045,462,327,1,4,80
820,6255,12055,465,335,2,5,101
830,5770,11628,476,306,4,4,118
840,5772,12851,430,303,5,6,154
850,7255,13351,414,285,2,7,177
860,8642,14624,386,241,5,5,189
870,9210,16473,390,236,5,7,182
880,8935,17711,371,191,7,9,185
890,10196,19734,360,162,6,4,194
900,10425,21718,331,136,4,3,187
910,12280,22850,315,118,7,6,146
920,12342,23740,293,119,10,0,141
930,12989,23696,339,118,1,3,97
940,10972,23421,354,118,1,3,75
950,9542,22970,389,144,1,3,71
960,7990,21599,439,164,5,1,67
970,6707,20066,466,209,4,0,60
980,6169,17457,448,261,4,3,50
990,6151,15458,460,274,1,3,70
1000,6246,13616,444,312,2,1,93
