"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13932,13740,223,239,0,0,0,-10.8,-4.4,0
1,20,15740,14775,282,307,0,0,0,26.457399103139,28.4518828451883,0
1,30,12452,11122,376,387,0,0,0,33.3333333333333,26.0586319218241,0
1,40,8461,7166,439,462,0,0,0,16.7553191489362,19.3798449612403,0
1,50,5732,5266,483,519,0,0,0,10.0227790432802,12.3376623376623,0
1,60,4948,4229,506,498,0,0,0,4.76190476190476,-4.04624277456647,0
1,70,5164,4560,497,501,0,0,0,-1.77865612648221,0.602409638554217,0
1,80,4598,4520,500,509,0,0,0,0.603621730382294,1.59680638722555,0
1,90,4896,4643,492,496,0,0,0,-1.6,-2.55402750491159,0
1,100,4652,4580,493,514,0,0,0,0.203252032520325,3.62903225806452,0
1,110,4572,4731,517,496,0,0,0,4.86815415821501,-3.50194552529183,0
1,120,4263,4613,506,492,0,0,0,-2.12765957446809,-0.806451612903226,0
1,130,4764,4871,495,472,0,0,0,-2.17391304347826,-4.0650406504065,0
1,140,4603,5259,515,535,0,0,0,4.04040404040404,13.3474576271186,0
1,150,4012,3845,515,490,0,0,0,0,-8.41121495327103,0
1,160,3875,4632,490,494,0,0,0,-4.85436893203883,0.816326530612245,0
1,170,5111,4420,517,517,0,0,0,5.51020408163265,4.65587044534413,0
1,180,4146,3911,489,523,0,0,0,-5.41586073500967,1.1605415860735,0
1,190,4429,4020,509,505,0,0,0,4.08997955010225,-3.44168260038241,0
1,200,4581,4418,503,490,0,0,0,-1.17878192534381,-2.97029702970297,0
1,210,4793,5048,523,480,2,1,41,3.97614314115308,-2.04081632653061,0
1,220,4312,5752,486,479,1,2,61,-7.07456978967495,-0.208333333333333,48.780487804878
1,230,5077,5472,466,453,4,2,91,-4.11522633744856,-5.42797494780793,49.1803278688525
1,240,5771,6874,470,416,1,6,130,0.858369098712446,-8.16777041942605,42.8571428571429
1,250,6198,8311,407,371,8,9,183,-13.4042553191489,-10.8173076923077,40.7692307692308
1,260,8319,10973,369,296,7,6,228,-9.33660933660934,-20.2156334231806,24.5901639344262
1,270,10439,14785,365,245,7,16,246,-1.0840108401084,-17.2297297297297,7.89473684210526
1,280,10099,18160,354,162,5,6,246,-3.01369863013699,-33.8775510204082,0
1,290,11097,23200,315,110,8,2,208,-11.0169491525424,-32.0987654320988,-15.4471544715447
1,300,12152,24535,306,91,13,3,149,-2.85714285714286,-17.2727272727273,-28.3653846153846
1,310,12004,25430,337,85,5,9,85,10.1307189542484,-6.59340659340659,-42.9530201342282
1,320,10812,26033,351,90,1,6,69,4.15430267062315,5.88235294117647,-18.8235294117647
1,330,10005,25115,401,95,3,1,64,14.2450142450142,5.55555555555556,-7.2463768115942
1,340,8102,24844,410,125,4,1,46,2.24438902743142,31.5789473684211,-28.125
1,350,7879,22762,451,140,0,0,44,10,12,-4.34782608695652
1,360,5918,21446,465,176,2,1,47,3.10421286031042,25.7142857142857,6.81818181818182
1,370,5881,19055,456,222,2,0,44,-1.93548387096774,26.1363636363636,-6.38297872340426
1,380,5732,16627,464,264,3,5,53,1.75438596491228,18.9189189189189,20.4545454545455
1,390,5937,14224,472,309,3,2,66,1.72413793103448,17.0454545454545,24.5283018867925
1,400,5031,12446,498,336,5,4,90,5.50847457627119,8.7378640776699,36.3636363636364
1,410,5012,11190,462,353,1,4,131,-7.2289156626506,5.05952380952381,45.5555555555556
1,420,6397,10478,412,303,8,11,152,-10.8225108225108,-14.1643059490085,16.030534351145
1,430,8211,14031,401,271,10,4,193,-2.66990291262136,-10.5610561056106,26.9736842105263
1,440,8879,15134,342,258,8,8,202,-14.713216957606,-4.7970479704797,4.66321243523316
1,450,10884,15762,365,231,10,4,199,6.72514619883041,-10.4651162790698,-1.48514851485149
1,460,9767,18388,350,170,4,5,180,-4.10958904109589,-26.4069264069264,-9.54773869346734
1,470,10287,21604,334,143,12,4,188,-4.57142857142857,-15.8823529411765,4.44444444444444
1,480,11648,22509,322,127,4,4,152,-3.59281437125748,-11.1888111888112,-19.1489361702128
1,490,11527,23437,338,108,7,3,128,4.96894409937888,-14.9606299212598,-15.7894736842105
1,500,10890,24401,368,92,3,5,109,8.87573964497041,-14.8148148148148,-14.84375
1,510,9617,25454,392,90,3,4,95,6.52173913043478,-2.17391304347826,-12.8440366972477
1,520,8563,25656,387,97,4,1,65,-1.27551020408163,7.77777777777778,-31.5789473684211
1,530,7953,24545,415,127,3,0,42,7.23514211886305,30.9278350515464,-35.3846153846154
1,540,7053,22243,455,156,1,0,38,9.63855421686747,22.8346456692913,-9.52380952380952
1,550,5862,20374,467,208,0,0,41,2.63736263736264,33.3333333333333,7.89473684210526
1,560,5717,17061,458,255,0,1,44,-1.9271948608137,22.5961538461538,7.31707317073171
1,570,5727,14515,489,312,1,1,44,6.76855895196507,22.3529411764706,0
1,580,5161,11715,481,348,4,3,48,-1.6359918200409,11.5384615384615,9.09090909090909
1,590,5850,9772,447,433,3,3,55,-7.06860706860707,24.4252873563218,14.5833333333333
1,600,6761,6721,447,425,2,5,61,0,-1.84757505773672,10.9090909090909
1,610,6179,7340,463,418,7,1,77,3.57941834451902,-1.64705882352941,26.2295081967213
1,620,5475,7725,464,434,2,5,93,0.215982721382289,3.82775119617225,20.7792207792208
1,630,5889,7060,463,421,3,6,121,-0.21551724137931,-2.99539170506912,30.1075268817204
1,640,6316,8057,447,396,5,9,135,-3.45572354211663,-5.93824228028504,11.5702479338843
1,650,6760,9293,423,337,6,6,159,-5.36912751677852,-14.8989898989899,17.7777777777778
1,660,7516,11439,395,315,4,8,200,-6.6193853427896,-6.52818991097923,25.7861635220126
1,670,9077,13763,387,245,7,10,227,-2.0253164556962,-22.2222222222222,13.5
1,680,9213,17366,380,203,7,3,233,-1.80878552971576,-17.1428571428571,2.6431718061674
1,690,9767,19489,317,149,5,5,206,-16.5789473684211,-26.6009852216749,-11.587982832618
1,700,12062,22491,331,125,7,7,165,4.41640378548896,-16.1073825503356,-19.9029126213592
1,710,11144,23524,357,111,2,9,126,7.85498489425982,-11.2,-23.6363636363636
1,720,10016,23869,362,126,4,3,81,1.40056022408964,13.5135135135135,-35.7142857142857
1,730,9387,23052,406,143,1,0,61,12.1546961325967,13.4920634920635,-24.6913580246914
1,740,7866,21200,404,180,5,0,68,-0.492610837438424,25.8741258741259,11.4754098360656
1,750,7425,19228,432,201,2,2,80,6.93069306930693,11.6666666666667,17.6470588235294
1,760,6533,18334,503,224,1,7,82,16.4351851851852,11.4427860696517,2.5
1,770,4769,17087,458,225,4,3,91,-8.94632206759443,0.446428571428571,10.9756097560976
1,780,5765,16534,464,231,2,1,88,1.31004366812227,2.66666666666667,-3.2967032967033
1,790,5770,16907,445,250,3,5,115,-4.0948275862069,8.22510822510823,30.6818181818182
1,800,6477,15648,445,220,2,6,127,0,-12,10.4347826086957
1,810,6897,17510,424,235,3,8,136,-4.71910112359551,6.81818181818182,7.08661417322835
1,820,7429,17095,397,233,6,4,141,-6.36792452830189,-0.851063829787234,3.67647058823529
1,830,8595,16855,375,224,10,6,171,-5.54156171284635,-3.86266094420601,21.2765957446809
1,840,9317,17812,385,198,3,7,168,2.66666666666667,-11.6071428571429,-1.75438596491228
1,850,10121,19098,363,162,9,5,170,-5.71428571428571,-18.1818181818182,1.19047619047619
1,860,10477,21799,333,126,3,5,165,-8.26446280991735,-22.2222222222222,-2.94117647058824
1,870,11204,23843,358,110,2,7,137,7.50750750750751,-12.6984126984127,-16.969696969697
1,880,10079,24294,350,107,5,5,106,-2.23463687150838,-2.72727272727273,-22.6277372262774
1,890,10075,24388,364,100,5,4,99,4,-6.54205607476636,-6.60377358490566
1,900,9270,24566,371,105,7,2,86,1.92307692307692,5,-13.1313131313131
1,910,9411,24224,402,120,2,1,73,8.35579514824798,14.2857142857143,-15.1162790697674
1,920,7799,23122,423,142,3,2,72,5.22388059701493,18.3333333333333,-1.36986301369863
1,930,6365,21644,442,169,2,1,77,4.49172576832151,19.0140845070423,6.94444444444444
1,940,6159,20077,450,191,6,1,70,1.80995475113122,13.0177514792899,-9.09090909090909
1,950,5847,18416,468,221,4,4,74,4,15.7068062827225,5.71428571428571
1,960,6042,17715,465,224,6,2,90,-0.641025641025641,1.35746606334842,21.6216216216216
1,970,6084,16379,465,271,6,3,92,0,20.9821428571429,2.22222222222222
1,980,6062,14207,455,321,5,3,93,-2.1505376344086,18.450184501845,1.08695652173913
1,990,6309,11840,435,305,5,7,124,-4.3956043956044,-4.98442367601246,33.3333333333333
1,1000,7331,12424,436,316,5,2,160,0.229885057471264,3.60655737704918,29.0322580645161
2,0,31250,31250,250,250,0,0,0,0,0,0
2,10,13631,13669,240,227,0,0,0,-4,-9.2,0
2,20,14657,15437,319,303,0,0,0,32.9166666666667,33.4801762114537,0
2,30,10960,11540,373,392,0,0,0,16.9278996865204,29.3729372937294,0
2,40,8792,7996,428,439,0,0,0,14.745308310992,11.9897959183673,0
