"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13907.45,13817.45,14004.7,13921.9,13832.5,14002.15,231.6,229.75,233.3,232.15,229.6,234.45,0,0,0,0,0,0,0,0,0,-7.36,-8,-6.7,-7.14,-8.06,-6.16,0,0,0
20,20,15024.95,14892.5,15148.45,15090.65,14917.5,15267.7,306.6,299.85,312.5,302.05,297.35,306.95,0,0,0,0,0,0,0,0,0,32.4068264801664,29.471569166754,34.8903535482305,30.1366662693709,28.1174261610151,32.0778368485444,0,0,0
30,20,11237.15,10899.6,11560.1,11395.45,11104.15,11687.75,394.9,390.65,399.15,387.65,381.3,393.2,0,0,0,0,0,0,0,0,0,29.0936775805951,26.1670286614055,32.0636166159069,28.4274288200526,26.335119285153,30.3452202996674,0,0,0
40,20,7492.45,7337.5,7646,7860.05,7621.4,8113.75,453.2,447.85,458.1,448.9,441.35,456,0,0,0,0,0,0,0,0,0,14.8318139895345,13.0546175468898,16.719476349688,15.9474127078129,13.5628342089492,18.5153815614497,0,0,0
50,20,5780.35,5614.8,5940.6,5858.5,5638.6,6065.7,486.95,481.55,492.65,492.3,487.9,496.15,0,0,0,0,0,0,0,0,0,7.5317713872352,5.7390413947327,9.387091217965,9.82138918465305,7.7722007811644,12.0288028372188,0,0,0
60,20,4883.65,4718.25,5050.4,4771.15,4625.8,4914.35,497.3,491.6,503.6,499.75,493.15,507.15,0,0,0,0,0,0,0,0,0,2.18904710852531,0.515573384700086,3.75084012782953,1.55803825683963,-0.220659404992361,3.14851376608348,0,0,0
70,20,4687.6,4512.95,4844.45,4609.7,4414.7,4788.45,505.7,500.4,510.85,499.3,493,505.6,0,0,0,0,0,0,0,0,0,1.78509723010727,-0.0358696209553501,3.48798210332971,-0.00140742700107955,-1.78729604492244,1.84601403569611,0,0,0
80,20,4467.4,4321.55,4618.6,4641.85,4467.05,4813.5,502.65,495.3,510.2,500.3,493.7,506.55,0,0,0,0,0,0,0,0,0,-0.554759253716542,-2.40391266054433,1.12950887313082,0.294999339740147,-1.45598603367985,2.07169653362009,0,0,0
90,20,4524.75,4307.7,4758.65,4456.35,4269.65,4646.8,504.65,497.55,511.45,503.25,496.95,509.25,0,0,0,0,0,0,0,0,0,0.571126962211164,-2.11602801730319,3.08298092938335,0.673518349602369,-1.07110772092716,2.41735568055388,0,0,0
