"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13970.5,13895.8,14042.25,13916.8,13828.85,13999.6,231.1,229.1,233.35,230.9,227.9,233.6,0,0,0,0,0,0,0,0,0,-7.56,-8.32,-6.66,-7.64,-8.74,-6.46,0,0,0
20,20,15091.85,14954.65,15224.6,15093.85,14927.75,15276.05,302.25,297.8,306.35,304.8,298.75,310.9,0,0,0,0,0,0,0,0,0,30.8164945300676,28.9527483027138,32.7552397897538,31.9976775316802,30.0478437630314,34.0016295245564,0,0,0
30,20,11339.15,11065.35,11604.6,11193.5,10880.85,11494.3,393.1,388.2,397.55,396,390.5,401.2,0,0,0,0,0,0,0,0,0,30.1323650751775,28.4754524342517,31.8395712149831,30.1110039137727,27.6845448998704,32.6706712066239,0,0,0
40,20,7759.75,7522.05,7998.1,7578.85,7331.55,7856.05,441.2,435.95,446,452.8,445.45,459.55,0,0,0,0,0,0,0,0,0,12.2979919328388,10.9037648527476,13.9020558463122,14.4113221337595,12.6679486505921,16.3090150587934,0,0,0
50,20,6199.75,5997.35,6400.65,5756.4,5573.5,5945.7,477.7,472.85,482.2,483.65,477,490,0,0,0,0,0,0,0,0,0,8.35046122949888,6.72370998299184,10.0270805878358,6.89548113564177,5.10607126921607,8.78582712806313,0,0,0
60,20,5174.6,5041.7,5312.35,4996,4777.4,5200.65,496.9,490.75,502.2,498.65,493.7,504.3,0,0,0,0,0,0,0,0,0,4.07272781578158,2.5370989749217,5.639101559658,3.21039962016417,1.33066122504279,5.08986685912768,0,0,0
70,20,4814.5,4643.45,4972.45,4671.45,4545.45,4800.9,494.15,487.6,500.75,497.9,492.4,503.35,0,0,0,0,0,0,0,0,0,-0.489421769076646,-2.17453106043085,1.17687991716622,-0.0597425138260678,-2.01901487005507,1.90955735697434,0,0,0
80,20,4799.55,4639.6,4986.45,4574.05,4408,4720.2,501.05,495.5,506.2,500.5,494.25,506.2,0,0,0,0,0,0,0,0,0,1.47472193595822,-0.12296554994668,3.03220036570032,0.572772676553305,-0.908637460141496,1.98659436271197,0,0,0
90,20,4501.65,4314.35,4686.15,4468.2,4289.5,4644.65,499.4,492.55,506.05,503.35,496.1,510.65,0,0,0,0,0,0,0,0,0,-0.261027404600033,-2.07223222273916,1.44748444676656,0.668958239646382,-1.39679021509022,2.85440403472806,0,0,0
