"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13933.65,13843.25,14015.55,13931.55,13866.85,14001.25,231.1,228.6,233.7,231.85,229.55,234.2,0,0,0,0,0,0,0,0,0,-7.56,-8.52,-6.5,-7.26,-8.26,-6.3,0,0,0
20,20,15053.45,14866.1,15233.95,14981.45,14809.15,15163.55,303.7,299.4,308.35,302.85,297.7,308.1,0,0,0,0,0,0,0,0,0,31.5003856597167,29.1780048375606,33.7871172410673,30.6679643637699,28.2531707099935,32.9724885113599,0,0,0
30,20,11388.4,11101.5,11685.65,11396.8,11160.8,11627.7,392.2,385.2,398.2,390.15,385.15,395.7,0,0,0,0,0,0,0,0,0,29.227526661232,26.8275741193562,31.5270523582349,28.9960434583615,26.3523312161954,31.4759987303792,0,0,0
40,20,7873,7680.8,8067.45,7842.35,7578.65,8113,447.3,440.8,453.35,450.55,444.85,456,0,0,0,0,0,0,0,0,0,14.1709645088718,12.2117951899196,16.12376702858,15.5660463490104,13.6718298698689,17.4536662133867,0,0,0
50,20,6008.4,5812.55,6223.45,5837.15,5637.65,6047.8,479.2,472.15,486.4,491.5,487.65,495.15,0,0,0,0,0,0,0,0,0,7.2096660231423,5.32694298117813,9.04930951748971,9.16427131217569,7.58043915607244,10.485972709494,0,0,0
60,20,5056.6,4880.3,5221.4,4742.75,4563,4922.4,492.85,487.45,498.85,497.35,490.15,504.6,0,0,0,0,0,0,0,0,0,2.97758503273431,0.929184351255804,4.92799089305807,1.20891488473141,-0.261693280383507,2.68640069246483,0,0,0
70,20,4774.8,4586.5,4919.05,4657.25,4512.75,4803.9,495.3,487.25,503.1,498.7,493.4,503.8,0,0,0,0,0,0,0,0,0,0.571858799088456,-1.57316879743913,2.62674209365225,0.39445566456425,-1.5821860551556,2.16418841681587,0,0,0
80,20,4654.95,4440.1,4854.9,4676.8,4547,4823.85,505,499.15,510.55,502.25,496.85,507,0,0,0,0,0,0,0,0,0,2.06440397102421,0.351381514216589,3.81239101386573,0.7675378740824,-0.73803189051918,2.22673060663633,0,0,0
90,20,4480.7,4308.95,4671.65,4439.85,4306.5,4581.5,507.8,502.3,513.5,504,496.25,512.25,0,0,0,0,0,0,0,0,0,0.60324246855426,-0.783743607253009,2.06771784522558,0.395244575974203,-1.44712381169276,2.23205021372162,0,0,0
100,20,4543.1,4372,4702.25,4359.6,4199.15,4534.8,497.65,493.3,502.25,505.9,499.35,512.85,0,0,0,0,0,0,0,0,0,-1.93915111147061,-3.25789672198631,-0.508535658034477,0.51710567003127,-1.66410569307832,2.57651267715441,0,0,0
110,20,4621.95,4456,4795.65,4490.9,4330.75,4632,503,498.65,507.05,501.6,496.25,506.9,0,0,0,0,0,0,0,0,0,1.12553348731369,-0.314219800772865,2.48958675161178,-0.741946494838474,-2.57756715465722,1.05716852926914,0,0,0
120,20,4431.5,4290.55,4554.15,4556.4,4435.45,4690.5,502.8,496.7,508.5,501.15,493.45,508.05,0,0,0,0,0,0,0,0,0,-0.0124803149641447,-1.40142286780104,1.25884136360393,-0.0678222030135273,-1.41688214024203,1.32062448232049,0,0,0
130,20,4554.95,4365.5,4735.05,4538.5,4370,4729.3,499.65,492.75,506.65,502.95,496.55,509.45,0,0,0,0,0,0,0,0,0,-0.591763623806612,-2.07251818567827,0.654771779908299,0.447277705501665,-1.23886504402791,2.00386024710887,0,0,0
140,20,4689.15,4469.05,4894.65,4581.05,4350.05,4830.35,502.5,496.9,508.05,504.65,499.3,510.65,0,0,0,0,0,0,0,0,0,0.693071269699619,-1.54054224445137,2.5728075747641,0.439259162242938,-1.57347643025874,2.29125898776397,0,0,0
150,20,4602.05,4450.25,4757.2,4583.35,4430.9,4740.2,499.25,491.55,507.5,502.4,496.3,507.8,0,0,0,0,0,0,0,0,0,-0.582683377165238,-2.3870275334121,1.35329902114645,-0.361332519994807,-2.18118698870509,1.61104379112509,0,0,0
160,20,4594.3,4427.75,4754.95,4548.7,4367.3,4735.3,497.75,493.05,502.4,504.3,498.95,509.4,0,0,0,0,0,0,0,0,0,-0.133495623014561,-2.41797726033616,1.8703916337334,0.433594069465717,-0.781936027250714,1.79165371476574,0,0,0
170,20,4638.3,4473.6,4812.85,4412,4273.3,4558.1,508.5,502.4,514.7,499.9,493.9,506,0,0,0,0,0,0,0,0,0,2.20857038364843,0.67272271484737,3.72521880610155,-0.804731036449412,-2.47731383446188,1.01190945720432,0,0,0
180,20,4413.5,4230.8,4606.75,4561.4,4383.4,4726.55,503.3,496.35,509.35,499.6,492.7,506.6,0,0,0,0,0,0,0,0,0,-0.9631946289983,-2.52618347106528,0.480878029395829,0.0124709580127824,-1.94393113116376,1.80822208845025,0,0,0
190,20,4505.75,4359.55,4650.5,4568.6,4357.6,4793.2,508.95,505.7,512.35,501.85,496.3,507.4,0,0,0,0,0,0,0,0,0,1.22403270128958,-0.409260335471412,3.0368297120315,0.532513688365793,-1.04572628294189,2.15191790167946,0,0,0
200,20,4316.95,4189.1,4433.35,4567.05,4385.8,4734.55,503.4,498.1,508.9,504.1,495.55,513.2,0,0,0,0,0,0,0,0,0,-1.06563486503225,-2.38162162330715,0.209649154912584,0.494774248920212,-1.34021059323393,2.50089376702074,0,0,0
