timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,14037,13682,223,232,0,0,0
20,15453,15182,305,302,0,0,0
30,11156,11700,366,398,0,0,0
40,8401,7652,467,438,0,0,0
50,4876,6186,487,472,0,0,0
60,4714,5102,486,488,0,0,0
70,5339,4712,518,505,0,0,0
80,4295,4841,505,497,0,0,0
90,5028,4356,483,512,0,0,0
100,5280,4447,498,501,0,0,0
110,4907,4785,495,501,0,0,0
120,4912,4317,522,501,0,0,0
130,3888,4586,494,502,0,0,0
140,4505,4592,498,487,0,0,0
150,4223,4697,539,502,0,0,0
160,3200,5115,503,492,0,0,0
170,5122,4792,513,518,0,0,0
180,4549,4376,516,499,0,0,0
190,4099,4836,491,495,0,0,0
200,4931,4691,494,509,0,0,0
210,5029,4485,471,476,2,1,25
220,5577,5446,482,459,1,1,29
230,5456,5874,500,494,3,2,25
240,4304,5341,512,487,1,1,37
250,4148,5029,490,469,0,2,34
260,4691,5737,507,483,3,0,40
270,4541,5342,478,466,3,3,45
280,5260,5631,471,447,5,2,54
290,5561,6080,454,477,2,4,46
300,6371,5815,472,484,1,2,50
310,5308,5543,474,454,2,1,62
320,5603,6530,455,446,3,1,79
330,6019,6742,465,456,4,5,84
340,5863,6244,455,425,3,3,83
350,6770,7126,453,418,2,5,100
360,5956,7342,442,455,3,3,97
370,6412,5869,438,479,6,2,81
380,7256,5145,446,437,2,5,88
390,6692,6121,432,472,3,4,98
400,6903,6088,433,441,2,7,109
410,6838,6760,426,420,7,5,132
420,7031,7608,423,422,8,3,137
430,7435,7238,430,400,4,6,155
440,6852,8219,433,418,1,5,122
450,7017,7782,422,416,13,5,118
460,7290,7514,441,413,6,9,115
470,6496,8141,425,397,4,8,129
480,7708,7776,393,421,5,5,138
490,9106,7155,378,435,8,3,137
500,8728,7048,396,414,9,8,141
510,8415,7727,426,391,3,4,150
520,7456,8560,408,404,8,6,143
530,8159,8179,376,404,7,6,141
540,9509,7891,368,393,4,5,137
550,9908,8727,374,392,12,2,134
560,9525,8679,382,398,3,2,125
570,9105,8039,378,397,4,7,136
580,9119,8572,380,411,5,2,121
590,8552,7664,388,392,5,3,110
600,8635,8190,380,428,5,5,98
610,8648,7141,434,451,4,5,113
620,6909,6322,424,406,4,7,116
630,7436,8105,418,397,2,9,139
640,7446,8398,432,380,2,8,153
650,6909,8926,447,374,10,5,147
660,6772,9225,389,388,5,7,140
670,9155,8083,406,434,8,4,129
680,8284,6740,410,444,5,5,131
690,8282,6917,382,392,4,4,138
700,9516,8619,398,403,3,4,126
710,8464,7834,406,427,7,3,111
720,7765,7565,406,407,7,6,112
730,7684,8448,433,396,4,4,121
740,6938,8335,421,394,8,4,131
750,7527,8337,389,401,10,3,122
760,8407,7813,400,392,5,8,120
770,8074,8461,428,409,3,3,110
780,7050,7738,418,427,3,5,125
790,7300,7054,428,415,5,5,120
800,7340,7500,435,420,6,4,97
810,6736,7463,429,430,1,3,95
820,6892,7283,432,437,6,4,100
830,7046,6439,451,428,2,3,93
840,6268,6803,448,434,1,5,96
850,6509,6719,434,432,7,3,101
860,7029,6654,453,426,4,7,90
870,6225,7084,428,458,8,4,93
880,7216,5852,433,457,4,3,98
890,6709,6048,431,460,4,5,91
900,7428,6410,433,429,6,3,100
910,6714,7699,434,406,2,9,100
920,6560,7826,430,427,6,4,114
930,7089,7303,431,404,3,4,129
940,6428,7751,437,434,8,2,129
950,6996,7435,406,387,5,4,151
960,8620,8376,411,398,6,2,145
970,7830,8617,382,391,4,5,135
980,8748,9015,392,414,5,5,114
990,9171,7663,388,407,5,2,122
1000,9080,8240,383,418,8,4,127
