"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,14000.8,13877.45,14121.95,13953.6,13865.8,14043.6,230,227.95,231.95,229.55,227.15,231.65,0,0,0,0,0,0,0,0,0,-8,-8.86,-7.18,-8.18,-9.1,-7.26,0,0,0
20,20,15135.4,14981.85,15292.05,15206.35,15027.55,15378.2,300.15,296.05,304.4,300.25,294.85,306.35,0,0,0,0,0,0,0,0,0,30.51455360513,28.8463341936168,32.075016125812,30.7939718033729,28.8556569741152,32.9190663468393,0,0,0
30,20,11512.5,11272.6,11753.85,11439.95,11113.25,11760.25,383.25,377.45,388.6,390.95,385.3,396.95,0,0,0,0,0,0,0,0,0,27.8026660662656,25.4009783954093,30.1347823327893,30.388286808646,27.9332007874646,33.0234008236231,0,0,0
40,20,8125.15,7868.15,8372.6,7637.1,7449.25,7842.6,444.4,437.55,452.25,453.45,445.3,460.5,0,0,0,0,0,0,0,0,0,16.0898220692266,13.6766999662654,18.7589400119802,16.1319760791912,13.6555102344879,18.8185165246818,0,0,0
50,20,6118.55,5842.15,6379.95,5849.05,5596.75,6120.15,481.25,475.8,486.05,478.7,472.8,484.6,0,0,0,0,0,0,0,0,0,8.42374164320916,6.28473717237684,10.2389786628366,5.65742823263803,3.79176180225907,7.30060788226617,0,0,0
60,20,5041.45,4887.55,5195.2,5100.6,4954.45,5264.55,492.55,487.2,498.35,497.3,491.5,503.15,0,0,0,0,0,0,0,0,0,2.40852497098247,0.765782635088439,3.96306082990412,3.96789849783112,2.27176655100062,5.65815238173152,0,0,0
70,20,4870.25,4731.95,4999.05,4573.75,4410.85,4720.5,500.8,494.55,506.2,504.4,499.05,510.25,0,0,0,0,0,0,0,0,0,1.75876822549602,-0.442368735090645,3.45418157545701,1.53411027404499,-0.493247287864593,3.52052371007484,0,0,0
80,20,4605.1,4454.05,4755.9,4440.1,4290.05,4597.7,500.5,495.6,505.4,503.75,499.5,507.55,0,0,0,0,0,0,0,0,0,0.0042029826892593,-1.39717544793134,1.3666565338883,-0.0623411979303045,-1.43317958898423,1.29967911230479,0,0,0
90,20,4521.25,4380.85,4646.7,4381.8,4248,4504.6,499.05,493.5,504.55,504.65,498.55,510.5,0,0,0,0,0,0,0,0,0,-0.235247998734998,-1.70314039305355,1.17139650763372,0.215866569626777,-1.24024901961726,1.58401918515797,0,0,0
100,20,4490.35,4324.15,4649.45,4427.1,4255.35,4586.65,501.6,496.4,507.1,507.45,502.4,512.95,0,0,0,0,0,0,0,0,0,0.562309332397129,-0.812581000225824,1.96271583504087,0.625256113703578,-1.12377714452865,2.14012013992226,0,0,0
110,20,4615.15,4451,4781.8,4490.7,4309.85,4675.8,502.25,494.8,510,501.65,495.2,506.6,0,0,0,0,0,0,0,0,0,0.202624218609295,-1.84385873111855,2.07594849819239,-1.08703555127456,-2.59999924533948,0.287646272461945,0,0,0
120,20,4551.05,4364.25,4744.8,4515.5,4375,4674.25,503.3,495.95,510.2,501.8,497.35,506.3,0,0,0,0,0,0,0,0,0,0.331952972851241,-1.64217425965817,2.56233888669547,0.0895113585896166,-1.25925662115081,1.34486468421207,0,0,0
130,20,4474.3,4331.45,4606.35,4475.15,4337.35,4613.35,506.4,499.65,512.7,504.4,498.4,510.7,0,0,0,0,0,0,0,0,0,0.704016611602872,-1.05136699030212,2.37263270402166,0.553636442787231,-0.996105906240825,1.96268451226008,0,0,0
140,20,4477.9,4292.55,4655.5,4446.55,4252.95,4632.85,501.5,496,506.45,500.1,494.3,506.1,0,0,0,0,0,0,0,0,0,-0.868049183663949,-2.58593709899803,0.949146603020291,-0.755501984528813,-2.51552517683532,1.23766786735894,0,0,0
150,20,4499.15,4334,4659.25,4548.05,4419.55,4682.25,497.8,493.1,503.15,509.4,504.85,513.85,0,0,0,0,0,0,0,0,0,-0.687802791342091,-2.03031995134397,0.761241112301232,1.91805542340504,0.63165767182439,3.16572365040267,0,0,0
160,20,4536.25,4430.25,4629.65,4344.2,4215.65,4448,503.7,498.2,509.5,502.15,495.55,508.7,0,0,0,0,0,0,0,0,0,1.24519321484401,-0.394615337657018,2.932706105687,-1.3628445144735,-3.1641071839246,0.347951483639875,0,0,0
170,20,4428.55,4306.95,4558.15,4494.8,4293.3,4691.7,505.15,500.35,510,502.35,496.1,508.65,0,0,0,0,0,0,0,0,0,0.346906733877021,-1.05338062672406,1.91774400116296,0.098680655744169,-1.37886876295325,1.3420902266339,0,0,0
