"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13950,14415,228,224,0,0,0,-8.8,-10.4,0
1,20,15218,15805,288,290,0,0,0,26.3157894736842,29.4642857142857,0
1,30,12659,12131,362,366,0,0,0,25.6944444444444,26.2068965517241,0
1,40,8403,8699,445,427,0,0,0,22.9281767955801,16.6666666666667,0
1,50,6135,6296,459,484,0,0,0,3.14606741573034,13.3489461358314,0
1,60,5762,5073,485,489,0,0,0,5.66448801742919,1.03305785123967,0
1,70,5111,4518,496,501,0,0,0,2.2680412371134,2.45398773006135,0
1,80,4534,4181,520,505,0,0,0,4.83870967741935,0.798403193612774,0
1,90,3931,4409,503,516,0,0,0,-3.26923076923077,2.17821782178218,0
1,100,4001,3986,534,511,0,0,0,6.16302186878728,-0.968992248062015,0
1,110,3639,4658,503,489,0,0,0,-5.80524344569288,-4.30528375733855,0
1,120,4880,4820,495,503,0,0,0,-1.59045725646123,2.86298568507157,0
1,130,5240,4594,478,519,0,0,0,-3.43434343434343,3.18091451292247,0
1,140,5332,4413,492,491,0,0,0,2.92887029288703,-5.39499036608863,0
1,150,4540,4807,508,497,0,0,0,3.2520325203252,1.22199592668024,0
1,160,4475,4406,507,510,0,0,0,-0.196850393700787,2.61569416498994,0
1,170,4384,4711,493,489,0,0,0,-2.76134122287968,-4.11764705882353,0
1,180,4644,5237,514,493,0,0,0,4.25963488843813,0.81799591002045,0
1,190,3832,4951,505,495,0,0,0,-1.75097276264591,0.405679513184584,0
1,200,4695,4420,477,489,0,0,0,-5.54455445544554,-1.21212121212121,0
1,210,5417,5156,502,484,0,0,24,5.24109014675052,-1.02249488752556,0
1,220,4566,5034,498,489,0,1,27,-0.796812749003984,1.03305785123967,12.5
1,230,4541,4603,517,504,1,1,41,3.81526104417671,3.06748466257669,51.8518518518519
1,240,4197,4905,496,505,0,0,75,-4.06189555125725,0.198412698412698,82.9268292682927
1,250,5084,4973,465,452,2,3,89,-6.25,-10.4950495049505,18.6666666666667
1,260,5921,6260,467,454,3,4,121,0.43010752688172,0.442477876106195,35.9550561797753
1,270,5953,6292,438,466,5,7,150,-6.20985010706638,2.6431718061674,23.9669421487603
1,280,6569,6070,447,428,6,5,206,2.05479452054795,-8.15450643776824,37.3333333333333
1,290,7411,7751,424,397,3,7,275,-5.14541387024609,-7.24299065420561,33.495145631068
1,300,8168,9141,374,348,6,8,342,-11.7924528301887,-12.3425692695214,24.3636363636364
1,310,10633,11863,305,305,10,5,389,-18.4491978609626,-12.3563218390805,13.7426900584795
1,320,14237,14124,246,263,9,6,415,-19.344262295082,-13.7704918032787,6.68380462724936
1,330,16371,16384,215,240,9,2,367,-12.6016260162602,-8.74524714828897,-11.566265060241
1,340,18349,17136,227,193,3,8,338,5.58139534883721,-19.5833333333333,-7.90190735694823
1,350,17691,19717,191,171,5,6,293,-15.8590308370044,-11.3989637305699,-13.3136094674556
1,360,19691,20352,169,170,4,6,242,-11.5183246073298,-0.584795321637427,-17.4061433447099
1,370,20802,20279,160,196,6,3,171,-5.32544378698225,15.2941176470588,-29.3388429752066
1,380,21203,18102,163,229,3,9,144,1.875,16.8367346938776,-15.7894736842105
1,390,20483,16084,194,268,4,9,145,19.0184049079755,17.0305676855895,0.694444444444444
1,400,18293,13902,221,275,2,3,144,13.9175257731959,2.61194029850746,-0.689655172413793
1,410,16503,13625,287,287,2,4,165,29.8642533936652,4.36363636363636,14.5833333333333
1,420,13124,12892,300,323,7,7,183,4.52961672473868,12.5435540069686,10.9090909090909
