"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13886.45,13783.3,13978.9,13943.15,13848.05,14040.5,232.9,230.85,235.05,230.65,228.35,232.6,0,0,0,0,0,0,0,0,0,-6.84,-7.72,-5.96,-7.74,-8.58,-6.9,0,0,0
20,20,14929.9,14774.2,15092.8,15222.2,15082.2,15370.9,304.55,299.85,309.6,304.15,298.95,309.25,0,0,0,0,0,0,0,0,0,30.7833962067436,28.7656841988488,32.8582156238309,31.8879155658795,29.8941884975807,34.2348086060471,0,0,0
30,20,11229,10947.8,11521.8,11214.55,10948.55,11442.1,395.5,389.1,402.65,390.95,385.6,396.5,0,0,0,0,0,0,0,0,0,29.9682729606551,27.6521488832176,32.5671875614593,28.6255073693423,26.7697999257371,30.2218344655325,0,0,0
40,20,7638.25,7335.55,7893.6,7792.55,7537.8,8028.45,453.9,448.4,459.6,451.8,445.2,459.05,0,0,0,0,0,0,0,0,0,14.9163621619161,12.7897475694202,17.1566428669762,15.6200762783512,13.889473842457,17.1687874866651,0,0,0
50,20,5858.3,5697.3,6018.75,5850,5628.05,6086.75,479.55,472.85,485.8,479.5,472.65,487.05,0,0,0,0,0,0,0,0,0,5.75455099238875,3.57206438667243,7.97492129969706,6.2548392377405,4.06193491340179,8.41393112605759,0,0,0
60,20,5152.95,4973.7,5323.65,4994.55,4794.15,5193.85,490.3,485,496.15,497.05,491.5,502.75,0,0,0,0,0,0,0,0,0,2.30811315851003,0.724035419526524,3.74531880969483,3.78039460713504,1.77049574083593,5.64388588673789,0,0,0
70,20,4846.55,4706.2,4991.95,4715,4579.05,4870.5,495.95,490.25,501.9,501.45,493.95,508.35,0,0,0,0,0,0,0,0,0,1.23148641020644,-0.592720587239143,2.92727513643464,0.975641642207607,-1.09083172042605,2.82703813332968,0,0,0
80,20,4702.5,4479.1,4955.9,4510.85,4337.4,4680.6,504.75,499.25,510.15,506.9,499.85,514.45,0,0,0,0,0,0,0,0,0,1.82706175463409,0.532922365708557,3.08255279232529,1.19579672470397,-1.09363583649821,3.28521890763658,0,0,0
90,20,4507.55,4311.55,4716.8,4491.25,4281.3,4699.45,503.4,498.4,508.85,499.85,493.95,505.85,0,0,0,0,0,0,0,0,0,-0.226650703413815,-1.45420722277379,1.00202989134686,-1.29552727525005,-3.1055148548371,0.341584376584989,0,0,0
100,20,4402.7,4234.85,4548.35,4572.55,4390.05,4750.4,499.8,492.55,506.95,501.85,495.3,507.85,0,0,0,0,0,0,0,0,0,-0.629416138932671,-2.61039889903185,1.45653312520078,0.470460364938817,-1.21014308504583,2.23666452157326,0,0,0
110,20,4594.2,4437,4742.75,4502.35,4377.8,4625.9,502.6,496.25,509,503.6,497.05,509.8,0,0,0,0,0,0,0,0,0,0.644880434923734,-0.87259283821373,2.43457504496596,0.453714875478608,-1.43404711222436,2.62485408302942,0,0,0
120,20,4453,4259.2,4653.05,4498.1,4332.5,4638.45,505.35,499.05,511.2,502.1,496.1,508.5,0,0,0,0,0,0,0,0,0,0.633492148471056,-1.003980036223,2.46140780326514,-0.180001438812004,-2.24361709604587,2.09719303589882,0,0,0
130,20,4478.85,4318.25,4680.7,4527.15,4380.65,4677.7,503.7,497,509.9,499.95,493.6,505.55,0,0,0,0,0,0,0,0,0,-0.26203992908439,-1.94482201211604,1.30029305569309,-0.335044981806482,-2.14890435377703,1.47983287143959,0,0,0
