timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13925,13891,242,227,0,0,0
20,14221,15832,310,307,0,0,0
30,10642,11450,395,362,0,0,0
40,7516,9119,473,445,0,0,0
50,5533,6257,516,488,0,0,0
60,4469,5133,469,484,0,0,0
70,5315,5247,485,453,0,0,0
80,4611,5933,493,476,0,0,0
90,4327,4729,519,504,0,0,0
100,3748,4401,507,521,0,0,0
110,4039,3879,512,516,0,0,0
120,4217,4563,492,497,0,0,0
130,5063,4982,483,492,0,0,0
140,4447,4558,506,515,0,0,0
150,4618,4167,522,508,0,0,0
160,4031,4057,478,509,0,0,0
170,5255,4103,506,518,0,0,0
180,4615,4271,490,474,0,0,0
190,5047,5026,502,512,0,0,0
200,5135,4616,495,497,0,0,0
210,5187,4873,475,487,1,0,20
220,5309,4760,472,493,0,0,30
230,5543,4772,457,508,1,3,35
240,5684,4305,481,485,1,2,47
250,5124,5427,475,466,2,3,62
260,5359,5952,478,467,4,2,53
270,5282,5834,478,448,4,2,57
280,5091,6134,458,488,2,2,57
290,5754,5370,466,471,1,1,63
300,5673,5495,460,469,5,1,82
310,5916,5724,470,454,2,2,85
320,5582,6394,461,452,2,5,98
330,6226,6488,458,433,3,6,106
340,6273,6750,440,450,7,5,105
350,6367,6509,428,429,5,5,123
360,6824,7169,432,423,3,2,97
370,7081,7390,436,442,6,6,102
380,6838,6301,414,428,5,5,116
390,7727,7103,400,412,2,4,119
400,8131,7835,401,414,5,4,132
410,7964,8172,377,400,8,2,135
420,9249,8467,373,398,8,7,122
430,8600,8431,401,401,6,4,126
440,8630,8008,399,398,3,9,125
450,8375,8149,396,413,9,6,134
460,8435,8167,393,421,7,9,123
470,8957,7720,383,396,6,5,128
480,9461,8377,381,399,5,8,135
490,9190,7953,361,414,7,0,121
500,9225,7848,405,421,4,2,113
510,8609,7454,401,414,7,3,126
520,8315,7839,391,409,6,4,138
530,8429,8169,406,394,8,4,138
540,8456,8401,392,397,3,4,121
550,9009,9009,394,397,9,6,125
560,8364,8020,403,413,5,4,122
570,7602,8266,415,412,7,5,111
580,6929,8079,417,401,5,13,122
590,7579,8276,401,410,7,3,127
600,8523,8508,403,408,0,6,136
610,8251,7678,380,412,10,7,149
620,8871,7584,405,400,7,6,150
630,8650,8463,402,367,4,3,154
640,8742,9335,384,389,3,1,135
650,8890,8638,380,399,5,4,143
660,9274,8095,391,398,5,5,144
670,8508,8358,403,370,5,6,130
680,8364,9158,412,403,3,3,120
690,7810,8190,409,418,4,6,119
700,7828,7853,380,409,4,3,124
710,8329,8040,425,409,8,9,118
720,6823,8141,437,416,9,3,109
730,6823,7865,454,415,6,9,106
740,6107,7823,449,420,5,3,97
750,6351,6937,442,436,7,5,97
760,6279,6803,462,439,7,6,98
770,5766,6609,451,434,3,6,105
780,6163,6646,447,450,5,0,84
790,6143,6341,443,444,6,2,92
800,6410,6752,451,444,4,5,92
810,6295,6607,465,457,3,3,103
820,5998,6597,435,435,4,6,114
830,6369,6912,429,445,7,4,116
840,7610,6581,417,417,3,5,132
850,7685,7779,387,409,6,4,142
860,8801,8397,384,409,6,3,139
870,9013,7639,370,392,5,4,144
880,9789,8388,384,407,6,8,143
890,9012,7898,370,408,5,1,129
900,9538,7746,404,417,2,6,117
910,8126,7634,414,389,3,8,129
920,7604,8220,401,414,3,4,136
930,8585,7932,423,416,9,1,127
940,8344,7546,387,415,4,6,124
950,8960,7858,394,417,2,6,109
960,8400,7768,405,424,3,2,104
970,8286,7171,421,414,8,7,96
980,7340,7523,451,418,2,6,91
990,6281,6832,437,455,2,6,92
1000,6799,6283,473,438,3,4,91
