timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,14011,13659,228,234,0,0,0
20,15197,15019,310,333,0,0,0
30,10827,10098,389,408,0,0,0
40,7491,7358,477,464,0,0,0
50,4853,5586,478,476,0,0,0
60,4618,5104,505,488,0,0,0
70,4631,4534,496,506,0,0,0
80,4868,4478,510,507,0,0,0
90,4333,3997,510,511,0,0,0
100,4234,4374,495,515,0,0,0
110,4859,3929,487,528,0,0,0
120,4895,3868,504,526,0,0,0
130,4336,3905,507,511,0,0,0
140,4460,4024,512,489,0,0,0
150,4363,4744,491,485,0,0,0
160,4669,5149,485,503,0,0,0
170,4968,4400,528,510,0,0,0
180,4115,4145,478,515,0,0,0
190,5280,4118,509,520,0,0,0
200,4395,3929,512,513,0,0,0
210,4549,4462,496,502,4,0,34
220,4521,4393,496,472,1,0,36
230,4523,5405,476,479,0,3,42
240,5200,5303,490,500,1,1,56
250,4870,4168,487,483,4,1,63
260,5094,5144,503,468,3,3,91
270,4820,6059,451,450,4,3,92
280,6790,7000,419,422,3,4,126
290,7469,7188,428,455,3,3,154
300,7676,7080,427,418,1,4,178
310,7231,7906,406,384,4,4,192
320,8065,9949,387,365,7,1,209
330,9355,10737,366,343,4,8,203
340,10014,11190,359,314,7,8,216
350,10574,12273,324,323,10,6,212
360,11843,11935,311,300,9,8,206
370,12822,12757,312,323,7,8,201
380,12604,11831,305,328,6,7,178
390,12869,11899,314,348,4,5,173
400,12121,11345,342,300,2,7,185
410,11479,13227,345,311,2,4,175
420,10820,12168,350,321,5,2,178
430,10466,12184,355,314,3,6,170
440,10262,12089,358,339,8,2,163
450,10039,10503,349,385,10,4,166
460,10198,9270,372,356,2,7,165
470,9806,9897,380,351,4,7,190
480,9456,10327,376,370,3,1,174
490,9235,9837,382,382,5,3,180
500,9022,9608,395,353,7,4,197
510,9243,10793,349,340,6,6,222
520,10389,11052,352,336,10,5,207
530,10167,11551,349,323,5,5,211
540,11272,12490,320,307,5,4,216
550,12362,12506,310,316,5,4,193
560,12277,12497,318,318,9,7,180
570,12570,12032,302,312,7,7,176
580,12798,12328,306,323,6,4,164
590,12362,11788,341,342,6,1,157
600,10629,10801,355,361,4,3,138
610,9765,9743,365,386,7,7,132
620,9696,8595,369,395,9,7,130
630,9647,8664,415,386,0,7,153
640,7568,8834,403,399,6,7,160
650,8688,8183,404,397,4,4,168
660,8527,8508,383,399,7,4,179
670,9098,8822,362,374,10,5,194
680,10220,9878,367,364,5,3,246
690,10847,10687,336,326,7,8,229
700,11595,11475,318,316,9,8,218
710,12393,12341,293,339,6,3,199
720,13418,10841,280,359,5,2,169
730,13269,9974,309,388,7,4,128
740,12317,8671,347,390,3,7,129
750,10695,7968,359,418,2,3,119
760,10227,7838,370,421,2,4,141
770,9314,7220,382,425,5,3,146
780,8915,7552,393,426,9,12,181
790,8968,7784,373,398,4,7,190
800,9468,9016,379,357,7,9,211
810,9540,10326,345,362,9,5,236
820,10942,10702,338,345,5,5,238
830,11153,11270,323,320,9,10,245
840,12259,12216,321,316,2,7,217
850,12152,12064,314,329,9,5,200
860,12259,12082,309,322,3,6,198
870,12735,12262,301,311,6,5,195
880,12600,12513,337,299,5,8,180
890,11160,13027,317,303,6,8,192
900,12461,13048,329,329,6,6,197
910,11813,11738,321,317,6,3,180
920,11961,11517,327,330,9,8,174
930,11885,10779,334,365,4,5,154
940,10699,9704,358,380,3,4,138
950,9872,9101,361,390,10,5,157
960,10581,8696,363,387,4,4,155
970,9605,8822,358,383,1,5,139
980,10681,8822,369,410,3,3,142
990,9901,7941,375,390,2,4,157
1000,9081,8936,369,396,10,3,167
