"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,15,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,13834.8,13738.1333333333,13946.4666666667,13881.6666666667,13803.8666666667,13963,233.933333333333,230.6,237.4,233.533333333333,230.866666666667,236.6,0,0,0,0,0,0,0,0,0,-6.42666666666667,-7.84,-5.04,-6.58666666666667,-7.73333333333333,-5.38666666666667,0,0,0
20,15,14849.7333333333,14609.6,15100.4,15054.9333333333,14803.4,15287.6666666667,309.533333333333,302.533333333333,316.2,298.6,294.066666666667,302.8,0,0,0,0,0,0,0,0,0,32.3708354694764,29.6242418232406,35.2237466975864,27.9043742962354,25.9309742760671,30.024229512318,0,0,0
30,15,11170.4666666667,10829.8,11520.4,11686.5333333333,11462.8,11923.5333333333,393.333333333333,385.333333333333,400.933333333333,382.933333333333,377.4,387.666666666667,0,0,0,0,0,0,0,0,0,27.1521097028131,25.4224740926046,28.9496395187633,28.3574422805815,25.6224166514017,31.025837280639,0,0,0
40,15,7707.6,7367.93333333333,8009.2,8135.6,7842.13333333333,8443.06666666667,447.933333333333,441.866666666667,453.266666666667,448.533333333333,440.933333333333,456.2,0,0,0,0,0,0,0,0,0,14.0173527938324,11.5433387270913,16.0593992448688,17.1863279603007,15.0839503434053,19.2977370007974,0,0,0
50,15,6212.53333333333,5925.86666666667,6458.6,5885.8,5651.4,6142.86666666667,479.533333333333,472.866666666667,486.333333333333,483.133333333333,473.6,492.466666666667,0,0,0,0,0,0,0,0,0,7.12357713521577,5.06625401120164,9.2850543008707,7.79961725315224,5.49632677087189,10.040514356758,0,0,0
60,15,5190.13333333333,5023.26666666667,5343.4,4873.33333333333,4603.53333333333,5154.46666666667,492.333333333333,486.6,498.066666666667,499.533333333333,491.866666666667,507.666666666667,0,0,0,0,0,0,0,0,0,2.74746247863416,0.898850575226757,4.62165161395006,3.47908400778064,1.74848968864031,5.37196429399727,0,0,0
70,15,4585.6,4390.6,4781.6,4718.4,4529.4,4907.66666666667,502.466666666667,495.8,509.133333333333,505.066666666667,497.333333333333,512.333333333333,0,0,0,0,0,0,0,0,0,2.09847440861995,0.636213373037929,3.71512164977134,1.23182576531801,-1.13310912328886,3.73239768094475,0,0,0
80,15,4641.66666666667,4443.4,4848.33333333333,4366.4,4111.06666666667,4611,500.4,493.533333333333,507.733333333333,503,496.333333333333,510.066666666667,0,0,0,0,0,0,0,0,0,-0.376272292468686,-1.80600526802741,0.857200003373832,-0.323722405246543,-2.13727387460424,1.70023072962521,0,0,0
90,15,4598,4441.93333333333,4748.73333333333,4498.26666666667,4330.33333333333,4669.26666666667,499.533333333333,494.2,505.466666666667,503.6,496.533333333333,511.266666666667,0,0,0,0,0,0,0,0,0,-0.115663474449384,-1.60922352037986,1.34590591568159,0.206522266455378,-1.94452890249816,2.47405244118121,0,0,0
