"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13863.3,13767.95,13953.5,13962.9,13849.4,14080.25,231.9,229.3,234.6,232.25,230.05,234.35,0,0,0,0,0,0,0,0,0,-7.24,-8.26,-6.2,-7.1,-7.9,-6.3,0,0,0
20,20,15041.3,14883.6,15195.45,15067.45,14905.5,15229.6,302.5,296.2,308.15,299.3,293.85,304.8,0,0,0,0,0,0,0,0,0,30.4660312470481,28.1783218435423,32.6258875165229,28.8620244992431,27.2123477818387,30.6421165303983,0,0,0
30,20,11491.7,11175.25,11789.55,11525.2,11230.35,11812.35,389.35,381.75,396.1,394.65,384.8,403.7,0,0,0,0,0,0,0,0,0,28.7821544581414,26.8926525451066,30.4869136197976,31.8799222848258,29.6421219269326,34.0843058596877,0,0,0
40,20,7893.85,7597.25,8179.65,7703.65,7370.3,8019.95,448.2,440.75,455.95,449.65,444.15,456.1,0,0,0,0,0,0,0,0,0,15.2795270083519,12.8103226705876,17.8382162390534,14.259358571537,11.0704774266812,17.3078117988099,0,0,0
50,20,5884.2,5652.45,6127.45,5901.2,5737,6053.4,486.05,480.5,491.85,483.75,478.4,488.8,0,0,0,0,0,0,0,0,0,8.58722792661273,6.7121291933155,10.3745746861451,7.67992184222176,5.90751569609387,9.3547863189562,0,0,0
60,20,4910.55,4757.35,5065.05,4946.45,4771.05,5118,496.95,488.7,503.75,491.15,485.8,496.1,0,0,0,0,0,0,0,0,0,2.33123750774485,0.38889436770693,4.40113574405647,1.58295885062496,0.259764184358762,2.88867137661308,0,0,0
70,20,4588.45,4387.85,4796.05,4802.1,4620,5014.65,500.75,493.3,507.15,500.35,495,505.6,0,0,0,0,0,0,0,0,0,0.871883073866438,-1.19220570874768,2.74344794360028,1.90728965739234,0.75021823677385,3.02483642532181,0,0,0
80,20,4570.95,4404.25,4748.4,4713.05,4498.2,4913.35,507.8,503.15,512.2,500.1,493.75,507.35,0,0,0,0,0,0,0,0,0,1.526728676121,-0.317200494710586,3.45478125744478,-0.0252961945142491,-1.54054091695539,1.3354368341626,0,0,0
90,20,4342.75,4209.7,4479.2,4708.6,4478.4,4933.7,500.6,495.5,505.7,500.4,494.45,505.95,0,0,0,0,0,0,0,0,0,-1.37229443659998,-2.77710875126313,0.00942523566970146,0.199278233048301,-1.92330681294178,2.3973452245674,0,0,0
100,20,4572.5,4404.6,4749.45,4608.15,4469.5,4746.9,500.8,494.45,507.8,498.8,492.3,505.55,0,0,0,0,0,0,0,0,0,0.0929208058586766,-1.62511537195444,1.74717446453475,-0.23167221775352,-2.1686802247796,2.05748726340096,0,0,0
110,20,4573.4,4388.7,4766.75,4618.3,4469.35,4757.5,498.3,493.05,504.4,502.7,497.25,508,0,0,0,0,0,0,0,0,0,-0.41353419416376,-2.17038794004288,1.18607111012041,0.889649800723705,-1.1134081314397,2.64351984426741,0,0,0
120,20,4648.9,4491.65,4792.3,4533.6,4381.75,4702.6,504.25,499.5,508.8,504.1,497.2,510.35,0,0,0,0,0,0,0,0,0,1.25977681265549,-0.10542417379327,2.79088819067771,0.363594472211752,-1.57586593089363,2.31152782722389,0,0,0
130,20,4530.4,4329.7,4720.15,4598.9,4377.15,4825.8,506.25,500.15,512.25,504.6,499.75,509.65,0,0,0,0,0,0,0,0,0,0.429243139763102,-0.982673725409336,1.81108948737217,0.187014918694291,-1.48544143403296,1.81958856064753,0,0,0
140,20,4450,4263.35,4638.8,4407,4289.95,4532.1,498.45,492.15,505.45,500.65,493.65,507.25,0,0,0,0,0,0,0,0,0,-1.48738638159428,-2.91745011898272,0.0209568374253105,-0.724913429418907,-2.74093429090339,0.854099149137387,0,0,0
150,20,4608.4,4427.65,4788.1,4541.3,4359.75,4721,501.7,497.85,505.45,499.95,493.75,505.65,0,0,0,0,0,0,0,0,0,0.742676889910101,-0.87339564295783,2.30444586879159,-0.0478995094161745,-1.91429850506555,1.70459405345908,0,0,0
160,20,4481.85,4333.9,4626.75,4578.3,4385.4,4741,505.3,497.7,513,500.95,495.25,506.55,0,0,0,0,0,0,0,0,0,0.719862980035151,-0.593827727196585,2.12504549249345,0.276873599606794,-1.50245888093038,1.90828312034688,0,0,0
170,20,4492.15,4304.85,4674.7,4621.55,4431.4,4828,499.25,492.45,505.25,501.45,496.7,506.45,0,0,0,0,0,0,0,0,0,-1.05692447314338,-3.091902484929,1.02442387795302,0.164550688955441,-1.25757475060501,1.63791826267136,0,0,0
180,20,4618.2,4429.9,4800.75,4464.95,4298.4,4635.45,503.3,496.85,510.4,504.1,499.2,509.45,0,0,0,0,0,0,0,0,0,0.929510227015367,-1.34074574606484,3.05395551391126,0.565011370409913,-0.613324008382314,1.85310184535723,0,0,0
190,20,4479.45,4289.35,4671.35,4435.3,4303.35,4561.9,505.8,499.4,511.8,501.45,496.05,506.7,0,0,0,0,0,0,0,0,0,0.564268141158948,-0.850127252213822,2.06890924766935,-0.465778607338205,-2.0767304145502,0.980853998322597,0,0,0
200,20,4398.6,4224.85,4581.5,4544.4,4323.5,4744.3,504.95,499.95,509.55,504.65,499.4,510.2,0,0,0,0,0,0,0,0,0,-0.0912316192192815,-1.59959303023522,1.53482119586643,0.658750232816996,-0.220706765597006,1.50229486332754,0,0,0
210,20,4616.55,4420.85,4793.75,5003.75,4809.9,5168.1,488.45,482.55,494.15,457.05,452.7,461.35,1.5,1.05,1.95,5.05,4.3,5.8,15,13.35,16.9,-3.24129463590255,-4.45865664910468,-2.01647344050294,-9.36939945004845,-10.7542266806394,-8.01720574253061,0,0,0
220,20,4968.75,4747.2,5195,6000.5,5823.25,6166.2,491.25,484.45,498.15,457.3,448.95,464.55,0.6,0.25,1,3.5,2.7,4.35,11.9,10.15,13.7,0.659788091723294,-1.21049923150653,2.57886486949918,0.135732837254675,-2.2359256527922,2.27318643438802,-19.293198304963,-29.5239231356879,-8.07755283931754
