"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13862.85,13766.85,13951.05,13933.5,13841.6,14020.85,232.35,230,234.45,230.1,227.85,232.45,0,0,0,0,0,0,0,0,0,-7.06,-7.96,-6.26,-7.96,-8.96,-7.08,0,0,0
20,20,15021.3,14882.15,15151,15183.05,15008.3,15362.65,305.55,300.3,311.1,302.05,296.1,307.5,0,0,0,0,0,0,0,0,0,31.5292840056071,29.3425276575845,33.8050474046584,31.2762490024015,29.2406852268271,33.3375644383165,0,0,0
30,20,11269.65,10974.95,11552.8,11412.05,11109.5,11744.4,393.55,388.2,398.75,385.15,378.65,391.45,0,0,0,0,0,0,0,0,0,28.9515434949468,26.344774634586,31.3381397902681,27.6904798363865,25.0162844555297,30.1614701142786,0,0,0
40,20,7718.2,7483.1,7952.95,8047.05,7809.5,8273.3,449.65,443.05,456.55,447.05,440.55,453.9,0,0,0,0,0,0,0,0,0,14.3806372603342,12.0738498579804,16.567307924643,16.2253380598345,13.851484875947,18.7404926342639,0,0,0
50,20,5952.6,5776.4,6129.8,5876.7,5689.35,6046.85,480.6,474.7,487.2,485,479.85,489.4,0,0,0,0,0,0,0,0,0,7.00512040087195,4.72617075868235,9.14253676851936,8.61383640350148,6.52591172450173,10.6699857925055,0,0,0
60,20,5160.45,4983.3,5305.7,5000.05,4874.8,5125.85,490.05,485.65,494,495.15,487.85,502.6,0,0,0,0,0,0,0,0,0,2.06860503631875,0.404733114395861,3.62729362681094,2.16289955538084,0.17347972713757,4.02600960208032,0,0,0
70,20,4782.25,4647.25,4927.15,4616,4453.05,4770.4,500.4,493.35,506.75,504.6,499.75,509.95,0,0,0,0,0,0,0,0,0,2.14848189789441,0.56005326113714,3.80284408009531,2.00939840269817,0.461387447361317,3.65822230295876,0,0,0
80,20,4579.9,4358.45,4813.45,4508.4,4366.55,4626.6,500.55,493.55,507.2,503.4,498.1,509,0,0,0,0,0,0,0,0,0,0.135923204793144,-1.95062515327721,2.24579448622759,-0.169068476802933,-1.90224806716524,1.55088155554428,0,0,0
90,20,4587.45,4393,4801.35,4441.7,4322.65,4556.4,503.5,496.7,511.2,503,497.35,508.7,0,0,0,0,0,0,0,0,0,0.689604759173118,-1.25779202004065,2.60062708215155,-0.0174350128036034,-1.63066058138065,1.53679391268304,0,0,0
