timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13827,14222,227,226,0,0,0
20,15226,15802,305,293,0,0,0
30,11435,11810,387,369,0,0,0
40,7645,8584,447,446,0,0,0
50,6238,5536,486,483,0,0,0
60,4823,4711,492,507,0,0,0
70,4594,4023,499,497,0,0,0
80,4736,4291,502,525,0,0,0
90,4815,3981,497,505,0,0,0
100,4667,4440,495,521,0,0,0
110,5026,3893,502,511,0,0,0
120,4896,4979,503,485,0,0,0
130,4270,5109,521,477,0,0,0
140,3904,4770,509,494,0,0,0
150,4497,4881,504,504,0,0,0
160,4588,5203,502,506,0,0,0
170,4530,4255,499,485,0,0,0
180,4306,4882,515,513,0,0,0
190,4180,4273,517,512,0,0,0
200,4285,3729,525,515,0,0,0
210,4012,4500,480,475,0,4,29
220,5261,5329,485,505,2,0,23
230,4945,4227,483,484,0,2,29
240,5566,5520,492,475,2,1,33
250,5462,5155,452,458,3,3,42
260,5991,5972,476,455,1,4,53
270,5312,5806,488,482,3,4,62
280,5185,5271,478,488,3,2,57
290,5616,5091,447,478,1,3,61
300,6476,5075,462,488,2,1,76
310,6004,5139,468,465,2,6,74
320,5921,5624,455,476,0,2,73
330,6024,5203,441,465,4,3,83
340,6815,6037,448,445,0,10,97
350,6372,6357,444,451,5,5,83
360,6365,6620,437,466,2,2,97
370,6490,6118,442,435,6,5,104
380,6788,6919,430,439,4,3,126
390,6733,7265,406,399,4,10,130
400,8027,8125,428,422,4,5,124
410,7420,7740,419,405,6,4,115
420,7428,8001,392,398,5,5,129
430,8491,8721,426,403,6,5,134
440,6832,8487,406,416,2,2,116
450,7527,7905,430,408,8,3,114
460,7108,7910,424,397,8,6,111
470,7275,7988,417,441,5,3,102
480,7754,6992,414,424,2,5,96
490,7556,7172,424,446,1,5,99
500,7198,6288,435,443,2,1,110
510,6684,6469,413,417,8,5,115
520,7179,7150,434,431,6,7,113
530,7105,6917,446,451,5,5,118
540,6857,6236,414,445,3,4,123
550,8063,6871,394,419,5,6,127
560,8661,7199,408,408,3,5,131
570,8177,7616,418,422,3,7,119
580,7801,7654,410,415,4,4,128
590,7861,7281,414,416,5,6,125
600,8059,8504,402,381,4,5,126
610,8363,9237,398,393,7,2,124
620,8464,7987,397,415,4,6,116
630,8073,8206,403,408,6,9,118
640,8144,7965,389,389,9,2,124
650,8429,8706,405,400,5,6,118
660,8180,8632,389,388,5,7,113
670,9132,8290,421,420,6,2,123
680,8056,7406,392,429,4,4,109
690,8291,7148,396,431,6,4,111
700,8238,7185,411,441,4,2,99
710,7741,7019,454,424,1,5,101
720,6196,7258,459,409,1,7,113
730,6357,7854,421,407,6,6,112
740,7393,7488,411,435,2,4,119
750,7613,6904,447,410,2,5,117
760,6640,8477,419,375,4,8,127
770,7605,9361,415,376,5,6,136
780,7474,9431,405,401,8,5,126
790,8776,7768,399,407,4,3,132
800,8666,7763,395,417,6,3,129
810,8581,7665,400,413,2,6,141
820,7890,7856,405,399,5,7,138
830,7678,8122,414,379,8,7,132
840,7440,9132,419,384,5,6,151
850,7922,8587,394,388,7,6,148
860,8370,8719,405,392,4,5,134
870,8152,8535,427,397,7,6,107
880,7227,8295,402,424,3,3,104
890,8165,7164,394,415,3,2,130
900,8350,7633,406,412,10,6,132
910,7988,8188,392,389,5,6,117
920,8689,8749,383,380,6,6,136
930,8827,9495,405,393,5,5,121
940,7924,8601,386,391,8,8,120
950,8521,8360,403,405,3,5,119
960,7980,7587,404,444,7,6,118
970,8302,6368,410,460,8,5,100
980,8106,6162,409,429,4,2,107
990,8213,6794,406,422,1,6,116
1000,7462,7287,434,434,7,1,107
