timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,14179,14137,227,225,0,0,0
20,15070,15799,314,291,0,0,0
30,10693,12067,394,367,0,0,0
40,7763,8732,440,454,0,0,0
50,6273,5707,474,473,0,0,0
60,5022,5100,530,480,0,0,0
70,4095,4671,491,511,0,0,0
80,4469,4154,515,504,0,0,0
90,4361,4626,494,512,0,0,0
100,4635,4670,511,498,0,0,0
110,4284,4192,503,520,0,0,0
120,4554,3819,512,519,0,0,0
130,4297,4159,500,500,0,0,0
140,4542,4511,501,484,0,0,0
150,4581,4815,500,505,0,0,0
160,4454,4303,526,529,0,0,0
170,4033,3599,506,517,0,0,0
180,4630,4412,474,498,0,0,0
190,4970,5094,540,468,0,0,0
200,3756,5199,497,495,0,0,0
210,4792,4687,468,488,1,1,22
220,5687,4673,468,520,0,1,35
230,5355,4518,486,492,1,0,34
240,4992,4751,486,483,1,2,38
250,4750,5230,477,474,2,4,39
260,5135,6063,500,484,4,0,44
270,4503,5021,484,479,3,1,46
280,5003,5179,485,476,1,5,60
290,5352,5602,462,469,2,4,72
300,5833,5554,459,438,3,5,80
310,5599,6523,482,469,3,1,84
320,5495,5942,466,446,2,7,91
330,5853,6768,447,431,4,6,93
340,6701,7431,463,431,4,5,106
350,6121,7224,407,425,4,3,107
360,7476,7146,429,432,3,4,105
370,7450,7332,428,423,3,5,101
380,7083,7628,407,434,4,4,109
390,7751,7249,438,455,7,5,106
400,6984,6462,447,448,3,8,116
410,7197,6704,432,413,3,5,122
420,6895,7260,412,433,6,4,129
430,7801,7222,372,402,9,5,147
440,9432,8295,352,396,5,11,146
450,10263,8588,371,389,2,5,149
460,9461,8567,397,401,3,6,119
470,8535,8059,370,426,2,4,117
480,9811,7732,381,397,5,2,121
490,9314,7765,367,413,4,8,109
500,9530,7645,418,437,4,5,102
510,7024,6457,417,439,3,4,102
520,6768,6486,421,423,1,4,91
530,7094,6539,438,436,3,2,89
540,6815,6452,451,475,6,5,94
550,6164,5810,463,443,7,1,96
560,6239,6427,450,445,3,3,87
570,6393,6857,421,438,7,4,104
580,7380,7092,428,415,6,6,119
590,7558,7712,449,440,5,1,114
600,6522,6704,416,437,6,1,110
610,7853,6819,428,426,2,5,102
620,7226,7117,447,445,6,4,106
630,6431,6726,419,412,10,3,136
640,7533,7703,409,435,8,5,136
650,7965,6963,430,438,7,2,120
660,7420,7019,414,427,6,1,126
670,7921,7759,381,400,6,3,130
680,8960,8357,402,419,5,4,122
690,8144,7446,401,411,7,4,126
700,8210,7717,398,410,7,5,127
710,8427,7712,374,417,4,2,143
720,8975,7545,392,412,4,9,143
730,8412,7339,387,418,11,6,138
740,8693,7706,426,416,3,3,117
750,7140,8057,423,424,3,9,123
760,7453,7906,388,392,5,8,122
770,8868,7364,402,457,6,3,115
780,8171,6688,420,428,3,5,103
790,7126,7172,429,426,2,2,92
800,6996,7126,432,440,0,3,83
810,6826,6938,423,437,5,7,83
820,6997,6873,437,437,4,4,84
830,6620,6767,448,435,4,3,94
840,6476,6736,432,461,4,4,87
850,6881,6177,450,419,4,0,96
860,6108,7953,476,430,3,1,92
870,5516,7177,449,437,4,2,81
880,6174,6613,421,465,5,6,90
890,7582,5756,446,466,8,1,89
900,6659,5793,445,475,6,2,97
910,6765,5454,445,460,6,5,108
920,7039,6590,422,432,3,4,115
930,7388,6942,408,440,4,1,121
940,8112,6605,400,443,5,3,126
950,8038,7053,396,422,8,5,130
960,8401,8028,434,401,3,2,112
970,6785,8474,419,406,6,6,112
980,7331,7694,418,430,4,3,106
990,7840,7081,406,427,5,5,126
1000,7952,7497,444,413,3,5,125
