"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13950.1,13828.3,14067,13930.75,13840.65,14025.75,233.45,230.9,235.9,231.85,229.6,234.25,0,0,0,0,0,0,0,0,0,-6.62,-7.66,-5.64,-7.26,-8.14,-6.32,0,0,0
20,20,15001.85,14805.9,15185.3,15183.55,14983.7,15366.95,302.25,296.8,307.2,300.7,294.8,306.35,0,0,0,0,0,0,0,0,0,29.4873161220674,27.5217318186014,31.4557168721034,29.7322015887997,27.348117171581,32.115340498955,0,0,0
30,20,11356.5,11069.9,11649.95,11560.9,11268.1,11846.25,394.15,387.05,401.8,389.45,381.1,397.35,0,0,0,0,0,0,0,0,0,30.4970581408763,28.2212395778495,32.5192038770113,29.5939935676037,27.0855038431136,31.7888871385175,0,0,0
40,20,7682.75,7462.25,7900.15,7959.05,7674.4,8247.15,449.05,443.25,454.75,443.05,438.7,447.6,0,0,0,0,0,0,0,0,0,14.147584495823,11.4071707919603,16.7222751592107,14.0201115556462,11.361657840552,16.7831360303775,0,0,0
50,20,5891.3,5719.8,6074.2,6135.55,5943.6,6330.3,482.5,475.75,489,476.3,470.65,481.25,0,0,0,0,0,0,0,0,0,7.52004270115959,5.62194794818082,9.35411186979467,7.5568511813632,6.10232210143691,9.14461488810295,0,0,0
60,20,4989.15,4756.7,5237.15,5124.85,4927,5329.35,494.8,485.8,503.15,493.35,485.7,501,0,0,0,0,0,0,0,0,0,2.68379904944799,0.100540227540845,5.10550438015009,3.63516033141412,1.86417159493534,5.4835741885234,0,0,0
70,20,4634.6,4440,4859.25,4644.05,4426.6,4855.45,501.2,495.85,506.6,500.3,491.9,508.75,0,0,0,0,0,0,0,0,0,1.44657028200997,-0.671264313042159,3.26791043240635,1.47320454009895,-0.264024746090237,3.1568166828869,0,0,0
80,20,4515.55,4372.55,4645,4666.5,4424.9,4916.25,503.75,497.3,510.05,502.45,497.5,507.6,0,0,0,0,0,0,0,0,0,0.597068548953119,-1.40904066533054,2.42003303508163,0.552596571255573,-1.25579242028048,2.15226224330938,0,0,0
90,20,4525.25,4384.7,4690.3,4476.2,4317.25,4632.9,499.15,494.3,504.05,503.2,498.5,508.1,0,0,0,0,0,0,0,0,0,-0.838897165139653,-2.34307411803314,0.646760760907122,0.184873400616545,-0.961207160423182,1.36113702755517,0,0,0
100,20,4524.25,4386.9,4671.55,4598.95,4444.15,4753.25,505.9,499.45,511.45,503.95,498.45,509.8,0,0,0,0,0,0,0,0,0,1.38001437166054,-0.0127908832509327,2.56610737490674,0.193141433212395,-1.27270037614745,1.55513303036089,0,0,0
110,20,4394.15,4241.3,4590.9,4391.5,4251.45,4546.55,508.1,501.7,514.55,504.9,500.25,509.65,0,0,0,0,0,0,0,0,0,0.520215630166066,-1.41183872730222,2.24753442859495,0.250121749717899,-1.00772062735745,1.59295412557563,0,0,0
120,20,4332.55,4109.35,4533.5,4469.4,4323.95,4612.65,503.1,496.5,509.2,498.5,492.25,504.5,0,0,0,0,0,0,0,0,0,-0.936113103257111,-2.37842824009055,0.358172627052171,-1.2331065823587,-2.5107604906364,0.0478737499897725,0,0,0
130,20,4505,4336.05,4674.95,4507.3,4298.25,4704.95,510.1,504.3,515.5,506.4,499.45,513.1,0,0,0,0,0,0,0,0,0,1.46465756412755,-0.096006985772741,3.06518170980384,1.63731763083853,0.0375933288266403,3.07375094670528,0,0,0
140,20,4376.1,4228.1,4513.35,4391.8,4183.85,4589.85,500.3,495.85,504.25,503.05,497.95,507.95,0,0,0,0,0,0,0,0,0,-1.86088578091858,-3.16099482879782,-0.598305182852186,-0.557833168699084,-2.42755641336859,1.01837837752781,0,0,0
150,20,4563.35,4436.95,4695.35,4481.55,4327,4640.25,501.85,496.25,507.9,502.7,497,508.5,0,0,0,0,0,0,0,0,0,0.341505589582251,-1.01765576315691,1.77248806444781,-0.00452501615063709,-1.69685360395995,1.54247830569189,0,0,0
160,20,4592.25,4440.8,4748.2,4495.8,4313.7,4670.8,500.1,494.6,505.15,502.2,496.55,508.15,0,0,0,0,0,0,0,0,0,-0.256522115283808,-2.12349841472847,1.403321880951,-0.0220688930399172,-1.4936173428088,1.67644257839777,0,0,0
170,20,4556.1,4397.5,4723.3,4438.15,4264.65,4596.25,502.05,496.55,507.6,502.95,498.4,507.5,0,0,0,0,0,0,0,0,0,0.463243443139498,-1.12669799700064,2.24081348982177,0.203227452747192,-0.957536293176543,1.39440588404194,0,0,0
180,20,4606.9,4446.85,4773.2,4494.2,4362.85,4630.3,498.9,491.75,505.85,499.9,493.4,505.6,0,0,0,0,0,0,0,0,0,-0.584601354915625,-2.10327071033162,0.940248632847921,-0.559092407596669,-2.07823930600432,0.970594579896501,0,0,0
190,20,4565.9,4342.95,4769.95,4549.65,4397.85,4718.1,504.15,497.1,510.95,506.95,499.8,514,0,0,0,0,0,0,0,0,0,1.14969810645577,-0.581144600509509,3.17727880001059,1.4875664371439,-0.352263960405405,3.35221706654934,0,0,0
200,20,4615.95,4426.1,4787.7,4415.85,4219.35,4593.1,498.4,494.45,501.9,500,496.6,503.3,0,0,0,0,0,0,0,0,0,-1.04001787246536,-2.71828580970813,0.724165010601084,-1.23918820186697,-3.03777362039667,0.625354578000252,0,0,0
210,20,4817.4,4668.8,4992.8,4596.15,4458.9,4745.9,488.75,482.9,494.35,487.75,482.35,492.8,1.05,0.7,1.4,1.75,1.15,2.35,24.8,22.35,27.25,-1.89973833395611,-3.28581380156554,-0.482384538526531,-2.44115573363743,-3.42971866916784,-1.46840847211753,0,0,0
220,20,4993.3,4828.25,5173.2,4951.25,4766.65,5118.8,488.4,482.6,494.6,490.75,485.4,495.85,1.55,1,2.2,1,0.6,1.45,27.6,25.2,30.05,0.00225524361830862,-1.73535323994609,1.77687364051147,0.656984874894221,-0.686053520597688,2.04356581831446,14.2202028495132,3.00518341307815,25.3242413548675
230,20,5094.55,4895.4,5272.65,4968.7,4806.7,5138.5,486.9,480.2,493.15,490.55,485.35,495.85,1.4,1,1.8,1.6,1.2,2,32.35,28.65,35.9,-0.242852114733289,-1.8663438695995,1.40373953642651,0.0269825206085,-1.52147069065016,1.53187571575018,16.7215061813848,9.89088495076357,23.5038151390487
240,20,5015.55,4867.4,5184,4850.2,4663.6,5041.8,481.05,476.45,486.2,488.4,480.75,496.1,1.95,1.3,2.6,1.5,1.05,1.95,35.5,31.35,39.3,-1.10166259516486,-2.86650487193509,0.580844876548394,-0.424149011059303,-1.70244368277435,0.957478897995466,11.528667973769,2.85986188733866,20.4635965166445
250,20,5182.4,5012.9,5352,5084.65,4864.55,5283.6,482.4,477.05,488,484.3,477.35,492.3,1.65,1.25,2.1,1.95,1.25,2.55,41.2,35.4,47.2,0.318525931947766,-0.932875619185082,1.60667957529153,-0.717323960926093,-2.9236482091409,1.46706406982119,15.0876860807916,6.60762220086518,22.9186819763771
260,20,5202.35,4994.8,5397.5,5210.15,4932.7,5465.65,483.05,474.45,491.25,482.25,477.5,486.55,1.65,1.1,2.2,2,1.4,2.6,43,36.4,49.15,0.151473929992041,-1.49615982416521,1.78023250532925,-0.291077982522941,-2.25564468197935,1.42400494903779,4.72921712918803,-1.75872328127223,11.541457431363
270,20,5135.9,4840.2,5428.5,5199.65,4999.3,5395.75,479.8,472.55,486.5,473.5,465.45,481.15,2.4,1.8,2.95,1.6,1,2.25,48,40.85,55.1,-0.53148067859357,-2.44932478845983,1.39293763539144,-1.78580268376669,-3.61269195859854,-0.187097818742968,12.3698664560302,7.57281421788857,17.195751604707
280,20,5360.95,5131.5,5588.65,5433.2,5186.85,5668.8,473.75,463.7,482.95,473.75,465.6,481.7,2.6,1.95,3.25,2,1.45,2.5,54.5,46.7,62.7,-1.17819888614332,-3.42448661511337,1.0311890487162,0.141765926580984,-1.57395348728084,1.9536515419732,13.9622512799624,9.20853268407184,18.5793687452061
290,20,5647.1,5367.1,5919.35,5506.3,5257.2,5738,462.45,453.9,471.3,474.65,468.55,481.25,2.15,1.55,2.8,2.6,1.95,3.2,63.55,53.7,71.8,-2.32804193118078,-3.63339996648124,-0.958837985220077,0.293507123992809,-1.40673622855922,1.96505775612284,17.375920783465,12.2102666631046,22.54953758237
300,20,5900.35,5533.3,6263.5,5628,5381.1,5888.3,457.2,448.45,466.2,462.15,453,470.3,3.3,2.6,4,3.1,2.2,4.05,71.1,60.95,81.55,-1.06733093201975,-2.65878709232784,0.543094360860628,-2.61791834648735,-4.17690909692022,-1.10691760385135,12.4277050444975,6.75379416089172,18.3110261125546
310,20,6053.35,5733.15,6374.6,5944.2,5617.7,6284.7,460.55,449.5,471.15,459.9,449.55,468.4,3.35,2.85,3.85,2.85,2.15,3.55,79.7,67.7,90.5,0.772775697514118,-1.13688766586873,2.59041797185368,-0.388808943989025,-2.49874437058278,1.70953940609872,12.5171185388187,6.71858865930264,18.3131283688736
320,20,6089.75,5675.35,6487.15,5961.85,5619.55,6315.3,449.9,439.25,461,454.8,445.25,463.05,3.6,2.7,4.55,3.55,2.45,4.6,86.35,73.45,97.9,-2.27025816397794,-3.89316242288943,-0.863884401457111,-1.01488528296114,-2.71942246578567,0.658103498542279,8.88277388230495,4.83629119050855,12.6536742497229
330,20,6526.45,6050.9,6959.65,6329.6,6026.05,6669.55,440.45,427.8,453.45,446.25,437.45,455.05,3.6,2.65,4.55,4.05,3.1,5.05,91.1,79.2,101.8,-2.08575811308999,-3.56382872973193,-0.728249773124134,-1.81239613656682,-3.35462539975894,-0.303668378631119,7.26909072033861,3.26105690804545,10.8338870616321
340,20,6686.15,6302.5,7107.7,6509.4,6163.3,6806.35,444.9,433.6,454.8,447.25,436.75,456.75,4.3,3.2,5.5,4.3,3.45,5.35,96.25,85.05,106.95,1.19558671871742,-0.96126490529945,3.28930208265494,0.267632886226781,-1.21612615766172,1.85542271223306,7.98045074515955,1.93393710743364,15.3254131953872
