timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,14063,13691,233,244,0,0,0
20,15103,14702,301,299,0,0,0
30,11833,11398,368,405,0,0,0
40,8340,7462,447,449,0,0,0
50,5903,6028,489,465,0,0,0
60,4441,5648,506,486,0,0,0
70,4134,4655,501,497,0,0,0
80,4471,4618,511,500,0,0,0
90,4331,5141,496,482,0,0,0
100,4586,4642,509,500,0,0,0
110,4063,4427,524,524,0,0,0
120,3862,3884,479,516,0,0,0
130,4517,4067,513,517,0,0,0
140,4234,4728,504,492,0,0,0
150,4509,4365,504,493,0,0,0
160,5027,4869,494,492,0,0,0
170,5279,4507,484,517,0,0,0
180,5170,4151,472,511,0,0,0
190,5543,4222,478,502,0,0,0
200,5367,4755,507,498,0,0,0
210,4518,4503,496,488,1,2,19
220,4600,5196,492,490,0,1,21
230,5027,5081,511,499,1,2,22
240,4398,4316,491,508,2,1,21
250,4646,4505,500,513,1,0,25
260,4797,4335,504,475,1,1,21
270,4177,5460,480,485,1,1,26
280,5808,5164,482,497,4,1,30
290,5254,5013,463,466,2,1,38
300,6071,5712,450,481,2,2,53
310,5993,5419,476,457,3,1,58
320,6025,5915,464,463,3,3,67
330,6304,5786,420,475,7,2,78
340,6792,5252,465,469,2,4,80
350,5736,6360,461,448,4,4,81
360,5933,6641,456,457,3,1,76
370,6340,6452,463,442,4,3,90
380,6335,6930,419,424,2,8,98
390,7089,7533,420,395,8,5,110
400,7726,7777,402,426,6,3,121
410,8314,7291,420,418,5,4,110
420,7251,7428,412,424,9,4,103
430,8131,6749,378,433,2,3,109
440,7932,6999,433,428,3,5,92
450,6881,6850,462,439,2,2,90
460,5808,6528,448,438,8,6,111
470,6261,6989,452,437,3,1,111
480,6059,6795,432,450,5,4,119
490,7155,6259,417,439,5,3,135
500,7588,7126,396,419,8,4,151
510,8561,7394,383,420,5,4,131
520,8850,7960,404,401,4,6,134
530,8000,8292,423,395,4,4,145
540,7309,7695,408,405,6,10,136
550,7666,8052,416,404,10,8,125
560,7640,7901,417,408,2,6,119
570,7443,7448,391,426,6,3,130
580,8951,7439,393,380,6,8,124
590,8805,9382,408,417,4,1,113
600,8620,7233,408,442,9,7,129
610,7977,6646,406,416,6,11,120
620,8179,7183,421,412,5,4,122
630,7514,7363,421,421,3,2,124
640,7921,7972,405,397,4,6,129
650,7716,8719,429,421,4,3,123
660,7058,7628,415,410,7,5,128
670,8068,7762,382,398,6,1,142
680,9009,8116,406,394,4,7,127
690,8389,8395,415,400,1,7,134
700,8031,8310,378,373,8,7,140
710,8986,9472,402,406,2,7,141
720,8246,7998,380,406,6,11,140
730,9023,8181,387,373,5,6,148
740,8974,9476,376,377,7,4,132
750,8864,8672,418,376,6,5,116
760,7455,9196,409,408,6,3,140
770,8133,7647,412,417,4,3,139
780,7912,8184,410,399,2,7,147
790,8000,8314,401,404,8,6,157
800,7904,8165,414,424,4,3,134
810,7272,7676,406,406,10,5,137
820,8414,8519,379,389,4,5,138
830,9776,8888,381,405,5,1,142
840,9911,8119,380,392,4,4,143
850,9514,8699,357,370,5,11,169
860,10556,9502,363,380,4,5,162
870,9669,9062,344,362,8,4,157
880,10798,9318,372,380,5,3,126
890,9357,9025,369,385,3,4,127
900,8502,9101,402,379,6,8,126
910,8010,9029,407,370,5,4,136
920,7998,9329,403,379,5,3,129
930,7951,9018,424,399,6,1,120
940,6965,8545,410,391,9,9,131
950,7690,8101,434,392,6,8,113
960,7060,8332,455,402,5,5,113
970,6158,7955,444,433,9,4,120
980,6616,7368,414,398,5,8,128
990,7755,7842,394,415,4,6,127
1000,8380,8159,407,405,5,3,128
