"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13950.1,13838.1,14062.4,13930.75,13838.75,14020.4,233.45,231,235.95,231.85,229.65,234.1,0,0,0,0,0,0,0,0,0,-6.62,-7.54,-5.58,-7.26,-8.1,-6.36,0,0,0
20,20,15001.85,14810.65,15182.6,15183.55,14988.35,15370.15,302.25,296.5,307.05,300.7,295.1,306.2,0,0,0,0,0,0,0,0,0,29.4873161220674,27.5354702372635,31.4398431702135,29.7322015887997,27.3890735332479,32.1653661937521,0,0,0
30,20,11356.5,11062.8,11661.8,11560.9,11272.7,11843.3,394.15,387.3,400.95,389.45,381.25,397.1,0,0,0,0,0,0,0,0,0,30.4970581408763,28.244672508241,32.7132232019721,29.5939935676037,27.1979939153331,32.0107693264414,0,0,0
40,20,7682.75,7443.05,7895.85,7959.05,7666.65,8229.85,449.05,443.2,455.05,443.05,438.35,448,0,0,0,0,0,0,0,0,0,14.147584495823,11.2633150801319,16.6059792670311,14.0201115556462,11.4835430479967,16.5907017281578,0,0,0
50,20,5891.3,5719.3,6080.55,6135.55,5939.4,6322.85,482.5,475.95,489.1,476.3,471.45,481.65,0,0,0,0,0,0,0,0,0,7.52004270115959,5.6438460100067,9.34397906414831,7.5568511813632,6.10468318033768,9.08292435980228,0,0,0
60,20,4989.15,4757.25,5236.3,5124.85,4902.15,5328.75,494.8,485.75,503.25,493.35,485.35,500.85,0,0,0,0,0,0,0,0,0,2.68379904944799,0.0778388750069418,5.04314137712088,3.63516033141412,1.81576799506276,5.3746027531415,0,0,0
70,20,4634.6,4411.55,4851.4,4644.05,4421.95,4844.3,501.2,495.65,506.85,500.3,492.45,508.4,0,0,0,0,0,0,0,0,0,1.44657028200997,-0.469573088825707,3.40852290146581,1.47320454009895,-0.26676282206112,3.13275970478454,0,0,0
80,20,4515.55,4378.1,4642.9,4666.5,4419.45,4888.45,503.75,497.35,509.3,502.45,497.2,507.1,0,0,0,0,0,0,0,0,0,0.597068548953119,-1.27416688234762,2.34934266817402,0.552596571255573,-1.13494389043291,2.10830293865785,0,0,0
90,20,4525.25,4374.55,4688.9,4476.2,4332.8,4626.35,499.15,494,503.6,503.2,498,507.7,0,0,0,0,0,0,0,0,0,-0.838897165139653,-2.17674092959074,0.68455309924709,0.184873400616545,-0.899509980279088,1.41849147824233,0,0,0
100,20,4524.25,4377.55,4669.45,4598.95,4453.45,4746.05,505.9,499.1,511.5,503.95,497.9,509.85,0,0,0,0,0,0,0,0,0,1.38001437166054,0.0166928689729172,2.66121970810587,0.193141433212395,-1.24264900991308,1.54912582104383,0,0,0
110,20,4394.15,4252.8,4562.6,4391.5,4234.55,4537.8,508.1,501.6,514.2,504.9,500.45,509.1,0,0,0,0,0,0,0,0,0,0.520215630166066,-1.30607180800906,2.35115835438486,0.250121749717899,-1.04975876014833,1.59414375431581,0,0,0
120,20,4332.55,4090.75,4533.35,4469.4,4317.35,4615.45,503.1,496.6,508.95,498.5,492.25,504.3,0,0,0,0,0,0,0,0,0,-0.936113103257111,-2.3382445736055,0.274319041558363,-1.2331065823587,-2.74028494355348,0.0375571859763113,0,0,0
130,20,4505,4343.95,4667.35,4507.3,4314.7,4682.25,510.1,504.4,516.4,506.4,499.6,513.8,0,0,0,0,0,0,0,0,0,1.46465756412755,-0.110953805561879,3.10139443760349,1.63731763083853,-0.00756455444002918,3.1590620949453,0,0,0
140,20,4376.1,4239.75,4505.15,4391.8,4193.55,4572.7,500.3,496.4,504.25,503.05,497.85,507.8,0,0,0,0,0,0,0,0,0,-1.86088578091858,-3.22553842091431,-0.582276239993573,-0.557833168699084,-2.3403383180875,1.13221182949302,0,0,0
150,20,4563.35,4419.2,4699.8,4481.55,4316.3,4653.8,501.85,495.6,508.25,502.7,496.55,508.5,0,0,0,0,0,0,0,0,0,0.341505589582251,-1.20972315092111,1.81156840311575,-0.00452501615063709,-1.80972227705314,1.80485256272606,0,0,0
160,20,4592.25,4429.7,4757.8,4495.8,4326.7,4670.85,500.1,494.8,505.35,502.2,496.5,507.95,0,0,0,0,0,0,0,0,0,-0.256522115283808,-2.11021670422684,1.55285684085821,-0.0220688930399172,-1.60180720587337,1.68036558093908,0,0,0
170,20,4556.1,4410.2,4710.65,4438.15,4255.1,4607.65,502.05,496.7,507.3,502.95,498.75,507.65,0,0,0,0,0,0,0,0,0,0.463243443139498,-1.25771342292141,2.12689752666752,0.203227452747192,-0.98409705594519,1.40549444053397,0,0,0
180,20,4606.9,4443.7,4771.35,4494.2,4336.7,4636.25,498.9,492.1,505.45,499.9,493.95,505.3,0,0,0,0,0,0,0,0,0,-0.584601354915625,-2.17297279891289,0.912509959209304,-0.559092407596669,-2.11718086425462,0.917128181337052,0,0,0
190,20,4565.9,4359.4,4778.25,4549.65,4365.5,4725.95,504.15,497.95,510.5,506.95,499.6,514.05,0,0,0,0,0,0,0,0,0,1.14969810645577,-0.679098161504283,3.04591360654566,1.4875664371439,-0.429898662276595,3.3552976926148,0,0,0
200,20,4615.95,4436.45,4797.75,4415.85,4210.75,4592.4,498.4,494.4,502.15,500,496.4,503.1,0,0,0,0,0,0,0,0,0,-1.04001787246536,-2.63729352283285,0.545183831122027,-1.23918820186697,-3.105229171126,0.618936795955036,0,0,0
210,20,4817.4,4678.2,4974.9,4596.15,4462.5,4757.55,488.75,482.8,494.3,487.75,482.15,492.45,1.05,0.7,1.4,1.75,1.25,2.35,24.8,22.3,27,-1.89973833395611,-3.31482119394222,-0.47107419699882,-2.44115573363743,-3.39602492483048,-1.42845798758406,0,0,0
220,20,4993.3,4827.8,5162.3,4951.25,4775.9,5123.55,488.4,482.55,494.85,490.75,485.65,495.95,1.55,0.9,2.2,1,0.6,1.45,27.6,25.15,30.4,0.00225524361830862,-1.7192329411818,1.83150403129073,0.656984874894221,-0.694557059244844,2.06715107712025,14.2202028495132,3.74679034751629,26.2134597858282
