"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,13870.7,13769.9,13954.3,13952.3,13801.2,14090.8,232.6,229.2,235.4,230.9,228,234.1,0,0,0,0,0,0,0,0,0,-6.96,-8.28,-5.8,-7.64,-8.84,-6.32,0,0,0
20,10,14974.5,14764.7,15156.7,15206.7,14958.9,15439.1,305,301,309.3,306.5,298.5,314.4,0,0,0,0,0,0,0,0,0,31.1982660731112,28.5190690037364,33.7088532981473,32.7399145898391,29.7086930622936,35.6176746892752,0,0,0
30,10,11155.2,10900.7,11419.4,11220.9,10853,11573.6,391.5,381.6,400.5,385.9,378.5,393.5,0,0,0,0,0,0,0,0,0,28.4227381058777,24.971274856346,32.2357908003487,26.0658605164874,22.834129000285,28.8442136107572,0,0,0
40,10,7757.9,7359.6,8152.8,8075.2,7779.9,8410.1,450.3,440.3,459.3,444.2,436,452.1,0,0,0,0,0,0,0,0,0,15.2141028723214,10.8457074694007,19.2095489246802,15.2196034657005,12.3262172144459,18.2870017344349,0,0,0
50,10,5882.4,5531.4,6212.4,6093.4,5824.7,6342.7,483.7,477.4,490,476.4,467.6,483.8,0,0,0,0,0,0,0,0,0,7.5117442612266,5.52775718894191,9.54312768671443,7.31604985498642,5.27337108445799,9.8230514462381,0,0,0
60,10,4958,4852.2,5067.2,5210.1,5001.9,5427.4,495.8,488.2,504.3,493.4,484.2,502,0,0,0,0,0,0,0,0,0,2.54931222540265,0.479227409692188,5.0303543465563,3.64635672509333,1.20468173559547,5.99697411566883,0,0,0
70,10,4746.7,4432,4981.1,4672.7,4356.5,4966.1,496.6,486.7,506.1,502.8,491.3,515.4,0,0,0,0,0,0,0,0,0,0.239905317698469,-2.4659963962417,3.17118209225987,1.99293793570093,-0.98123192419729,5.00288249944697,0,0,0
80,10,4647.2,4357.8,4903.7,4611.2,4235.1,4976.9,505.3,500.9,509.7,503.7,494.6,512.9,0,0,0,0,0,0,0,0,0,1.86194303994065,-0.288370799875636,4.07263458083373,0.264959736268296,-1.98898604487952,2.2550647545462,0,0,0
90,10,4519.9,4308,4713.6,4483.6,4203.4,4755,496.3,489.4,503.2,504.1,498.1,510.6,0,0,0,0,0,0,0,0,0,-1.77154968514058,-3.12689612887022,-0.41275740769914,0.171739698026729,-2.01455721235693,2.22930655020109,0,0,0
100,10,4608.2,4412.8,4814.5,4606.5,4460.9,4768.6,504.9,497.8,512.2,500.2,491.6,509.7,0,0,0,0,0,0,0,0,0,1.79616193378943,-0.389505162086422,3.91743421616049,-0.729969172242382,-2.75570053145234,1.4868562433971,0,0,0
110,10,4489.7,4298.7,4696.1,4618,4300.8,4927.9,504.3,496.9,511.8,499.1,488.3,509,0,0,0,0,0,0,0,0,0,-0.043953121460142,-2.365267434833,2.41817752925364,-0.166323468722785,-2.00803443673377,2.44251589016143,0,0,0
120,10,4522.4,4214,4811.6,4646.6,4366.3,4975.9,504.1,499.7,508.9,499.5,493.1,506.2,0,0,0,0,0,0,0,0,0,0.0210319407392857,-1.84396043325088,1.70565336310354,0.197349748507474,-2.24790235498979,2.84850301523431,0,0,0
130,10,4465.9,4273.4,4645.7,4635.5,4434.9,4847,505.5,496.2,514.1,500.8,492.5,508.6,0,0,0,0,0,0,0,0,0,0.296576990640481,-1.68817223199188,2.23066096880235,0.279538144709569,-1.41218623147014,1.73789450992141,0,0,0
140,10,4435.4,4196.6,4681.7,4547,4362.8,4720.9,498.7,492.8,503.7,494.1,489.8,498.4,0,0,0,0,0,0,0,0,0,-1.26751669543596,-3.09838757618188,0.660407928400039,-1.26016493217342,-3.24052653587667,0.592671378122261,0,0,0
150,10,4656.6,4458.9,4884,4580.8,4411.2,4764,503.9,493.6,515.9,499.4,491.8,507.4,0,0,0,0,0,0,0,0,0,1.07036412846651,-1.27695001161197,3.74006468502896,1.10023319941985,-0.706211258514869,3.1229554553136,0,0,0
160,10,4507.2,4050.2,4856.3,4718.4,4473.7,4928.9,501.3,495.5,507.6,508.4,501.4,515.3,0,0,0,0,0,0,0,0,0,-0.425330228579223,-2.46316640782404,1.39664606146631,1.85100403131684,0.0321345454347288,3.48025601781468,0,0,0
170,10,4503.2,4374.4,4663,4346.8,4236.7,4468.2,505.4,499.3,510.7,506.2,496.2,516.7,0,0,0,0,0,0,0,0,0,0.878511842392599,-1.22009137115646,3.11147380441083,-0.389797019647473,-2.58634153242823,1.76921286423928,0,0,0
180,10,4450.1,4268.9,4635.7,4489.5,4216.4,4751.6,508.6,500.1,516.3,504.1,495.4,512.2,0,0,0,0,0,0,0,0,0,0.660038833760483,-1.41912985379969,2.24829636781559,-0.274998734284392,-3.49444659390512,2.39445980246674,0,0,0
190,10,4466,4193.5,4762.2,4377.8,4132.8,4617.4,495.5,487.7,502.3,506.6,499.8,514.2,0,0,0,0,0,0,0,0,0,-2.49749700512011,-4.81491768006819,-0.182126841269955,0.540225195312634,-1.01304815075848,2.22104241304745,0,0,0
200,10,4754.9,4456.1,5095.3,4357.2,4119.4,4605.4,500.4,492.5,509.3,507.2,498.6,517.6,0,0,0,0,0,0,0,0,0,1.03119226655812,-0.772489212719975,3.01857165153945,0.159997619023299,-1.9980985032108,2.53572983091366,0,0,0
210,10,4716.3,4444.6,4972.4,4455.2,4134.7,4755.9,488.9,481.1,497.6,496.8,486.2,506.5,1.4,0.6,2.4,1.4,0.7,2.2,23.9,21.7,26.1,-2.24230775383297,-4.31665734026789,-0.264998272306779,-1.8936884625732,-5.57232691344748,1.58045976440041,0,0,0
220,10,5022.2,4742.8,5289.3,4748,4511.3,4986.9,492.6,487.3,498,491.7,482.1,499.8,1.1,0.4,1.9,1.2,0.6,1.8,26.2,22.9,29.7,0.836114312713809,-1.28108444450879,2.87308092026619,-0.941641949987171,-3.26690625063117,1.56567124470851,9.96872714436432,-2.45644955300128,22.9366344605475
230,10,4812.2,4601.5,5022.8,4882.2,4631.4,5167.2,489.4,479.9,499.4,480.2,469.2,488.6,1.6,0.8,2.4,0.9,0.4,1.4,28.2,23.7,32.8,-0.635885524925951,-2.54516752613125,1.47317280340483,-2.23697683597593,-5.2991224216177,0.638717270512321,9.86429648126179,-4.98460677787036,25.2981751098521
240,10,4938.8,4557.5,5312.5,5278.7,5051.6,5490.6,488.1,478.7,497.2,487.2,480.7,495,1.5,0.7,2.3,1,0.5,1.6,33.5,26.7,40.3,-0.243871271419711,-1.45668649430633,1.00560980282614,1.57436683789832,-1.09324344463535,4.34670132908691,19.0040619256767,3.35121328224776,36.0569105691057
250,10,5135.2,4795,5482.1,4962.4,4658,5175.4,480.2,468.6,489.8,479.4,469.9,489.9,2,0.9,3.2,2.3,1.7,2.8,38.7,31,46,-1.54303696920015,-4.31305862917029,1.28898083699864,-1.56781400352526,-3.39157392974512,0.615251562615256,15.799621999622,9.18312858312858,20.9561771561772
260,10,5055.5,4717.7,5411.6,5440,5159.3,5749.7,483.6,473.8,494,476.3,469.9,481.9,1.7,1.1,2.2,1.6,0.9,2.4,45.5,37,55.7,0.773200180300517,-1.46148164518437,2.8453806611121,-0.575213616862667,-2.64922210907851,0.999602360810311,16.8339893285292,11.1717011128776,22.1585577393045
270,10,5069.5,4716.8,5404.5,5206.3,5027,5424.1,481.8,470.9,491.2,477.9,468.5,486.7,2.1,1.3,2.8,2.1,1.4,2.8,47.6,37.9,56.5,-0.301565386675766,-2.71291759409212,1.98492754911714,0.362427775069079,-1.67094387621041,2.4913548251205,7.16843189595096,-2.4192917012066,19.4064465408805
280,10,5286.9,4926.4,5662.5,5335.5,5091.5,5662.8,481.7,475.4,487.8,474.2,463.6,482.8,3,1.8,4,2.6,1.4,4,53.2,42.6,64.4,0.0809765876804629,-2.12357150362117,2.34989091741856,-0.753223764967673,-2.19984879220307,0.755450765769041,12.3252876278747,2.84305693603606,21.4175227201098
290,10,5234.2,5030,5403.5,5473.9,5177.5,5796.5,475.5,461.7,488.9,470.3,457.4,481.2,1.9,1.3,2.6,2,1.4,2.6,56.5,45.8,70.1,-1.26129342295374,-3.97846114380007,1.90847193259238,-0.78995588193607,-2.8013496945847,1.37814674539526,5.87171835114502,-0.169074800497192,11.1823697083379
300,10,5598.8,5238,5992.8,5574.1,5193.2,5972.8,462.7,451.5,472.8,465.3,452.6,477.5,2.4,1.6,3.3,2.6,1.4,3.9,60.3,50.1,72.2,-2.53669732922094,-5.55775594277523,0.481523650201755,-1.0158958008277,-3.31294551128514,1.02553828553692,10.134325943136,1.73831176486956,18.7675274865988
310,10,5967.6,5509.4,6476.3,5741.2,5387.3,6124.3,464.2,453.2,473,462.1,448.9,475,2.2,1.1,3.4,2.9,1.3,4.7,70,57.5,85,0.349039009427967,-0.553874788938985,1.41551952182762,-0.60191314687906,-3.0333087881259,2.28905141851586,16.5317648870634,9.653902128368,22.8563476056013
320,10,6074.3,5765.7,6413.7,5799.4,5462.1,6143.5,453.7,443.8,464.7,461,449.5,470.3,2.1,1.2,3.2,3,1.9,4.2,76.5,65.9,88.4,-2.22900017422765,-3.90525165978,-0.47076016506716,-0.0808956347796347,-3.38355184751151,2.86213391541484,12.2323281322979,1.9016218659463,22.4321716539806
330,10,6227,5885.2,6637.4,5945.6,5666.9,6239.5,448.6,438,458.6,460.2,449.4,470,3.4,2.8,4,4,2.8,5.3,81.3,71,91.8,-1.05896957942474,-3.33916391686139,1.47809769533761,-0.109080411760751,-2.22473784967454,1.85608614678929,7.43138766895396,-0.614132233100144,14.5741670067359
340,10,6354.9,5916.2,6798.8,6102.9,5832.7,6390,446.1,433,458.4,441.3,433.9,449,3.7,2.2,5,3.3,1.6,5.1,89.6,78.1,99,-0.547599459079233,-2.35844677939443,1.14003721459973,-4.02517242220779,-6.17265492854579,-2.106237257379,10.915396948335,5.05509938004217,16.2583268607365
350,10,6647,6178.1,7114.5,6677.4,6324,6988.3,443.5,429,460.7,439.9,429.8,449.3,3.7,3,4.3,4.4,3.1,5.9,96.6,87.4,106.6,-0.549940149301983,-2.73536073674815,1.5647967049618,-0.312081988514683,-1.90814700491614,1.34663868135214,9.12596862536324,2.43911752586598,16.4221307611965
360,10,6466.2,5841.7,6949.3,6652.8,6277.6,7018.8,439.3,424.3,452.9,449.7,440.6,457.6,4.1,3,5.3,3.4,2.2,4.9,101.8,92,111.6,-0.846364515116107,-3.48576320060591,1.78558970878991,2.30068219875029,0.147378872142518,4.50608948029788,5.72844126440097,1.54141373591846,9.5863139248342
370,10,6751.9,6336.8,7187,6475.3,6197.8,6782.4,430.9,419.5,441.4,445.3,429.8,459.5,5.6,4.3,6.5,4.5,3.4,5.4,104.9,92.8,115.9,-1.78113427095411,-4.50072521736349,0.705136072955017,-0.949470752428576,-4.02581303257289,1.9842796897963,3.03475330745016,-3.01847316468232,9.2153472921323
380,10,6960.6,6546.4,7367.5,6572.5,6081.6,7129.6,430.3,418.9,441.5,433.4,421.6,442.2,3.7,3,4.4,5.1,3.3,6.8,108.8,97.4,119.3,-0.0472072878446121,-2.93512857023018,3.06550917222914,-2.56216414074252,-4.65467624203241,-0.649891947937307,4.31331288790211,0.491441948806287,9.07459599883843
390,10,7115.4,6721.6,7583.2,7060,6722,7394.1,430.2,419.4,440.9,419,404.2,435.2,4.1,3.1,5.3,6.9,5.3,8.6,113.7,100.4,125.5,0.0727153884884564,-2.32088163699103,2.97313480892692,-3.26052228095997,-6.67366371581524,0.275637549078973,4.68569684307304,-1.60785745739268,11.3071169341966
400,10,7142.8,6727.8,7511.1,7549.2,6945.3,8142.7,427.7,419,436.9,426,412.3,437.8,3.5,2.6,4.4,4.5,3,5.9,118,104.2,133,-0.507700017010661,-2.24946520520484,1.66654282431017,1.82148760644983,-0.749806447895074,3.99751736354648,4.10844771853472,-2.44042897441912,10.8858260685616
