"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,2,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,13914,13787,14041,8489,8427,8551,231.5,225,238,146.5,145,148,0,0,0,0,0,0,0,0,0,-7.4,-10,-4.8,-41.4,-42,-40.8,0,0,0
20,2,15138,14973,15303,15402.5,15232,15573,307,302,312,153.5,151,156,0,0,0,0,0,0,0,0,0,32.6573295985061,31.0924369747899,34.2222222222222,4.77166821994408,4.13793103448276,5.40540540540541,0,0,0
30,2,11153,11070,11236,14725,14585,14865,401.5,394,409,198.5,191,206,0,0,0,0,0,0,0,0,0,30.776659874342,30.4635761589404,31.0897435897436,29.42986924775,22.4358974358974,36.4238410596027,0,0,0
40,2,7246,7068,7424,11988,11652,12324,449.5,449,450,211.5,205,218,0,0,0,0,0,0,0,0,0,11.9919203703474,10.0244498777506,13.9593908629442,6.82534438062321,-0.485436893203884,14.1361256544503,0,0,0
50,2,5772.5,5645,5900,10712,10442,10982,477.5,467,488,228,227,229,0,0,0,0,0,0,0,0,0,6.23187329868844,3.77777777777778,8.68596881959911,7.91787872007159,4.12844036697248,11.7073170731707,0,0,0
60,2,5194.5,5030,5359,9504.5,9371,9638,499.5,490,509,248.5,247,250,0,0,0,0,0,0,0,0,0,4.7017060413522,0.409836065573771,8.99357601713062,8.99621029952101,7.86026200873362,10.1321585903084,0,0,0
70,2,4363,4359,4367,8503.5,8402,8605,529,512,546,261,260,262,0,0,0,0,0,0,0,0,0,6.00898119562165,0.589390962671906,11.4285714285714,5.03643724696357,4,6.07287449392713,0,0,0
80,2,3784.5,3739,3830,7930.5,7800,8061,519.5,515,524,259.5,259,260,0,0,0,0,0,0,0,0,0,-1.66695283882784,-5.67765567765568,2.34375,-0.57398708162067,-0.763358778625954,-0.384615384615385,0,0,0
90,2,4365,4283,4447,8323.5,8124,8523,483.5,476,491,257,254,260,0,0,0,0,0,0,0,0,0,-6.93526272882235,-7.57281553398058,-6.29770992366412,-0.965250965250965,-1.93050193050193,0,0,0,0
100,2,5262.5,4940,5585,8250.5,7874,8627,492.5,481,504,267.5,267,268,0,0,0,0,0,0,0,0,0,1.84903900460388,1.05042016806723,2.64765784114053,4.09751665657178,3.07692307692308,5.11811023622047,0,0,0
110,2,4555,4301,4809,7840.5,7746,7935,506.5,495,518,272.5,267,278,0,0,0,0,0,0,0,0,0,2.9532967032967,-1.78571428571429,7.69230769230769,1.87335792945386,-0.373134328358209,4.11985018726592,0,0,0
120,2,4587,4355,4819,7567.5,7168,7967,501.5,493,510,252.5,244,261,0,0,0,0,0,0,0,0,0,-0.8979758979759,-4.82625482625483,3.03030303030303,-7.36467006170344,-8.61423220973783,-6.11510791366906,0,0,0
130,2,4315.5,4153,4478,8821.5,8387,9256,517,500,534,258.5,257,260,0,0,0,0,0,0,0,0,0,3.06288032454361,1.41987829614604,4.70588235294118,2.51240499968595,-1.53256704980843,6.55737704918033,0,0,0
140,2,4490,3745,5235,8080,8007,8153,489.5,468,511,243,242,244,0,0,0,0,0,0,0,0,0,-5.35355805243445,-6.4,-4.30711610486891,-5.99072134091589,-6.92307692307692,-5.05836575875486,0,0,0
150,2,5149.5,4470,5829,9181,8897,9465,475.5,475,476,262,253,271,0,0,0,0,0,0,0,0,0,-2.67679428638332,-6.84931506849315,1.4957264957265,7.80551415797318,4.54545454545455,11.0655737704918,0,0,0
160,2,5481.5,5291,5672,7744.5,7390,8099,487,464,510,256,247,265,0,0,0,0,0,0,0,0,0,2.41353383458646,-2.31578947368421,7.14285714285714,-2.05650277846652,-8.85608856088561,4.74308300395257,0,0,0
170,2,4834,4500,5168,8542,8121,8963,491.5,491,492,258,252,264,0,0,0,0,0,0,0,0,0,1.14477687626775,-3.52941176470588,5.81896551724138,0.98846535787946,-4.90566037735849,6.88259109311741,0,0,0
180,2,4651,4406,4896,8126.5,7885,8368,508.5,504,513,259.5,250,269,0,0,0,0,0,0,0,0,0,3.4598380607024,2.4390243902439,4.4806517311609,0.721500721500725,-5.3030303030303,6.74603174603175,0,0,0
